actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-28T23:41:17.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-28T23:41:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-28T23:41:21.5Z,1,REGULAR,jumpball,recovered,[],1627739,,,1610612746,0,0,2025-03-28T23:41:21Z,40000,False,,,0,,Jump Ball I. Zubac vs. N. Claxton: Tip to K. Dunn,"[1627739, 1627826, 1629651]",1610612746.0,LAC,startperiod,K. Dunn,1627739.0,Dunn,K. Dunn,Zubac,1627826.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2025-03-28T23:41:23.6Z,1,REGULAR,foul,personal,[],1630533,,,1610612746,0,0,2025-03-28T23:41:30Z,70000,False,,,0,,Z. Williams personal FOUL (1 PF),"[1630533, 1627739]",1610612751.0,BKN,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,201638.0,1.0,0.0,Dunn,1627739.0,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-03-28T23:41:51.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,91.01511169513797,41.17647058823529,1610612746,0,2,2025-03-28T23:41:55Z,90000,False,-44.0,32.0,1,right,K. Leonard driving floating bank Jump Shot (2 PTS) (K. Dunn 1 AST),"[202695, 1627739]",1610612746.0,LAC,driving floating bank,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.45,Made,2.0,K. Dunn,1627739.0,1.0,,,,,,,,,
11,PT11M23.00S,2025-03-28T23:42:10.8Z,1,REGULAR,3pt,Jump Shot,[],1630553,16.245072273324574,5.147058823529411,1610612751,0,2,2025-03-28T23:42:17Z,110000,False,224.0,100.0,1,left,MISS K. Johnson 24' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,24.57,Missed,,,,,,,,,,,,,
12,PT11M20.00S,2025-03-28T23:42:13.8Z,1,REGULAR,rebound,defensive,[],202695,,,1610612746,0,2,2025-03-28T23:42:17Z,120000,False,,,0,,K. Leonard REBOUND (Off:0 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M10.00S,2025-03-28T23:42:24.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626181,82.7365308804205,45.588235294117645,1610612746,0,2,2025-03-29T00:01:02Z,130000,False,-22.0,110.0,1,right,MISS N. Powell 11' driving floating Shot,[1626181],1610612746.0,LAC,driving floating,,,Powell,N. Powell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.2,Missed,,,,,,,,,,,,,
14,PT11M06.00S,2025-03-28T23:42:28.5Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,2,2025-03-28T23:42:30Z,140000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M59.00S,2025-03-28T23:42:38.4Z,1,REGULAR,foul,personal,[],1626181,,,1610612751,0,2,2025-03-28T23:42:49Z,150000,False,,,0,,N. Powell personal FOUL (1 PF),"[1626181, 1626156]",1610612746.0,LAC,,,,Powell,N. Powell,,,,,Mid-Range,16-24 Left Center,202035.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
17,PT10M48.00S,2025-03-28T23:43:15.2Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612751,0,2,2025-03-28T23:43:19Z,170000,False,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 1626181]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,1.0,Powell,1626181.0,,
18,PT10M48.00S,2025-03-28T23:43:15.2Z,1,REGULAR,steal,,[],1626181,,,1610612746,0,2,2025-03-28T23:58:01Z,180000,False,,,0,,N. Powell STEAL (1 STL),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2025-03-28T23:43:20.0Z,1,REGULAR,turnover,lost ball,[],1627739,,,1610612746,0,2,2025-03-28T23:43:23Z,190000,False,,,0,,K. Dunn lost ball TURNOVER (1 TO),"[1627739, 1629661]",1610612746.0,LAC,,,,Dunn,K. Dunn,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,1.0,Johnson,1629661.0,,
20,PT10M43.00S,2025-03-28T23:43:20.0Z,1,REGULAR,steal,,[],1629661,,,1610612751,0,2,2025-03-28T23:43:22Z,200000,False,,,0,,C. Johnson STEAL (1 STL),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
21,PT10M39.00S,2025-03-28T23:43:25.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1630533,6.389618922470433,4.6568627450980395,1610612751,3,2,2025-03-28T23:45:57Z,210000,False,227.0,8.0,1,left,Z. Williams 3PT running (3 PTS) (C. Johnson 1 AST),"[1630533, 1629661]",1610612751.0,BKN,running,,,Williams,Z. Williams,,,,,Right Corner 3,24+ Right,,,,,,22.68,Made,3.0,C. Johnson,1629661.0,1.0,,,,,,,,,
23,PT10M38.00S,2025-03-28T23:43:29.9Z,1,REGULAR,foul,personal,['1freethrow'],1627826,,,1610612751,3,2,2025-03-28T23:45:38Z,230000,False,,,0,,I. Zubac flagrant-type-1 personal FOUL (1 PF) (Williams 1 FT),"[1627826, 1630533]",1610612746.0,LAC,flagrant-type-1,,,Zubac,I. Zubac,,,,,Right Corner 3,24+ Right,201638.0,1.0,0.0,Williams,1630533.0,,,,,,,,,,,,,,,
26,PT10M38.00S,2025-03-28T23:45:39.8Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1630533,,,1610612751,4,2,2025-03-28T23:45:48Z,260000,False,,,0,,Z. Williams flagrant Free Throw 1 of 1 (4 PTS),[1630533],1610612751.0,BKN,flagrant,,,Williams,Z. Williams,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
27,PT10M30.00S,2025-03-28T23:46:04.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630553,4.155716162943495,95.09803921568627,1610612751,7,2,2025-03-28T23:46:09Z,270000,False,-225.0,-13.0,1,left,K. Johnson 3PT step back (3 PTS) (C. Johnson 2 AST),"[1630553, 1629661]",1610612751.0,BKN,step back,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,,,,22.59,Made,3.0,C. Johnson,1629661.0,2.0,,,,,,,,,
29,PT10M10.00S,2025-03-28T23:46:24.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627826,93.51182654402102,57.107843137254896,1610612746,7,4,2025-03-28T23:47:51Z,290000,False,36.0,8.0,1,right,I. Zubac driving reverse Layup (2 PTS),[1627826],1610612746.0,LAC,driving reverse,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,3.65,Made,2.0,,,,,,,,,,,,
30,PT09M58.00S,2025-03-28T23:46:39.6Z,1,REGULAR,foul,personal,[],201935,,,1610612751,7,4,2025-03-28T23:46:45Z,300000,False,,,0,,J. Harden personal FOUL (1 PF),"[201935, 1626156]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Right Center,1148.0,1.0,0.0,Russell,1626156.0,,,,,,,,,,,,,,,
32,PT09M52.00S,2025-03-28T23:47:01.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626156,19.267411300919843,44.85294117647059,1610612751,7,4,2025-03-28T23:47:07Z,320000,False,26.0,129.0,1,left,MISS D. Russell 13' driving floating Shot,[1626156],1610612751.0,BKN,driving floating,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.11,Missed,,,,,,,,,,,,,
33,PT09M48.00S,2025-03-28T23:47:05.5Z,1,REGULAR,rebound,offensive,[],1626156,,,1610612751,7,4,2025-03-28T23:47:05Z,330000,False,,,0,,D. Russell REBOUND (Off:1 Def:0),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,32.0,1.0,0.0,1.0,,,,,
34,PT09M48.00S,2025-03-28T23:47:05.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1626156,5.590000152587891,50.0,1610612751,7,4,2025-03-28T23:48:54Z,340000,False,0.0,0.0,1,left,MISS D. Russell tip Layup,[1626156],1610612751.0,BKN,tip,,,Russell,D. Russell,,,,,Restricted Area,0-8 Center,,,,,,0.0,Missed,,,,,,,,,,,,,
35,PT09M46.00S,2025-03-28T23:47:07.5Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,7,4,2025-03-28T23:48:54Z,350000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,34.0,1.0,1.0,0.0,,,,,
38,PT09M36.00S,2025-03-28T23:47:17.3Z,1,REGULAR,3pt,Jump Shot,[],1626181,71.69842312746385,76.9607843137255,1610612746,7,4,2025-03-28T23:47:22Z,380000,False,135.0,214.0,1,right,MISS N. Powell 25' 3PT,[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Right Center,,,,,,25.25,Missed,,,,,,,,,,,,,
39,PT09M32.00S,2025-03-28T23:47:21.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,7,4,2025-03-28T23:47:22Z,390000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,38.0,2.0,2.0,0.0,,,,,
40,PT09M27.00S,2025-03-28T23:47:27.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630533,6.521024967148489,50.0,1610612751,9,4,2025-03-28T23:52:43Z,400000,False,0.0,9.0,1,left,Z. Williams cutting DUNK (6 PTS) (N. Claxton 1 AST),"[1630533, 1629651]",1610612751.0,BKN,cutting,,,Williams,Z. Williams,,,,,Restricted Area,0-8 Center,,,,,,0.88,Made,6.0,N. Claxton,1629651.0,1.0,,,,,,,,,
43,PT09M10.00S,2025-03-28T23:48:03.3Z,1,REGULAR,turnover,bad pass,[],1627826,,,1610612746,9,4,2025-03-28T23:48:06Z,430000,False,,,0,,I. Zubac bad pass TURNOVER (1 TO),"[1627826, 1626156]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,1.0,Russell,1626156.0,,
44,PT09M10.00S,2025-03-28T23:48:03.3Z,1,REGULAR,steal,,[],1626156,,,1610612751,9,4,2025-03-28T23:48:05Z,440000,False,,,0,,D. Russell STEAL (1 STL),[1626156],1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
45,PT09M06.00S,2025-03-28T23:48:08.9Z,1,REGULAR,turnover,out-of-bounds,[],1630553,,,1610612751,9,4,2025-03-28T23:48:14Z,450000,False,,,0,,K. Johnson bad pass out-of-bounds TURNOVER (1 TO),[1630553],1610612751.0,BKN,bad pass,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,201638.0,,,,,,,,,,,,,,,1.0,,,,
46,PT08M49.00S,2025-03-28T23:48:32.1Z,1,REGULAR,foul,personal,[],1629661,,,1610612746,9,4,2025-03-28T23:48:38Z,460000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1626181]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left Center,201638.0,1.0,0.0,Powell,1626181.0,,,,,,,,,,,,,,,
48,PT08M41.00S,2025-03-28T23:49:00.1Z,1,REGULAR,foul,personal,['2freethrow'],1630533,,,1610612746,9,4,2025-03-28T23:49:07Z,480000,False,,,0,,Z. Williams shooting personal FOUL (2 PF) (Zubac 2 FT),"[1630533, 1627826]",1610612751.0,BKN,shooting,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),8-16 Right,202035.0,2.0,0.0,Zubac,1627826.0,,,,,,,,,,,,,,,
50,PT08M41.00S,2025-03-28T23:49:34.8Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1627826,,,1610612746,9,5,2025-03-28T23:49:34Z,500000,False,,,0,,I. Zubac Free Throw 1 of 2 (3 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
51,PT08M41.00S,2025-03-28T23:49:49.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1627826,,,1610612746,9,6,2025-03-28T23:49:49Z,510000,False,,,0,,I. Zubac Free Throw 2 of 2 (4 PTS),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,
52,PT08M22.00S,2025-03-28T23:50:12.1Z,1,REGULAR,3pt,Jump Shot,[],1626156,27.54599211563732,79.41176470588235,1610612751,12,6,2025-03-28T23:50:18Z,520000,False,-147.0,206.0,1,left,D. Russell 25' 3PT  (3 PTS) (C. Johnson 3 AST),"[1626156, 1629661]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Left Center,,,,,,25.35,Made,3.0,C. Johnson,1629661.0,3.0,,,,,,,,,
54,PT08M10.00S,2025-03-28T23:50:27.2Z,1,REGULAR,foul,personal,[],1626156,,,1610612746,12,6,2025-03-28T23:51:09Z,540000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 201935]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,202035.0,1.0,0.0,Harden,201935.0,,,,,,,,,,,,,,,
56,PT07M58.00S,2025-03-28T23:50:57.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,91.14651773981603,52.20588235294118,1610612746,12,6,2025-03-28T23:51:03Z,560000,False,11.0,31.0,1,right,MISS N. Powell driving finger roll Layup - blocked,"[1626181, 1629651]",1610612746.0,LAC,driving finger roll,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,3.26,Missed,,,,,,,,,,,,Claxton,1629651.0
57,PT07M58.00S,2025-03-28T23:50:57.8Z,1,REGULAR,block,,[],1629651,,,1610612746,12,6,2025-03-28T23:51:00Z,570000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
58,PT07M58.00S,2025-03-28T23:50:57.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,12,6,2025-03-28T23:51:03Z,580000,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,56.0,,,,,,,,
60,PT07M54.00S,2025-03-28T23:51:26.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627739,93.64323258869908,47.05882352941176,1610612746,12,8,2025-03-28T23:51:30Z,600000,False,-15.0,7.0,1,right,K. Dunn cutting Layup (2 PTS) (J. Harden 1 AST),"[1627739, 201935]",1610612746.0,LAC,cutting,,,Dunn,K. Dunn,,,,,Restricted Area,0-8 Center,,,,,,1.64,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,
62,PT07M35.00S,2025-03-28T23:51:46.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,33.85348226018397,26.715686274509803,1610612751,12,8,2025-03-28T23:51:51Z,620000,False,116.0,266.0,1,left,MISS C. Johnson 29' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,29.01,Missed,,,,,,,,,,,,,
