actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-06T00:41:08.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-06T00:41:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-06T00:41:11.4Z,1,REGULAR,jumpball,recovered,[],1642267,,,1610612764,0,0,2025-02-06T00:41:11Z,40000,False,,,0,,Jump Ball R. Holmes vs. N. Claxton: Tip to B. Carrington,"[1642267, 1626158, 1629651]",1610612764.0,WAS,startperiod,B. Carrington,1642267.0,Carrington,B. Carrington,Holmes,1626158.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-02-06T00:41:25.2Z,1,REGULAR,foul,personal,[],1630553,,,1610612764,0,0,2025-02-06T00:41:35Z,70000,False,,,0,,K. Johnson personal FOUL (1 PF),"[1630553, 1629673]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Mid-Range,16-24 Left Center,1162.0,1.0,0.0,Poole,1629673.0,,,,,,,,,,,,,,,
9,PT11M36.00S,2025-02-06T00:41:46.7Z,1,REGULAR,3pt,Jump Shot,[],1642273,30.042706964520367,28.921568627450984,1610612764,0,3,2025-02-06T00:42:51Z,90000,False,105.0,230.0,1,left,K. George 25' 3PT pullup (3 PTS) (R. Holmes 1 AST),"[1642273, 1626158]",1610612764.0,WAS,pullup,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,25.29,Made,3.0,R. Holmes,1626158.0,1.0,,,,,,,,,
11,PT11M18.00S,2025-02-06T00:42:04.3Z,1,REGULAR,3pt,Jump Shot,[],1629661,63.15703022339028,48.28431372549019,1610612751,0,3,2025-02-06T00:42:10Z,110000,False,-9.0,294.0,1,right,MISS C. Johnson 29' 3PT,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,,,,29.39,Missed,,,,,,,,,,,,,
12,PT11M16.00S,2025-02-06T00:42:06.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,3,2025-02-06T00:42:10Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,11.0,,,,,,,,
13,PT11M16.00S,2025-02-06T00:42:10.4Z,1,REGULAR,foul,personal,[],1629673,,,1610612751,0,3,2025-02-06T00:44:21Z,130000,False,,,0,,J. Poole loose ball personal FOUL (1 PF),"[1629673, 1630553]",1610612764.0,WAS,loose ball,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,202053.0,1.0,0.0,Johnson,1630553.0,,,,,,,,,,,,,,,
16,PT11M11.00S,2025-02-06T00:42:34.1Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612751,0,3,2025-02-06T00:42:37Z,150000,False,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 1641731]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Coulibaly,1641731.0,,,,,
17,PT11M11.00S,2025-02-06T00:42:34.1Z,1,REGULAR,steal,,[],1641731,,,1610612764,0,3,2025-02-06T00:42:35Z,160000,False,,,0,,B. Coulibaly STEAL (1 STL),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
18,PT11M05.00S,2025-02-06T00:42:42.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626158,7.178055190538765,51.71568627450981,1610612764,0,5,2025-02-06T00:42:48Z,170000,False,-9.0,15.0,1,left,R. Holmes DUNK (2 PTS) (B. Coulibaly 1 AST),"[1626158, 1641731]",1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,,,,,,1.73,Made,2.0,B. Coulibaly,1641731.0,1.0,,,,,,,,,
20,PT11M05.00S,2025-02-06T00:42:44.7Z,1,REGULAR,foul,personal,['1freethrow'],1629661,,,1610612764,0,5,2025-02-06T00:43:07Z,190000,False,,,0,,C. Johnson shooting personal FOUL (1 PF) (Holmes 1 FT),"[1629661, 1626158]",1610612751.0,BKN,shooting,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,202053.0,1.0,0.0,Holmes,1626158.0,,,,,,,,,,,,,,,
22,PT11M05.00S,2025-02-06T00:43:12.3Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1626158,,,1610612764,0,6,2025-02-06T00:43:12Z,210000,False,,,0,,R. Holmes Free Throw 1 of 1 (3 PTS),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
23,PT10M43.00S,2025-02-06T00:43:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630553,73.01248357424441,82.35294117647058,1610612751,0,6,2025-02-06T00:43:40Z,220000,False,162.0,201.0,1,right,MISS K. Johnson 25' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,25.82,Missed,,,,,,,,,,,,,
24,PT10M39.00S,2025-02-06T00:43:40.4Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,0,6,2025-02-06T00:43:40Z,230000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,23.0,,,,1.0,1.0,0.0,,
25,PT10M33.00S,2025-02-06T00:43:48.5Z,1,REGULAR,turnover,out-of-bounds,[],1642273,,,1610612764,0,6,2025-02-06T00:43:57Z,240000,False,,,0,,K. George bad pass out-of-bounds TURNOVER (1 TO),[1642273],1610612764.0,WAS,bad pass,,,George,K. George,,,,,Mid-Range,16-24 Left,201638.0,,,,,,,,,,,,1.0,,,,,,,
26,PT10M20.00S,2025-02-06T00:44:06.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626156,67.62483574244416,75.49019607843137,1610612751,0,6,2025-02-06T00:44:09Z,250000,False,127.0,252.0,1,right,MISS D. Russell 28' pullup 3PT,[1626156],1610612751.0,BKN,pullup,,,Russell,D. Russell,,,,,Above the Break 3,24+ Right Center,,,,,,28.22,Missed,,,,,,,,,,,,,
27,PT10M18.00S,2025-02-06T00:44:08.2Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,0,6,2025-02-06T00:44:09Z,260000,False,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,26.0,,,,1.0,1.0,0.0,,
28,PT10M04.00S,2025-02-06T00:44:22.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,29.6484888304862,23.284313725490197,1610612764,0,6,2025-02-06T00:45:07Z,270000,False,134.0,226.0,1,left,MISS J. Poole 26' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,,,,26.27,Missed,,,,,,,,,,,,,
29,PT10M03.00S,2025-02-06T00:44:23.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,6,2025-02-06T00:44:29Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,28.0,,,,,,,,
31,PT09M49.00S,2025-02-06T00:44:47.0Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612751,0,6,2025-02-06T00:44:51Z,300000,False,,,0,,D. Russell lost ball TURNOVER (2 TO),"[1626156, 1642267]",1610612751.0,BKN,,,,Russell,D. Russell,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,2.0,Carrington,1642267.0,,,,,
32,PT09M49.00S,2025-02-06T00:44:47.0Z,1,REGULAR,steal,,[],1642267,,,1610612764,0,6,2025-02-06T00:44:49Z,310000,False,,,0,,B. Carrington STEAL (1 STL),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M33.00S,2025-02-06T00:45:05.6Z,1,REGULAR,turnover,out-of-bounds,[],1641731,,,1610612764,0,6,2025-02-06T00:45:14Z,320000,False,,,0,,B. Coulibaly lost ball out-of-bounds TURNOVER (1 TO),[1641731],1610612764.0,WAS,lost ball,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,8-16 Left,1162.0,,,,,,,,,,,,1.0,,,,,,,
34,PT09M30.00S,2025-02-06T00:45:26.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630533,88.25558475689881,51.9607843137255,1610612751,0,6,2025-02-06T00:46:06Z,330000,False,10.0,58.0,1,right,MISS Z. Williams driving floating Shot,[1630533],1610612751.0,BKN,driving floating,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,5.87,Missed,,,,,,,,,,,,,
35,PT09M29.00S,2025-02-06T00:45:27.4Z,1,REGULAR,rebound,offensive,[],1630533,,,1610612751,0,6,2025-02-06T00:46:06Z,340000,False,,,0,,Z. Williams REBOUND (Off:1 Def:0),[1630533],1610612751.0,BKN,,,,Williams,Z. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,34.0,,,,1.0,0.0,1.0,,
