actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-16T22:10:48.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T22:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-16T22:10:50.5Z,1,REGULAR,jumpball,recovered,[],1631213,,,1610612751,0,0,2025-03-16T22:10:50Z,40000,False,,,0,,Jump Ball N. Claxton vs. O. Okongwu: Tip to T. Martin,"[1631213, 1629651, 1630168]",1610612751.0,BKN,startperiod,T. Martin,1631213.0,Martin,T. Martin,Claxton,1629651.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-03-16T22:11:02.1Z,1,REGULAR,turnover,bad pass,[],1630553,,,1610612751,0,0,2025-03-16T22:11:08Z,70000,False,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1630553, 1630700]",1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,1.0,Daniels,1630700.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-03-16T22:11:02.1Z,1,REGULAR,steal,,[],1630700,,,1610612737,0,0,2025-03-16T22:11:03Z,80000,False,,,0,,D. Daniels STEAL (1 STL),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-03-16T22:11:05.9Z,1,REGULAR,foul,personal,['2freethrow'],1630553,,,1610612737,0,0,2025-03-16T22:11:15Z,90000,False,,,0,,K. Johnson shooting personal FOUL (1 PF) (Daniels 2 FT),"[1630553, 1630700]",1610612751.0,BKN,shooting,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,,,,204058.0,1.0,0.0,Daniels,1630700.0,,,,,,,,,,,,
11,PT11M44.00S,2025-03-16T22:11:36.8Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630700,,,1610612737,0,0,2025-03-16T22:12:00Z,110000,False,,,0,,MISS D. Daniels Free Throw 1 of 2,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
12,PT11M44.00S,2025-03-16T22:11:36.8Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612737,0,0,2025-03-16T22:12:00Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
13,PT11M44.00S,2025-03-16T22:11:36.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630700,,,1610612737,0,0,2025-03-16T22:12:00Z,130000,False,,,0,,MISS D. Daniels Free Throw 2 of 2,[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
14,PT11M41.00S,2025-03-16T22:11:39.8Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,0,0,2025-03-16T22:12:00Z,140000,False,,,0,,T. Martin REBOUND (Off:0 Def:1),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT11M29.00S,2025-03-16T22:12:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,92.59198423127464,44.85294117647059,1610612751,2,0,2025-03-16T22:12:15Z,150000,False,-26.0,17.0,1,right,N. Claxton cutting Layup (2 PTS) (C. Johnson 1 AST),"[1629651, 1629661]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,Made,,,,,3.09,2.0,C. Johnson,1629661.0,1.0,,
