actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-13T00:41:17.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-13T00:41:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-13T00:41:19.8Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2025-02-13T00:41:19Z,40000,False,,,0,,Jump Ball N. Claxton vs. G. Yabusele: Tip to C. Johnson,"[1629661, 1629651, 1627824]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-02-13T00:41:34.3Z,1,REGULAR,2pt,Jump Shot,[],1626156,91.01511169513797,27.205882352941174,1610612751,2,0,2025-02-13T00:41:37Z,70000,False,-114.0,32.0,1,right,D. Russell 11' driving floating Jump Shot (2 PTS),[1626156],1610612751.0,BKN,driving floating,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,11.84,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2025-02-13T00:41:55.6Z,1,REGULAR,3pt,Jump Shot,[],1626162,6.521024967148489,94.85294117647058,1610612755,2,0,2025-02-13T00:42:03Z,80000,False,-224.0,9.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,22.45,Missed,,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2025-02-13T00:41:59.6Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,2,0,2025-02-13T00:42:03Z,90000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Left Corner 3,24+ Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M52.00S,2025-02-13T00:42:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629661,92.72339027595268,55.63725490196079,1610612751,2,0,2025-02-13T00:42:38Z,110000,False,28.0,16.0,1,right,MISS C. Johnson driving reverse Layup,[1629661],1610612751.0,BKN,driving reverse,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,3.24,Missed,,,,,,,,,,,,,,,,,,
13,PT10M50.00S,2025-02-13T00:42:34.1Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,2,0,2025-02-13T00:42:38Z,130000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT10M50.00S,2025-02-13T00:42:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629651,92.9862023653088,47.30392156862745,1610612751,4,0,2025-02-13T00:42:40Z,140000,False,-13.0,13.0,1,right,N. Claxton putback Layup (2 PTS),[1629651],1610612751.0,BKN,putback,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.9,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M28.00S,2025-02-13T00:42:56.5Z,1,REGULAR,3pt,Jump Shot,[],1630215,23.73521681997372,87.74509803921569,1610612755,4,0,2025-02-13T00:43:00Z,150000,False,-189.0,171.0,1,left,MISS J. Butler 25' pullup 3PT,[1630215],1610612755.0,PHI,pullup,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,25.44,Missed,,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2025-02-13T00:42:58.5Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,4,0,2025-02-13T00:43:00Z,160000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
