actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-03T03:10:09.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-03T03:10:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-12-03T03:10:11.8Z,1,REGULAR,jumpball,recovered,[],1628989,,,1610612758,0,0,2023-12-03T03:10:11Z,40000,False,,,0,,Jump Ball D. Sabonis vs. N. Jokic: Tip to K. Huerter,"[1628989, 1627734, 203999]",1610612758.0,SAC,startperiod,K. Huerter,1628989.0,Huerter,K. Huerter,Sabonis,1627734.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-03T03:10:25.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,31.488173455978973,63.48039215686274,1610612758,0,0,2023-12-03T03:10:34Z,70000,False,-67.0,243.0,1,left,MISS D. Fox 25' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-12-03T03:10:27.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,0,2023-12-03T03:10:34Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-12-03T03:10:54.8Z,1,REGULAR,3pt,Jump Shot,[],203484,67.62483574244416,55.392156862745104,1610612743,0,0,2023-12-03T03:10:59Z,100000,False,27.0,252.0,1,right,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612743.0,DEN,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,25.32,Missed,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2023-12-03T03:10:57.8Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2023-12-03T03:10:59Z,110000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M12.00S,2023-12-03T03:11:07.8Z,1,REGULAR,foul,personal,['2freethrow'],203999,,,1610612758,0,0,2023-12-03T03:11:19Z,120000,False,,,0,,N. Jokic shooting personal FOUL (1 PF) (Sabonis 2 FT),"[203999, 1627734]",1610612743.0,DEN,shooting,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,,,,,,,1628159.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,
14,PT11M12.00S,2023-12-03T03:11:33.8Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612758,1,0,2023-12-03T03:11:33Z,140000,False,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
15,PT11M12.00S,2023-12-03T03:11:51.5Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612758,2,0,2023-12-03T03:11:51Z,150000,False,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
16,PT10M58.00S,2023-12-03T03:12:07.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629008,88.12417871222075,39.46078431372549,1610612743,2,0,2023-12-03T03:12:14Z,160000,False,-53.0,59.0,1,right,MISS M. Porter Jr. 7' driving Layup - blocked,"[1629008, 1628989]",1610612743.0,DEN,driving,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,,,Huerter,1628989.0,,,,,,
17,PT10M58.00S,2023-12-03T03:12:07.1Z,1,REGULAR,block,,[],1628989,,,1610612743,2,0,2023-12-03T03:12:09Z,170000,False,,,0,,K. Huerter BLOCK (1 BLK),[1628989],1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M55.00S,2023-12-03T03:12:10.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,0,2023-12-03T03:12:14Z,180000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M51.00S,2023-12-03T03:12:14.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627734,8.623521681997373,56.61764705882353,1610612758,2,0,2023-12-03T03:12:41Z,190000,False,-33.0,29.0,1,left,MISS D. Sabonis running Layup - blocked,"[1627734, 203999]",1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,4.37,Missed,,,,,,,,,,,Jokic,203999.0,,,,,,
