actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-17T02:10:14.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-17T02:10:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-17T02:10:18.0Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2024-03-17T02:10:18Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. D. Sabonis: Tip to J. Hart,"[1628404, 1628392, 1627734]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Hartenstein,1628392.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-03-17T02:10:34.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628384,93.24901445466492,59.55882352941176,1610612752,0,2,2024-03-17T02:10:39Z,70000,False,48.0,11.0,1,right,O. Anunoby driving DUNK (2 PTS) (D. DiVincenzo 1 AST),"[1628384, 1628978]",1610612752.0,NYK,driving,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),0-8 Center,4.9,Made,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,
9,PT11M15.00S,2024-03-17T02:10:57.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,28.07161629434954,20.098039215686274,1610612758,3,2,2024-03-17T02:11:01Z,90000,False,150.0,211.0,1,left,D. Fox 25' 3PT  (3 PTS) (K. Huerter 1 AST),"[1628368, 1628989]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.89,Made,3.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,,
11,PT11M03.00S,2024-03-17T02:11:09.8Z,1,REGULAR,turnover,bad pass,[],1628973,,,1610612752,3,2,2024-03-17T02:11:13Z,110000,False,,,0,,J. Brunson bad pass TURNOVER (1 TO),"[1628973, 1627734]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Sabonis,1627734.0,,,,,,,,,,,
12,PT11M03.00S,2024-03-17T02:11:09.8Z,1,REGULAR,steal,,[],1627734,,,1610612758,3,2,2024-03-17T02:11:12Z,120000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2024-03-17T02:11:14.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627734,8.623521681997373,53.67647058823529,1610612758,3,2,2024-03-17T02:11:58Z,130000,False,-18.0,29.0,1,left,MISS D. Sabonis running Layup,[1627734],1610612758.0,SAC,running,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,3.4,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-03-17T02:11:16.2Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,3,2,2024-03-17T02:11:58Z,140000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M55.00S,2024-03-17T02:11:20.1Z,1,REGULAR,turnover,out-of-bounds,[],1628973,,,1610612752,3,2,2024-03-17T02:11:24Z,150000,False,,,0,,J. Brunson lost ball out-of-bounds TURNOVER (2 TO),[1628973],1610612752.0,NYK,lost ball,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,2.0,,,,,,,1626302.0,,,,,,
16,PT10M47.00S,2024-03-17T02:11:34.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631099,8.09789750328515,58.57843137254902,1610612758,3,2,2024-03-17T02:12:46Z,160000,False,-43.0,24.0,1,left,MISS K. Murray driving DUNK - blocked,"[1631099, 1628392]",1610612758.0,SAC,driving,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,4.9,Missed,,,,,,,,,,,,,Hartenstein,1628392.0,,,,
