actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-23T03:10:09.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-23T03:10:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-23T03:10:13.9Z,1,REGULAR,jumpball,recovered,[],1626164,,,1610612756,0,0,2023-12-23T03:10:13Z,40000,False,,,0,,Jump Ball D. Eubanks vs. D. Sabonis: Tip to D. Booker,"[1626164, 1629234, 1627734]",1610612756.0,PHX,startperiod,D. Booker,1626164.0,Booker,D. Booker,Eubanks,1629234.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-12-23T03:10:22.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629234,93.51182654402102,50.49019607843137,1610612756,0,2,2023-12-23T03:10:26Z,70000,False,2.0,8.0,1,right,D. Eubanks alley-oop DUNK (2 PTS) (D. Booker 1 AST),"[1629234, 1626164]",1610612756.0,PHX,alley-oop,,,Eubanks,D. Eubanks,,,,,Restricted Area,0-8 Center,0.89,Made,2.0,D. Booker,1626164.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-12-23T03:10:41.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,5.995400788436268,49.754901960784316,1610612758,2,2,2023-12-23T03:10:46Z,90000,False,1.0,4.0,1,left,D. Sabonis cutting DUNK (2 PTS) (K. Huerter 1 AST),"[1627734, 1628989]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.41,Made,2.0,K. Huerter,1628989.0,1.0,,,,,,,,,,,,,,
11,PT11M09.00S,2023-12-23T03:10:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628960,89.30683311432325,58.82352941176471,1610612756,2,2,2023-12-23T03:11:23Z,110000,False,44.0,48.0,1,right,MISS G. Allen 6' driving Layup,[1628960],1610612756.0,PHX,driving,,,Allen,G. Allen,,,,,In The Paint (Non-RA),0-8 Center,6.52,Missed,,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2023-12-23T03:11:00.1Z,1,REGULAR,rebound,offensive,[],1629234,,,1610612756,2,2,2023-12-23T03:11:23Z,120000,False,,,0,,D. Eubanks REBOUND (Off:1 Def:0),[1629234],1610612756.0,PHX,,,,Eubanks,D. Eubanks,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT10M58.00S,2023-12-23T03:11:12.3Z,1,REGULAR,turnover,out-of-bounds,[],201142,,,1610612756,2,2,2023-12-23T03:11:18Z,130000,False,,,0,,K. Durant lost ball out-of-bounds TURNOVER (1 TO),[201142],1610612756.0,PHX,lost ball,,,Durant,K. Durant,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,201639.0,1.0,,,,,,,,
14,PT10M42.00S,2023-12-23T03:11:34.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1627734,6.652431011826544,50.98039215686274,1610612758,4,2,2023-12-23T03:12:13Z,140000,False,-5.0,10.0,1,left,D. Sabonis cutting DUNK (4 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.11,Made,4.0,K. Murray,1631099.0,1.0,,,,,,,,,,,,,,
16,PT10M23.00S,2023-12-23T03:11:53.4Z,1,REGULAR,3pt,Jump Shot,[],1628960,91.27792378449409,2.696078431372549,1610612756,4,5,2023-12-23T03:11:59Z,160000,False,-237.0,29.0,1,right,G. Allen 3PT  (3 PTS) (D. Booker 2 AST),"[1628960, 1626164]",1610612756.0,PHX,,,,Allen,G. Allen,,,,,Left Corner 3,24+ Left,23.83,Made,3.0,D. Booker,1626164.0,2.0,,,,,,,,,,,,,,
18,PT10M13.00S,2023-12-23T03:12:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.783837056504599,47.549019607843135,1610612758,6,5,2023-12-23T03:12:54Z,180000,False,12.0,11.0,1,left,D. Sabonis driving Layup (6 PTS),[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.67,Made,6.0,,,,,,,,,,,,,,,,,
