actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-10T03:10:06.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-10T03:10:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-02-10T03:10:10.9Z,1,REGULAR,jumpball,recovered,[],1631212,,,1610612743,0,0,2024-02-10T03:10:10Z,40000,False,,,0,,Jump Ball N. Jokic vs. D. Sabonis: Tip to P. Watson,"[1631212, 203999, 1627734]",1610612743.0,DEN,startperiod,P. Watson,1631212.0,Watson,P. Watson,Jokic,203999.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-02-10T03:10:29.5Z,1,REGULAR,3pt,Jump Shot,[],1627750,74.58935611038108,83.57843137254902,1610612743,0,0,2024-02-10T03:10:37Z,70000,False,168.0,186.0,1,right,MISS J. Murray 25' 3PT,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,25.09,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-02-10T03:10:30.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612758,0,0,2024-02-10T03:10:37Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-02-10T03:10:49.8Z,1,REGULAR,3pt,Jump Shot,[],1631099,29.38567674113009,20.588235294117645,1610612758,0,0,2024-02-10T03:10:53Z,100000,False,147.0,224.0,1,left,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,26.77,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-02-10T03:10:51.8Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2024-02-10T03:10:53Z,110000,False,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Right Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M08.00S,2024-02-10T03:11:05.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203932,92.19776609724047,49.26470588235294,1610612743,0,0,2024-02-10T03:11:23Z,120000,False,-4.0,21.0,1,right,MISS A. Gordon driving DUNK,[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2024-02-10T03:11:07.0Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2024-02-10T03:11:09Z,130000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M04.00S,2024-02-10T03:11:11.1Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,0,0,2024-02-10T03:18:43Z,140000,False,,,0,,D. Sabonis bad pass out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,bad pass,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left,,,,,,,1830.0,1.0,,,,,,,,,,,,
15,PT11M01.00S,2024-02-10T03:11:20.5Z,1,REGULAR,foul,offensive,[],1631212,,,1610612743,0,0,2024-02-10T03:11:29Z,150000,False,,,0,,P. Watson charge offensive FOUL (1 PF),"[1631212, 1631099]",1610612743.0,DEN,charge,,,Watson,P. Watson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202037.0,,1.0,0.0,Murray,1631099.0,,,,,,,,
