actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-03T03:10:10.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-03T03:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-03T03:10:13.6Z,1,REGULAR,jumpball,recovered,[],1628998,,,1610612766,0,0,2024-01-03T03:10:13Z,40000,False,,,0,,Jump Ball N. Richards vs. D. Sabonis: Tip to C. Martin,"[1628998, 1630208, 1627734]",1610612766.0,CHA,startperiod,C. Martin,1628998.0,Martin,C. Martin,Richards,1630208.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-01-03T03:10:35.6Z,1,REGULAR,turnover,bad pass,[],1630208,,,1610612766,0,0,2024-01-03T03:10:44Z,70000,False,,,0,,N. Richards bad pass TURNOVER (1 TO),"[1630208, 1630537]",1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.0,Duarte,1630537.0,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-01-03T03:10:35.6Z,1,REGULAR,steal,,[],1630537,,,1610612758,0,0,2024-01-03T03:12:08Z,80000,False,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2024-01-03T03:10:49.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1627734,92.19776609724047,46.07843137254902,1610612758,0,0,2024-01-03T03:12:51Z,90000,False,-20.0,21.0,1,right,MISS D. Sabonis driving Layup - blocked,"[1627734, 1626179]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,2.86,Missed,Rozier,1626179.0,,,,,,,,,,,,,
29,PT11M20.00S,2024-01-03T03:10:49.6Z,1,REGULAR,block,,[],1626179,,,1610612758,0,0,2024-01-03T03:13:53Z,95000,False,,,0,,T. Rozier BLOCK (1 BLK),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2024-01-03T03:10:51.6Z,1,REGULAR,rebound,offensive,[],1630537,,,1610612758,0,0,2024-01-03T03:10:54Z,100000,False,,,0,,C. Duarte REBOUND (Off:1 Def:0),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M17.00S,2024-01-03T03:10:52.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630537,91.01511169513797,46.568627450980394,1610612758,2,0,2024-01-03T03:13:32Z,110000,False,-17.0,32.0,1,right,C. Duarte putback Layup (2 PTS),[1630537],1610612758.0,SAC,putback,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,,,,3.63,Made,,,,,,,2.0,,,,,,,,
12,PT10M59.00S,2024-01-03T03:11:13.1Z,1,REGULAR,foul,technical,['1freethrow'],1627734,,,1610612766,2,0,2024-01-03T03:11:33Z,120000,False,,,0,,D. Sabonis defensive-3-second technical FOUL (1 Tech),[1627734],1610612758.0,SAC,defensive-3-second,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,204059.0,0.0,1.0,,,,,
13,PT10M59.00S,2024-01-03T03:11:34.4Z,1,REGULAR,freethrow,1 of 1,[],1626179,,,1610612766,2,1,2024-01-03T03:11:34Z,130000,False,,,0,,T. Rozier technical Free Throw 1 of 1 (1 PTS),[1626179],1610612766.0,CHA,technical,,,Rozier,T. Rozier,,,,,,,,,,,Made,,,,,,,1.0,,,,,,,,
14,PT10M44.00S,2024-01-03T03:12:00.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628970,5.732588699080158,46.81372549019608,1610612766,2,3,2024-01-03T03:12:05Z,140000,False,16.0,1.0,1,left,M. Bridges driving Layup (2 PTS),[1628970],1610612766.0,CHA,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,1.6,Made,,,,,,,2.0,,,,,,,,
15,PT10M29.00S,2024-01-03T03:12:15.3Z,1,REGULAR,3pt,Jump Shot,[],1631099,66.70499342969777,54.65686274509803,1610612758,2,3,2024-01-03T03:12:25Z,150000,False,23.0,260.0,1,right,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,,,,26.15,Missed,,,,,,,,,,,,,,,
16,PT10M21.00S,2024-01-03T03:12:22.7Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,2,3,2024-01-03T03:12:22Z,160000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Above the Break 3,24+ Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M13.00S,2024-01-03T03:12:30.3Z,1,REGULAR,3pt,Jump Shot,[],1628970,28.991458607095925,25.49019607843137,1610612766,2,6,2024-01-03T03:12:34Z,170000,False,123.0,220.0,1,left,M. Bridges 25' 3PT  (5 PTS) (B. McGowens 1 AST),"[1628970, 1631121]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,25.18,Made,,,,,,,5.0,,,,B. McGowens,1631121.0,1.0,,
19,PT10M02.00S,2024-01-03T03:12:45.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,92.59198423127464,51.470588235294116,1610612758,4,6,2024-01-03T03:12:52Z,190000,False,7.0,17.0,1,right,D. Sabonis driving Layup (2 PTS) (C. Duarte 1 AST),"[1627734, 1630537]",1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,1.86,Made,,,,,,,2.0,,,,C. Duarte,1630537.0,1.0,,
21,PT10M02.00S,2024-01-03T03:12:50.4Z,1,REGULAR,foul,personal,['1freethrow'],1630208,,,1610612758,4,6,2024-01-03T03:12:57Z,210000,False,,,0,,N. Richards shooting personal FOUL (1 PF) (Sabonis 1 FT),"[1630208, 1627734]",1610612766.0,CHA,shooting,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1628953.0,1.0,0.0,,,,Sabonis,1627734.0
23,PT10M02.00S,2024-01-03T03:13:11.2Z,1,REGULAR,freethrow,1 of 1,[],1627734,,,1610612758,4,6,2024-01-03T03:13:13Z,230000,False,,,0,,MISS D. Sabonis Free Throw 1 of 1,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
24,PT09M59.00S,2024-01-03T03:13:14.2Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,4,6,2024-01-03T03:13:13Z,240000,False,,,0,,N. Richards REBOUND (Off:0 Def:2),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,
