actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-11-29T03:15:41.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-29T03:15:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-11-29T03:15:49.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612758,0,0,2023-11-29T03:15:49Z,40000,False,,,0,,Jump Ball D. Sabonis vs. K. Looney: Tip to Team (SAC),"[1627734, 1626172]",1610612758.0,SAC,startperiod,Team (SAC),Sabonis,1627734.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-11-29T03:16:11.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,69.72733245729303,22.30392156862745,1610612758,3,0,2023-11-29T03:16:22Z,80000,False,-138.0,232.0,1,right,K. Huerter 27' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Left Center,27.03,Made,3.0,Huerter,K. Huerter,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-11-29T03:16:28.9Z,1,REGULAR,2pt,Jump Shot,[],202691,26.62614980289093,29.166666666666668,1610612744,3,2,2023-11-29T03:16:41Z,100000,False,104.0,198.0,1,left,K. Thompson 22' pullup Jump Shot (2 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,pullup,,,,,,Mid-Range,16-24 Right Center,22.36,Made,2.0,Thompson,K. Thompson,D. Green,203110.0,1.0,,,,,,,,,,,,,,,
12,PT11M09.00S,2023-11-29T03:16:42.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,90.22667542706965,65.19607843137256,1610612758,3,2,2023-11-29T03:16:50Z,120000,False,76.0,39.0,1,right,MISS K. Huerter 8' floating Shot,[1628989],1610612758.0,SAC,floating,,,,,,In The Paint (Non-RA),8-16 Right,8.56,Missed,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2023-11-29T03:16:44.9Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,3,2,2023-11-29T03:16:50Z,130000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Green,D. Green,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,
14,PT11M04.00S,2023-11-29T03:16:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,10.068988173455978,48.03921568627451,1610612744,3,2,2023-11-29T03:17:07Z,140000,False,10.0,42.0,1,left,MISS A. Wiggins running Layup,[203952],1610612744.0,GSW,running,,,,,,Restricted Area,0-8 Center,4.32,Missed,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2023-11-29T03:16:48.5Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,3,2,2023-11-29T03:17:07Z,150000,False,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,,,,Restricted Area,0-8 Center,,,,Curry,S. Curry,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,
16,PT11M02.00S,2023-11-29T03:16:50.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', '2ndchance']",201939,6.783837056504599,47.794117647058826,1610612744,3,4,2023-11-29T06:48:01Z,160000,False,11.0,11.0,1,left,S. Curry putback Layup (2 PTS),[201939],1610612744.0,GSW,putback,,,,,,Restricted Area,0-8 Center,1.58,Made,2.0,Curry,S. Curry,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2023-11-29T03:17:09.1Z,1,REGULAR,3pt,Jump Shot,[],1630537,87.46714848883047,96.56862745098039,1610612758,3,4,2023-11-29T03:17:18Z,170000,False,233.0,65.0,1,right,MISS C. Duarte 24' step back 3PT,[1630537],1610612758.0,SAC,step back,,,,,,Right Corner 3,24+ Right,24.18,Missed,,Duarte,C. Duarte,,,,,,,,,,,,,,,,,,
