actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-02-08T03:11:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-08T03:11:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-08T03:11:53.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612758,0,0,2024-02-08T03:11:53Z,40000,False,,,0,,Jump Ball D. Sabonis vs. J. Duren: Tip to Team (SAC),"[1627734, 1631105]",1610612758.0,SAC,startperiod,Team (SAC),Sabonis,1627734.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-02-08T03:12:14.8Z,1,REGULAR,3pt,Jump Shot,[],1628989,70.12155059132719,76.9607843137255,1610612758,3,0,2024-02-08T03:12:22Z,70000,False,135.0,228.0,1,right,K. Huerter 26' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,,,,Above the Break 3,24+ Right Center,26.52,Made,3.0,Huerter,K. Huerter,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,,
9,PT11M22.00S,2024-02-08T03:12:35.5Z,1,REGULAR,turnover,bad pass,[],1631105,,,1610612765,3,0,2024-02-08T03:12:43Z,90000,False,,,0,,J. Duren bad pass TURNOVER (1 TO),"[1631105, 1628368]",1610612765.0,DET,,,,,,,Mid-Range,8-16 Left,,,,Duren,J. Duren,,,,1.0,Fox,1628368.0,,,,,,,,,,,,
10,PT11M22.00S,2024-02-08T03:12:35.5Z,1,REGULAR,steal,,[],1628368,,,1610612758,3,0,2024-02-08T03:12:38Z,100000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,,,,Mid-Range,8-16 Left,,,,Fox,D. Fox,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2024-02-08T03:12:40.2Z,1,REGULAR,turnover,lost ball,[],1628368,,,1610612758,3,0,2024-02-08T03:12:46Z,110000,False,,,0,,D. Fox lost ball TURNOVER (1 TO),"[1628368, 1641709]",1610612758.0,SAC,,,,,,,Restricted Area,0-8 Center,,,,Fox,D. Fox,,,,1.0,Thompson,1641709.0,,,,,,,,,,,,
12,PT11M18.00S,2024-02-08T03:12:40.2Z,1,REGULAR,steal,,[],1641709,,,1610612765,3,0,2024-02-08T03:12:42Z,120000,False,,,0,,A. Thompson STEAL (1 STL),[1641709],1610612765.0,DET,,,,,,,Restricted Area,0-8 Center,,,,Thompson,A. Thompson,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2024-02-08T03:12:47.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630165,32.14520367936925,60.5392156862745,1610612765,3,3,2024-02-08T03:12:54Z,130000,False,-53.0,250.0,1,left,K. Hayes 25' 3PT  (3 PTS) (A. Thompson 1 AST),"[1630165, 1641709]",1610612765.0,DET,,,,,,,Above the Break 3,24+ Center,25.52,Made,3.0,Hayes,K. Hayes,A. Thompson,1641709.0,1.0,,,,,,,,,,,,,,,
15,PT10M49.00S,2024-02-08T03:13:07.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,93.51182654402102,46.81372549019608,1610612758,5,3,2024-02-08T03:13:14Z,150000,False,-16.0,8.0,1,right,D. Sabonis cutting Layup (2 PTS) (K. Murray 1 AST),"[1627734, 1631099]",1610612758.0,SAC,cutting,,,,,,Restricted Area,0-8 Center,1.8,Made,2.0,Sabonis,D. Sabonis,K. Murray,1631099.0,1.0,,,,,,,,,,,,,,,
17,PT10M34.00S,2024-02-08T03:13:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,6.389618922470433,46.07843137254902,1610612765,5,5,2024-02-08T03:13:29Z,170000,False,20.0,8.0,1,left,A. Thompson driving Layup (2 PTS) (J. Duren 1 AST),"[1641709, 1631105]",1610612765.0,DET,driving,,,,,,Restricted Area,0-8 Center,2.1,Made,2.0,Thompson,A. Thompson,J. Duren,1631105.0,1.0,,,,,,,,,,,,,,,
