actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-04T03:10:11.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T03:10:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-04T03:10:14.7Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2024-01-04T03:10:14Z,40000,False,,,0,,Jump Ball D. Sabonis vs. G. Bitadze: Tip to D. Fox,"[1628368, 1627734, 1629048]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Sabonis,1627734.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-01-04T03:10:23.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,17.69053876478318,65.68627450980392,1610612758,2,0,2024-01-04T03:10:30Z,70000,False,-78.0,114.0,1,left,D. Fox 13' driving floating Jump Shot (2 PTS),[1628368],1610612758.0,SAC,driving floating,,,Fox,D. Fox,,,,,In The Paint (Non-RA),8-16 Left,13.82,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2024-01-04T03:10:48.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,93.51182654402102,51.9607843137255,1610612753,2,2,2024-01-04T03:11:08Z,80000,False,10.0,8.0,1,right,G. Harris driving finger roll Layup (2 PTS) (P. Banchero 1 AST),"[203914, 1631094]",1610612753.0,ORL,driving finger roll,,,Harris,G. Harris,,,,,Restricted Area,0-8 Center,1.3,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,,,,
10,PT11M13.00S,2024-01-04T03:10:56.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,7.703679369250986,54.65686274509803,1610612758,2,2,2024-01-04T03:11:02Z,100000,False,-23.0,20.0,1,left,MISS D. Fox driving Layup - blocked,"[1628368, 1630591]",1610612758.0,SAC,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,3.06,Missed,,,,,Suggs,1630591.0,,,,,,,,,,,,
11,PT11M13.00S,2024-01-04T03:10:56.6Z,1,REGULAR,block,,[],1630591,,,1610612758,2,2,2024-01-04T03:12:31Z,110000,False,,,0,,J. Suggs BLOCK (1 BLK),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2024-01-04T03:10:58.6Z,1,REGULAR,rebound,offensive,[],1628368,,,1610612758,2,2,2024-01-04T03:11:02Z,120000,False,,,0,,D. Fox REBOUND (Off:1 Def:0),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
13,PT11M04.00S,2024-01-04T03:11:06.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630537,18.2161629434954,60.049019607843135,1610612758,2,2,2024-01-04T03:12:28Z,130000,False,-50.0,119.0,1,left,MISS C. Duarte 12' turnaround fadeaway Shot,[1630537],1610612758.0,SAC,turnaround fadeaway,,,Duarte,C. Duarte,,,,,In The Paint (Non-RA),8-16 Center,12.89,Missed,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2024-01-04T03:11:08.3Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,2,2,2024-01-04T03:11:12Z,140000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
15,PT11M00.00S,2024-01-04T03:11:11.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627734,5.732588699080158,49.26470588235294,1610612758,4,2,2024-01-04T03:12:51Z,150000,False,4.0,1.0,1,left,D. Sabonis putback Layup (2 PTS),[1627734],1610612758.0,SAC,putback,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,0.4,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M45.00S,2024-01-04T03:11:25.5Z,1,REGULAR,2pt,Jump Shot,[],1630591,82.47371879106439,32.35294117647059,1610612753,4,4,2024-01-04T03:13:09Z,160000,False,-88.0,112.0,1,right,J. Suggs 14' step back Jump Shot (2 PTS) (F. Wagner 1 AST),"[1630591, 1630532]",1610612753.0,ORL,step back,,,Suggs,J. Suggs,,,,,Mid-Range,8-16 Left,14.27,Made,2.0,F. Wagner,1630532.0,1.0,,,,,,,,,,,,,,
17,PT10M21.00S,2024-01-04T03:11:49.5Z,1,REGULAR,3pt,Jump Shot,[],1631099,30.962549277266753,27.450980392156865,1610612758,4,4,2024-01-04T03:11:55Z,170000,False,113.0,239.0,1,left,MISS K. Murray 26' step back 3PT,[1631099],1610612758.0,SAC,step back,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,26.38,Missed,,,,,,,,,,,,,,,,,,
18,PT10M17.00S,2024-01-04T03:11:53.5Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,4,4,2024-01-04T03:11:55Z,180000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M03.00S,2024-01-04T03:12:06.9Z,1,REGULAR,3pt,Jump Shot,[],1630532,90.62089356110381,3.1862745098039214,1610612753,4,7,2024-01-04T03:12:11Z,190000,False,-234.0,36.0,1,right,F. Wagner 3PT  (3 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,23.68,Made,3.0,J. Suggs,1630591.0,1.0,,,,,,,,,,,,,,
21,PT09M54.00S,2024-01-04T03:12:18.6Z,1,REGULAR,foul,personal,[],203914,,,1610612758,4,7,2024-01-04T03:12:38Z,210000,False,,,0,,G. Harris personal FOUL (1 PF),"[203914, 203084]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1629422.0,1.0,0.0,Barnes,203084.0,,,
23,PT09M46.00S,2024-01-04T03:12:45.0Z,1,REGULAR,3pt,Jump Shot,[],203084,21.50131406044678,91.42156862745098,1610612758,7,7,2024-01-04T03:12:49Z,230000,False,-207.0,150.0,1,left,H. Barnes 25' 3PT  (3 PTS) (D. Sabonis 1 AST),"[203084, 1627734]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,25.55,Made,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,,,,,
25,PT09M29.00S,2024-01-04T03:13:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.72339027595268,52.20588235294118,1610612753,7,7,2024-01-04T03:13:09Z,250000,False,11.0,16.0,1,right,MISS P. Banchero cutting Layup,[1631094],1610612753.0,ORL,cutting,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,1.93,Missed,,,,,,,,,,,,,,,,,,
26,PT09M27.00S,2024-01-04T03:13:04.1Z,1,REGULAR,rebound,offensive,[],1631094,,,1610612753,7,7,2024-01-04T03:13:09Z,260000,False,,,0,,P. Banchero REBOUND (Off:1 Def:0),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,,,,,,25.0,1.0,0.0,1.0,,,,,,,,
27,PT09M25.00S,2024-01-04T03:13:05.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631094,94.82588699080158,49.26470588235294,1610612753,7,9,2024-01-04T03:15:05Z,270000,False,-4.0,-4.0,1,right,P. Banchero putback Layup (2 PTS),[1631094],1610612753.0,ORL,putback,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,0.54,Made,2.0,,,,,,,,,,,,,,,,,
28,PT09M13.00S,2024-01-04T03:13:18.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630537,6.652431011826544,53.92156862745098,1610612758,7,9,2024-01-04T03:13:22Z,280000,False,-20.0,10.0,1,left,MISS C. Duarte driving finger roll Layup,[1630537],1610612758.0,SAC,driving finger roll,,,Duarte,C. Duarte,,,,,Restricted Area,0-8 Center,2.2,Missed,,,,,,,,,,,,,,,,,,
30,PT09M11.00S,2024-01-04T03:13:20.3Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,7,9,2024-01-04T03:13:22Z,300000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,
32,PT09M03.00S,2024-01-04T03:13:28.2Z,1,REGULAR,turnover,bad pass,[],1629048,,,1610612753,7,9,2024-01-04T03:13:33Z,320000,False,,,0,,G. Bitadze bad pass TURNOVER (1 TO),"[1629048, 1630537]",1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,1.0,Duarte,1630537.0
33,PT09M03.00S,2024-01-04T03:13:28.2Z,1,REGULAR,steal,,[],1630537,,,1610612758,7,9,2024-01-04T03:13:29Z,330000,False,,,0,,C. Duarte STEAL (1 STL),[1630537],1610612758.0,SAC,,,,Duarte,C. Duarte,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
34,PT09M00.00S,2024-01-04T03:13:31.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628368,33.065045992115635,35.53921568627451,1610612758,7,9,2024-01-04T03:13:40Z,340000,False,72.0,258.0,1,left,MISS D. Fox 26' running pullup 3PT,[1628368],1610612758.0,SAC,running pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Center,26.82,Missed,,,,,,,,,,,,,,,,,,
35,PT08M56.00S,2024-01-04T03:13:35.8Z,1,REGULAR,rebound,defensive,[],203914,,,1610612753,7,9,2024-01-04T03:13:40Z,350000,False,,,0,,G. Harris REBOUND (Off:0 Def:1),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Above the Break 3,24+ Center,,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,
36,PT08M33.00S,2024-01-04T03:13:58.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,92.59198423127464,38.48039215686275,1610612753,7,9,2024-01-04T03:16:41Z,360000,False,-58.0,17.0,1,right,MISS F. Wagner 6' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.01,Missed,,,,,,,,,,,,,,,,,,
37,PT08M32.00S,2024-01-04T03:13:59.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,7,9,2024-01-04T03:16:41Z,370000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,36.0,2.0,1.0,1.0,,,,,,,,
38,PT08M23.00S,2024-01-04T03:14:07.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,6.521024967148489,48.529411764705884,1610612758,7,9,2024-01-04T03:14:11Z,380000,False,7.0,9.0,1,left,MISS D. Sabonis driving Layup,[1627734],1610612758.0,SAC,driving,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.15,Missed,,,,,,,,,,,,,,,,,,
39,PT08M22.00S,2024-01-04T03:14:08.6Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,7,9,2024-01-04T03:14:11Z,390000,False,,,0,,F. Wagner REBOUND (Off:0 Def:2),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,
