actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-23T03:10:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-23T03:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-23T03:10:26.6Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2024-02-23T03:10:26Z,40000,False,,,0,,Jump Ball D. Sabonis vs. V. Wembanyama: Tip to H. Barnes,"[203084, 1627734, 1641705]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-02-23T03:10:36.1Z,1,REGULAR,3pt,Jump Shot,[],1631099,68.15045992115637,68.87254901960785,1610612758,0,0,2024-02-23T03:10:42Z,70000,False,94.0,247.0,1,right,MISS K. Murray 26' 3PT,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Right Center,26.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-02-23T03:10:40.4Z,1,REGULAR,rebound,offensive,[],203084,,,1610612758,0,0,2024-02-23T03:10:40Z,80000,False,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2024-02-23T03:10:42.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],203084,71.43561103810775,19.362745098039216,1610612758,0,0,2024-02-23T03:10:48Z,90000,False,-153.0,216.0,1,right,MISS H. Barnes 26' 3PT,[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,26.48,Missed,,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2024-02-23T03:10:44.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,0,0,2024-02-23T03:10:48Z,100000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M30.00S,2024-02-23T03:10:51.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,8.492115637319317,57.84313725490197,1610612759,0,0,2024-02-23T03:11:21Z,110000,False,-39.0,27.0,1,left,MISS V. Wembanyama driving Layup - blocked,"[1641705, 1627734]",1610612759.0,SAS,driving,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,4.78,Missed,,,,,Sabonis,1627734.0,,,,,,,,,,,,
12,PT11M30.00S,2024-02-23T03:10:51.9Z,1,REGULAR,block,,[],1627734,,,1610612759,0,0,2024-02-23T03:10:54Z,120000,False,,,0,,D. Sabonis BLOCK (1 BLK),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2024-02-23T03:10:54.9Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,0,0,2024-02-23T03:11:07Z,130000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,11.0,2.0,1.0,1.0,,,,,,,,,,,,,,
14,PT11M22.00S,2024-02-23T03:11:00.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631110,7.835085413929041,41.911764705882355,1610612759,0,0,2024-02-23T03:11:15Z,140000,False,40.0,21.0,1,left,MISS J. Sochan driving Layup,[1631110],1610612759.0,SAS,driving,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,4.56,Missed,,,,,,,,,,,,,,,,,,
15,PT11M19.00S,2024-02-23T03:11:03.9Z,1,REGULAR,rebound,offensive,[],1630200,,,1610612759,0,0,2024-02-23T03:11:03Z,150000,False,,,0,,T. Jones REBOUND (Off:1 Def:0),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT11M13.00S,2024-02-23T03:11:09.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1641705,20.97568988173456,69.85294117647058,1610612759,0,0,2024-02-23T03:11:22Z,160000,False,-99.0,145.0,1,left,MISS V. Wembanyama 17' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Left Center,17.55,Missed,,,,,,,,,,,,,,,,,,
17,PT11M09.00S,2024-02-23T03:11:13.6Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,0,0,2024-02-23T03:11:22Z,170000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M55.00S,2024-02-23T03:11:28.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627734,93.24901445466492,46.81372549019608,1610612758,2,0,2024-02-23T03:11:35Z,180000,False,-16.0,11.0,1,right,D. Sabonis cutting DUNK (2 PTS) (D. Fox 1 AST),"[1627734, 1628368]",1610612758.0,SAC,cutting,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,1.93,Made,,,,,,,2.0,D. Fox,1628368.0,1.0,,,,,,,,
20,PT10M39.00S,2024-02-23T03:11:43.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641705,14.799605781865965,47.30392156862745,1610612759,2,2,2024-02-23T03:12:30Z,200000,False,13.0,87.0,1,left,V. Wembanyama 8' driving floating Jump Shot (2 PTS) (D. Vassell 1 AST),"[1641705, 1630170]",1610612759.0,SAS,driving floating,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,8.76,Made,,,,,,,2.0,D. Vassell,1630170.0,1.0,,,,,,,,
22,PT10M24.00S,2024-02-23T03:11:58.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,90.22667542706965,48.529411764705884,1610612758,4,2,2024-02-23T03:12:56Z,220000,False,-7.0,39.0,1,right,D. Sabonis turnaround bank Hook (4 PTS),[1627734],1610612758.0,SAC,turnaround bank,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,4.01,Made,,,,,,,4.0,,,,,,,,,,,
23,PT10M12.00S,2024-02-23T03:12:09.5Z,1,REGULAR,3pt,Jump Shot,[],1630577,5.601182654402102,96.07843137254902,1610612759,4,5,2024-02-23T03:12:21Z,230000,False,-230.0,0.0,1,left,J. Champagnie 3PT  (3 PTS) (T. Jones 1 AST),"[1630577, 1630200]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,23.04,Made,,,,,,,3.0,T. Jones,1630200.0,1.0,,,,,,,,
25,PT10M11.00S,2024-02-23T03:12:18.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612758,4,5,2024-02-23T03:12:18Z,250000,False,,,0,,SAC Timeout,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M55.00S,2024-02-23T03:15:25.7Z,1,REGULAR,3pt,Jump Shot,[],1628989,68.28186596583443,65.44117647058823,1610612758,7,5,2024-02-23T03:15:51Z,260000,False,77.0,246.0,1,right,K. Huerter 25' 3PT  (3 PTS) (D. Sabonis 1 AST),"[1628989, 1627734]",1610612758.0,SAC,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Center,25.75,Made,,,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,
28,PT09M36.00S,2024-02-23T03:15:45.0Z,1,REGULAR,2pt,Jump Shot,[],1641705,12.565703022339028,25.245098039215684,1610612759,7,5,2024-02-23T03:15:53Z,280000,False,124.0,66.0,1,left,MISS V. Wembanyama 14' fadeaway Shot,[1641705],1610612759.0,SAS,fadeaway,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Right,14.01,Missed,,,,,,,,,,,,,,,,,,
29,PT09M32.00S,2024-02-23T03:15:49.0Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,7,5,2024-02-23T03:15:53Z,290000,False,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Right,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M25.00S,2024-02-23T03:15:56.1Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,7,5,2024-02-23T03:16:02Z,300000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 1641705]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1.0,Wembanyama,1641705.0,,,,,
31,PT09M25.00S,2024-02-23T03:15:56.1Z,1,REGULAR,steal,,[],1641705,,,1610612759,7,5,2024-02-23T03:15:58Z,310000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M17.00S,2024-02-23T03:16:04.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631110,6.521024967148489,47.30392156862745,1610612759,7,7,2024-02-23T03:16:12Z,320000,False,13.0,9.0,1,left,J. Sochan cutting DUNK (2 PTS) (V. Wembanyama 1 AST),"[1631110, 1641705]",1610612759.0,SAS,cutting,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,,2.0,V. Wembanyama,1641705.0,1.0,,,,,,,,
41,PT09M01.00S,2024-02-23T03:16:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,91.40932982917214,46.568627450980394,1610612758,7,7,2024-02-23T03:18:50Z,335000,False,-17.0,28.0,1,right,MISS K. Huerter driving Layup - blocked,"[1628989, 1641705]",1610612758.0,SAC,driving,,,Huerter,K. Huerter,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,,,,
42,PT09M01.00S,2024-02-23T03:16:12.0Z,1,REGULAR,block,,[],1641705,,,1610612758,7,7,2024-02-23T03:18:50Z,337500,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT09M01.00S,2024-02-23T03:16:12.0Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,7,7,2024-02-23T03:18:50Z,338750,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,41.0,1.0,1.0,0.0,,,,,,,,,,,,,,
