actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-27T02:05:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-27T02:05:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2024-03-27T02:05:26.8Z,1,REGULAR,jumpball,recovered,[],202681,,,1610612742,0,0,2024-03-27T02:05:26Z,40000,False,,,0,,Jump Ball D. Gafford vs. D. Sabonis: Tip to K. Irving,"[202681, 1629655, 1627734]",1610612742.0,DAL,startperiod,K. Irving,202681.0,Irving,K. Irving,Gafford,1629655.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-27T02:05:35.2Z,1,REGULAR,2pt,Jump Shot,[],1629029,77.4802890932983,45.83333333333333,1610612742,0,0,2024-03-27T02:07:05Z,70000,False,-21.0,159.0,1,right,MISS L. Doncic 16' fadeaway Shot,[1629029],1610612742.0,DAL,fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Center,16.06,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-03-27T02:05:36.2Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612742,0,0,2024-03-27T02:07:05Z,80000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M43.00S,2024-03-27T02:05:39.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629655,94.40999984741211,50.0,1610612742,0,0,2024-03-27T02:07:19Z,90000,False,0.0,0.0,1,right,MISS D. Gafford tip Layup,[1629655],1610612742.0,DAL,tip,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
10,PT11M41.00S,2024-03-27T02:05:41.3Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2024-03-27T02:07:19Z,100000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M25.00S,2024-03-27T02:05:53.1Z,1,REGULAR,2pt,Jump Shot,[],1631099,20.18725361366623,29.65686274509804,1610612758,2,0,2024-03-27T02:05:57Z,110000,False,102.0,137.0,1,left,K. Murray 17' pullup Jump Shot (2 PTS) (D. Sabonis 1 AST),"[1631099, 1627734]",1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,Mid-Range,16-24 Right Center,17.09,Made,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
13,PT11M11.00S,2024-03-27T02:06:08.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,90.3580814717477,54.41176470588235,1610612742,2,0,2024-03-27T02:06:13Z,130000,False,22.0,38.0,1,right,MISS K. Irving driving Layup,[202681],1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,4.4,Missed,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2024-03-27T02:06:11.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,0,2024-03-27T02:06:13Z,140000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M50.00S,2024-03-27T02:06:28.7Z,1,REGULAR,3pt,Jump Shot,[],1631165,27.151773981603156,78.18627450980392,1610612758,5,0,2024-03-27T02:06:35Z,150000,False,-141.0,203.0,1,left,K. Ellis 24' 3PT  (3 PTS) (D. Sabonis 2 AST),"[1631165, 1627734]",1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,24.69,Made,,,,,3.0,D. Sabonis,1627734.0,2.0,,,,,,,,,,
17,PT10M30.00S,2024-03-27T02:06:48.4Z,1,REGULAR,3pt,Jump Shot,[],1629023,71.56701708278581,78.67647058823529,1610612742,5,3,2024-03-27T02:06:54Z,170000,False,143.0,215.0,1,right,P. Washington 25' 3PT  (3 PTS) (L. Doncic 1 AST),"[1629023, 1629029]",1610612742.0,DAL,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,25.83,Made,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,
19,PT10M14.00S,2024-03-27T02:07:03.9Z,1,REGULAR,2pt,Jump Shot,[],1631165,23.603810775295663,66.17647058823529,1610612758,7,3,2024-03-27T02:07:08Z,190000,False,-81.0,169.0,1,left,K. Ellis 18' pullup Jump Shot (5 PTS) (D. Sabonis 3 AST),"[1631165, 1627734]",1610612758.0,SAC,pullup,,,Ellis,K. Ellis,,,,,Mid-Range,16-24 Left Center,18.77,Made,,,,,5.0,D. Sabonis,1627734.0,3.0,,,,,,,,,,
21,PT09M55.00S,2024-03-27T02:07:23.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627884,86.02168199737189,51.225490196078425,1610612742,7,3,2024-03-27T02:07:27Z,210000,False,6.0,79.0,1,right,MISS D. Jones Jr. 7' floating Shot,[1627884],1610612742.0,DAL,floating,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.91,Missed,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2024-03-27T02:07:25.4Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,7,3,2024-03-27T02:07:27Z,220000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,In The Paint (Non-RA),0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT09M47.00S,2024-03-27T02:07:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,6.389618922470433,51.9607843137255,1610612758,7,3,2024-03-27T02:07:38Z,230000,False,-10.0,8.0,1,left,MISS H. Barnes driving Layup,[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.24,Missed,,,,,,,,,,,,,,,,,,
24,PT09M45.00S,2024-03-27T02:07:34.1Z,1,REGULAR,rebound,defensive,[],1629029,,,1610612742,7,3,2024-03-27T02:07:38Z,240000,False,,,0,,L. Doncic REBOUND (Off:0 Def:1),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Restricted Area,0-8 Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
