actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-12T03:10:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-12T03:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2023-12-12T03:10:21.1Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2023-12-12T03:10:21Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Sabonis: Tip to S. Dinwiddie,"[203915, 1629651, 1627734]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-12-12T03:10:29.1Z,1,REGULAR,3pt,Jump Shot,[],203915,5.206964520367937,4.6568627450980395,1610612751,0,0,2023-12-12T03:10:33Z,70000,False,227.0,-4.0,1,left,MISS S. Dinwiddie 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Right Corner 3,24+ Right,22.67,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-12-12T03:10:32.1Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2023-12-12T03:10:33Z,80000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-12-12T03:10:45.2Z,1,REGULAR,foul,personal,['2freethrow'],203915,,,1610612758,0,0,2023-12-12T03:10:54Z,90000,False,,,0,,S. Dinwiddie shooting personal FOUL (1 PF) (Murray 2 FT),"[203915, 1631099]",1610612751.0,BKN,shooting,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,203593.0,1.0,0.0,Murray,1631099.0,,,,,,,,,
11,PT11M29.00S,2023-12-12T03:11:08.2Z,1,REGULAR,freethrow,1 of 2,[],1631099,,,1610612758,1,0,2023-12-12T03:11:08Z,110000,False,,,0,,K. Murray Free Throw 1 of 2 (1 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M29.00S,2023-12-12T03:11:20.8Z,1,REGULAR,freethrow,2 of 2,[],1631099,,,1610612758,2,0,2023-12-12T03:11:20Z,120000,False,,,0,,K. Murray Free Throw 2 of 2 (2 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M10.00S,2023-12-12T03:11:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,5.601182654402102,45.83333333333333,1610612751,2,2,2023-12-12T03:11:49Z,130000,False,21.0,0.0,1,left,N. Claxton alley-oop Layup (2 PTS) (C. Thomas 1 AST),"[1629651, 1630560]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,,,,,,2.0,C. Thomas,1630560.0,1.0,,,,,
15,PT11M04.00S,2023-12-12T03:11:51.4Z,1,REGULAR,foul,offensive,[],1628368,,,1610612758,2,2,2023-12-12T03:12:05Z,150000,False,,,0,,D. Fox offensive FOUL (1 PF),"[1628368, 1630560]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,203593.0,1.0,0.0,Thomas,1630560.0,,,,,,,,,
17,PT11M04.00S,2023-12-12T03:11:51.4Z,1,REGULAR,turnover,offensive foul,[],1628368,,,1610612758,2,2,2023-12-12T03:11:51Z,170000,False,,,0,,D. Fox offensive foul TURNOVER (1 TO),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,,,,,,,203593.0,,,,,,,,,1.0,,,,
