actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-19T03:11:02.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-19T03:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-19T03:11:05.6Z,1,REGULAR,jumpball,recovered,[],1626167,,,1610612754,0,0,2024-01-19T03:11:05Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Sabonis: Tip to M. Turner,"[1626167, 1626167, 1627734]",1610612754.0,IND,startperiod,M. Turner,1626167.0,Turner,M. Turner,Turner,1626167.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-19T03:11:17.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,8.886333771353483,43.13725490196079,1610612754,0,2,2024-01-19T03:11:24Z,70000,False,34.0,31.0,1,left,B. Hield cutting Layup (2 PTS) (M. Turner 1 AST),"[1627741, 1626167]",1610612754.0,IND,cutting,,,Hield,B. Hield,,,,,In The Paint (Non-RA),0-8 Center,4.62,Made,2.0,M. Turner,1626167.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-01-19T03:11:37.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,85.10183968462549,63.970588235294116,1610612758,2,2,2024-01-19T03:11:52Z,90000,False,70.0,88.0,1,right,K. Murray 11' fadeaway Jump Shot (2 PTS),[1631099],1610612758.0,SAC,fadeaway,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Right,11.2,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2024-01-19T03:11:50.2Z,1,REGULAR,2pt,Jump Shot,[],1631097,21.107095926412615,28.676470588235293,1610612754,2,4,2024-01-19T03:12:26Z,100000,False,107.0,146.0,1,left,B. Mathurin 18' pullup Jump Shot (2 PTS),[1631097],1610612754.0,IND,pullup,,,Mathurin,B. Mathurin,,,,,Mid-Range,16-24 Right Center,18.07,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2024-01-19T03:12:01.8Z,1,REGULAR,turnover,bad pass,[],1628368,,,1610612758,2,4,2024-01-19T03:12:05Z,110000,False,,,0,,D. Fox bad pass TURNOVER (1 TO),"[1628368, 204456]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Center,,,,,,,1.0,McConnell,204456.0,,,,,,,,,,,
12,PT11M00.00S,2024-01-19T03:12:01.8Z,1,REGULAR,steal,,[],204456,,,1610612754,2,4,2024-01-19T03:12:04Z,120000,False,,,0,,T. McConnell STEAL (1 STL),[204456],1610612754.0,IND,,,,McConnell,T. McConnell,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M53.00S,2024-01-19T03:12:07.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630188,9.543363994743759,54.41176470588235,1610612754,2,6,2024-01-19T03:12:12Z,130000,False,-22.0,37.0,1,left,J. Smith running Layup (2 PTS) (B. Hield 1 AST),"[1630188, 1627741]",1610612754.0,IND,running,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,4.33,Made,2.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,,
15,PT10M38.00S,2024-01-19T03:12:22.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627734,91.80354796320631,38.23529411764706,1610612758,4,6,2024-01-19T03:12:28Z,150000,False,-59.0,25.0,1,right,D. Sabonis 6' Hook (2 PTS),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,6.37,Made,2.0,,,,,,,,,,,,,,,,,
16,PT10M28.00S,2024-01-19T03:12:32.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204456,10.85742444152431,56.86274509803921,1610612754,4,8,2024-01-19T03:12:38Z,160000,False,-34.0,50.0,1,left,T. McConnell 6' driving reverse Layup (2 PTS),[204456],1610612754.0,IND,driving reverse,,,McConnell,T. McConnell,,,,,In The Paint (Non-RA),0-8 Center,6.03,Made,2.0,,,,,,,,,,,,,,,,,
