actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-03T02:10:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-03T02:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-03T02:10:28.0Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2024-04-03T02:10:28Z,40000,False,,,0,,Jump Ball D. Sabonis vs. I. Zubac: Tip to H. Barnes,"[203084, 1627734, 1627826]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-04-03T02:10:49.0Z,1,REGULAR,3pt,Jump Shot,[],1628368,69.59592641261499,21.568627450980394,1610612758,0,0,2024-04-03T02:11:20Z,70000,False,-142.0,233.0,1,right,MISS D. Fox 27' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Left Center,27.32,Missed,,,,,,,,,,,,,,,,,,
8,PT11M32.00S,2024-04-03T02:10:51.5Z,1,REGULAR,rebound,offensive,[],1627734,,,1610612758,0,0,2024-04-03T02:10:51Z,80000,False,,,0,,D. Sabonis REBOUND (Off:1 Def:0),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-04-03T02:10:56.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631099,90.88370565045992,72.30392156862744,1610612758,0,0,2024-04-03T02:11:01Z,90000,False,112.0,33.0,1,right,MISS K. Murray 11' fadeaway Shot,[1631099],1610612758.0,SAC,fadeaway,,,Murray,K. Murray,,,,,Mid-Range,8-16 Right,11.63,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2024-04-03T02:10:59.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2024-04-03T02:11:01Z,100000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Mid-Range,8-16 Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M17.00S,2024-04-03T02:11:06.7Z,1,REGULAR,turnover,bad pass,[],201935,,,1610612746,0,0,2024-04-03T02:11:11Z,110000,False,,,0,,J. Harden bad pass TURNOVER (1 TO),"[201935, 1627734]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Sabonis,1627734.0,,,,,,,,,,,
12,PT11M17.00S,2024-04-03T02:11:06.7Z,1,REGULAR,steal,,[],1627734,,,1610612758,0,0,2024-04-03T02:11:09Z,120000,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2024-04-03T02:11:11.4Z,1,REGULAR,turnover,lost ball,[],1627734,,,1610612758,0,0,2024-04-03T02:11:16Z,130000,False,,,0,,D. Sabonis lost ball TURNOVER (1 TO),"[1627734, 201935]",1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Harden,201935.0,,,,,,,,,,,
14,PT11M12.00S,2024-04-03T02:11:11.4Z,1,REGULAR,steal,,[],201935,,,1610612746,0,0,2024-04-03T02:11:14Z,140000,False,,,0,,J. Harden STEAL (1 STL),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
