actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-30T02:10:08.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-30T02:10:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-30T02:10:11.1Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612758,0,0,2024-03-30T02:10:11Z,40000,False,,,0,,Jump Ball D. Sabonis vs. D. Gafford: Tip to H. Barnes,"[203084, 1627734, 1629655]",1610612758.0,SAC,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Sabonis,1627734.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-03-30T02:10:22.3Z,1,REGULAR,2pt,Jump Shot,[],1628368,21.895532194480946,77.20588235294117,1610612758,2,0,2024-03-30T02:10:49Z,70000,False,-136.0,153.0,1,left,D. Fox 20' pullup Jump Shot (2 PTS),[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Mid-Range,16-24 Left Center,20.49,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2024-03-30T02:11:03.2Z,1,REGULAR,turnover,lost ball,[],1629655,,,1610612742,2,0,2024-03-30T02:11:45Z,90000,False,,,0,,D. Gafford lost ball TURNOVER (1 TO),"[1629655, 1628368]",1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Center,,,,1.0,Fox,1628368.0,,,,,,,,,,,,,,
10,PT11M25.00S,2024-03-30T02:11:03.2Z,1,REGULAR,steal,,[],1628368,,,1610612758,2,0,2024-03-30T02:11:05Z,100000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2024-03-30T02:11:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203084,5.863994743758213,53.67647058823529,1610612758,4,0,2024-03-30T02:11:15Z,110000,False,-18.0,3.0,1,left,H. Barnes running reverse Layup (2 PTS) (K. Ellis 1 AST),"[203084, 1631165]",1610612758.0,SAC,running reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.86,Made,2.0,,,,K. Ellis,1631165.0,1.0,,,,,,,,,,,
13,PT11M08.00S,2024-03-30T02:11:23.0Z,1,REGULAR,turnover,out-of-bounds,[],1629029,,,1610612742,4,0,2024-03-30T02:11:27Z,130000,False,,,0,,L. Doncic lost ball out-of-bounds TURNOVER (1 TO),[1629029],1610612742.0,DAL,lost ball,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Right Center,,,,1.0,,,,,,1627962.0,,,,,,,,,,
14,PT11M02.00S,2024-03-30T02:11:31.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631165,23.340998685939553,86.76470588235294,1610612758,4,0,2024-03-30T02:11:37Z,140000,False,-184.0,167.0,1,left,MISS K. Ellis 24' 3PT,[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,24.83,Missed,,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2024-03-30T02:11:37.6Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612742,4,0,2024-03-30T02:11:41Z,150000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612742.0,DAL,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
52,PT10M44.00S,2024-03-30T02:11:40.0Z,1,REGULAR,turnover,lost ball,[],1627884,,,1610612742,4,0,2024-03-30T02:17:18Z,155000,False,,,0,,D. Jones Jr. lost ball TURNOVER (1 TO),"[1627884, 1627734]",1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Sabonis,1627734.0,,,,,,,,,,,,,,
53,PT10M44.00S,2024-03-30T02:11:40.0Z,1,REGULAR,steal,,[],1627734,,,1610612758,4,0,2024-03-30T02:17:08Z,157500,False,,,0,,D. Sabonis STEAL (1 STL),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M39.00S,2024-03-30T02:11:54.6Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1631165,25.04927726675427,84.55882352941177,1610612758,7,0,2024-03-30T02:17:20Z,190000,False,-173.0,183.0,1,left,K. Ellis 25' 3PT running (3 PTS) (D. Sabonis 1 AST),"[1631165, 1627734]",1610612758.0,SAC,running,,,Ellis,K. Ellis,,,,,Above the Break 3,24+ Left Center,25.17,Made,3.0,,,,D. Sabonis,1627734.0,1.0,,,,,,,,,,,
21,PT10M26.00S,2024-03-30T02:12:06.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202681,92.72339027595268,53.431372549019606,1610612742,7,2,2024-03-30T02:12:11Z,210000,False,17.0,16.0,1,right,K. Irving driving Layup (2 PTS) (D. Jones Jr. 1 AST),"[202681, 1627884]",1610612742.0,DAL,driving,,,Irving,K. Irving,,,,,Restricted Area,0-8 Center,2.34,Made,2.0,,,,D. Jones Jr.,1627884.0,1.0,,,,,,,,,,,
23,PT10M14.00S,2024-03-30T02:12:19.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,5.863994743758213,46.07843137254902,1610612758,9,2,2024-03-30T02:12:26Z,230000,False,20.0,3.0,1,left,H. Barnes driving finger roll Layup (4 PTS) (D. Sabonis 2 AST),"[203084, 1627734]",1610612758.0,SAC,driving finger roll,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.98,Made,4.0,,,,D. Sabonis,1627734.0,2.0,,,,,,,,,,,
