actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-10-30T01:10:15.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-30T01:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-10-30T01:10:20.2Z,1,REGULAR,jumpball,recovered,[],1626156,,,1610612747,0,0,2023-10-30T01:10:20Z,40000,False,,,0,,Jump Ball A. Davis vs. D. Sabonis: Tip to D. Russell,"[1626156, 203076, 1627734]",1610612747.0,LAL,startperiod,D. Russell,1626156.0,Russell,D. Russell,Davis,203076.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-10-30T01:10:30.6Z,1,REGULAR,turnover,bad pass,[],2544,,,1610612747,0,0,2023-10-30T01:10:37Z,70000,False,,,0,,L. James bad pass TURNOVER (1 TO),"[2544, 1628368]",1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,8-16 Left,1.0,Fox,1628368.0,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2023-10-30T01:10:30.6Z,1,REGULAR,steal,,[],1628368,,,1610612758,0,0,2023-10-30T01:10:33Z,80000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-10-30T01:10:35.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628368,4.812746386333772,52.20588235294118,1610612758,2,0,2023-10-30T01:10:41Z,90000,False,-11.0,-7.0,1,left,D. Fox running Layup (2 PTS),[1628368],1610612758.0,SAC,running,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,1.32,Made,2.0,,,,,,,,,,,,,,
10,PT11M24.00S,2023-10-30T01:10:50.8Z,1,REGULAR,3pt,Jump Shot,[],1630559,79.31997371879106,92.40196078431373,1610612747,2,0,2023-10-30T01:10:58Z,100000,False,212.0,142.0,1,right,MISS A. Reaves 25' step back 3PT,[1630559],1610612747.0,LAL,step back,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Right Center,,,,25.51,Missed,,,,,,,,,,,,,,,
11,PT11M20.00S,2023-10-30T01:10:54.8Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,2,0,2023-10-30T01:10:58Z,110000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M09.00S,2023-10-30T01:11:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631099,5.206964520367937,46.07843137254902,1610612758,2,0,2023-10-30T01:11:52Z,120000,False,20.0,-4.0,1,left,MISS K. Murray cutting Layup - blocked,"[1631099, 203076]",1610612758.0,SAC,cutting,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,1.99,Missed,,,,,,Davis,203076.0,,,,,,,,
13,PT11M09.00S,2023-10-30T01:11:08.1Z,1,REGULAR,block,,[],203076,,,1610612758,2,0,2023-10-30T01:11:10Z,130000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M08.00S,2023-10-30T01:11:09.1Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,2,0,2023-10-30T01:11:52Z,140000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
