actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-23T03:10:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-23T03:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-23T03:10:17.1Z,1,REGULAR,jumpball,recovered,[],1630180,,,1610612737,0,0,2024-01-23T03:10:17Z,40000,False,,,0,,Jump Ball C. Capela vs. D. Sabonis: Tip to S. Bey,"[1630180, 203991, 1627734]",1610612737.0,ATL,startperiod,S. Bey,1630180.0,Bey,S. Bey,Capela,203991.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-01-23T03:10:32.1Z,1,REGULAR,turnover,bad pass,[],203991,,,1610612737,0,0,2024-01-23T03:10:36Z,70000,False,,,0,,C. Capela bad pass TURNOVER (1 TO),"[203991, 1631099]",1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,1.0,Murray,1631099.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-01-23T03:10:32.1Z,1,REGULAR,steal,,[],1631099,,,1610612758,0,0,2024-01-23T03:10:34Z,80000,False,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-01-23T03:10:36.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631099,6.389618922470433,56.127450980392155,1610612758,0,0,2024-01-23T03:11:04Z,90000,False,-31.0,8.0,1,left,MISS K. Murray running Layup - blocked,"[1631099, 203991]",1610612758.0,SAC,running,,,Murray,K. Murray,,,,,Restricted Area,0-8 Center,,,,3.15,Missed,Capela,203991.0,,,,,,,,,,,,,
10,PT11M38.00S,2024-01-23T03:10:36.9Z,1,REGULAR,block,,[],203991,,,1610612758,0,0,2024-01-23T03:10:39Z,100000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M36.00S,2024-01-23T03:10:38.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,0,0,2024-01-23T03:11:04Z,110000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M29.00S,2024-01-23T03:10:43.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627749,94.43166885676742,51.9607843137255,1610612737,0,0,2024-01-23T03:10:53Z,120000,False,10.0,0.0,1,right,MISS D. Murray running Layup,[1627749],1610612737.0,ATL,running,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,0.98,Missed,,,,,,,,,,,,,,,
13,PT11M29.00S,2024-01-23T03:10:43.8Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,0,0,2024-01-23T03:10:53Z,130000,False,,,0,,C. Capela REBOUND (Off:1 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,
14,PT11M25.00S,2024-01-23T03:10:47.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,92.59198423127464,48.529411764705884,1610612737,0,2,2024-01-23T03:10:57Z,140000,False,-7.0,17.0,1,right,C. Capela tip Layup (2 PTS),[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,1.86,Made,,,,,,,2.0,,,,,,,,
15,PT11M15.00S,2024-01-23T03:10:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631099,17.296320630749015,52.94117647058824,1610612758,2,2,2024-01-23T03:11:57Z,150000,False,-15.0,110.0,1,left,K. Murray 11' floating Jump Shot (2 PTS) (D. Sabonis 1 AST),"[1631099, 1627734]",1610612758.0,SAC,floating,,,Murray,K. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,11.11,Made,,,,,,,2.0,D. Sabonis,1627734.0,1.0,,,,,
17,PT10M58.00S,2024-01-23T03:11:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630552,88.51839684625493,42.15686274509804,1610612737,2,2,2024-01-23T03:12:50Z,170000,False,-39.0,55.0,1,right,MISS J. Johnson 6' driving floating Shot,[1630552],1610612737.0,ATL,driving floating,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,6.79,Missed,,,,,,,,,,,,,,,
18,PT10M57.00S,2024-01-23T03:11:16.5Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,2,2,2024-01-23T03:12:50Z,180000,False,,,0,,C. Capela REBOUND (Off:2 Def:0),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,17.0,2.0,0.0,2.0,,,,,,,,,
19,PT10M57.00S,2024-01-23T03:11:21.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",203991,94.40999984741211,50.0,1610612737,2,2,2024-01-23T03:12:59Z,190000,False,0.0,0.0,1,right,MISS C. Capela tip Layup,[203991],1610612737.0,ATL,tip,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
20,PT10M56.00S,2024-01-23T03:11:22.2Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,2,2,2024-01-23T03:12:59Z,200000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
21,PT10M42.00S,2024-01-23T03:11:30.4Z,1,REGULAR,3pt,Jump Shot,[],203084,29.517082785808146,25.245098039215684,1610612758,5,2,2024-01-23T03:11:36Z,210000,False,124.0,225.0,1,left,H. Barnes 25' 3PT  (3 PTS) (K. Murray 1 AST),"[203084, 1631099]",1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,,,,25.68,Made,,,,,,,3.0,K. Murray,1631099.0,1.0,,,,,
23,PT10M29.00S,2024-01-23T03:11:43.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,81.94809461235218,4.901960784313726,1610612737,5,2,2024-01-23T03:11:47Z,230000,False,-225.0,117.0,1,right,MISS S. Bey 25' 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Left Center,,,,25.41,Missed,,,,,,,,,,,,,,,
24,PT10M26.00S,2024-01-23T03:11:46.9Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,5,2,2024-01-23T03:11:47Z,240000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,
25,PT10M19.00S,2024-01-23T03:11:54.1Z,1,REGULAR,3pt,Jump Shot,[],1627734,31.09395532194481,65.44117647058823,1610612758,5,2,2024-01-23T03:11:58Z,250000,False,-77.0,240.0,1,left,MISS D. Sabonis 25' 3PT,[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,25.19,Missed,,,,,,,,,,,,,,,
