actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-26T02:10:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-26T02:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-03-26T02:10:24.3Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-03-26T02:10:24Z,40000,False,,,0,,Jump Ball M. Bamba vs. D. Sabonis: Tip to T. Maxey,"[1630178, 1628964, 1627734]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Bamba,1628964.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-03-26T02:10:45.2Z,1,REGULAR,3pt,Jump Shot,[],202699,92.85479632063075,95.09803921568627,1610612755,0,0,2024-03-26T02:10:51Z,70000,False,225.0,15.0,1,right,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Right Corner 3,24+ Right,22.6,Missed,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2024-03-26T02:10:50.2Z,1,REGULAR,rebound,defensive,[],1631099,,,1610612758,0,0,2024-03-26T02:10:51Z,80000,False,,,0,,K. Murray REBOUND (Off:0 Def:1),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2024-03-26T02:11:00.5Z,1,REGULAR,3pt,Jump Shot,[],1631099,32.14520367936925,49.01960784313725,1610612758,3,0,2024-03-26T02:11:22Z,90000,False,5.0,250.0,1,left,K. Murray 24' 3PT pullup (3 PTS) (D. Sabonis 1 AST),"[1631099, 1627734]",1610612758.0,SAC,pullup,,,Murray,K. Murray,,,,,Above the Break 3,24+ Center,24.97,Made,,,,,3.0,D. Sabonis,1627734.0,1.0,,,,,,,,,,
11,PT11M01.00S,2024-03-26T02:11:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,94.30026281208936,54.90196078431373,1610612755,3,0,2024-03-26T02:11:35Z,110000,False,25.0,1.0,1,right,MISS T. Maxey driving Layup,[1630178],1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2024-03-26T02:11:16.7Z,1,REGULAR,rebound,offensive,[],1628964,,,1610612755,3,0,2024-03-26T02:12:10Z,120000,False,,,0,,M. Bamba REBOUND (Off:1 Def:0),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT10M58.00S,2024-03-26T02:11:58.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,3,0,2024-03-26T02:11:58Z,130000,False,,,0,,Jump Ball M. Bamba vs. D. Fox: Tip to Team (PHI),"[1628964, 1628368]",1610612755.0,PHI,heldball,Team (PHI),,,,Bamba,1628964.0,Fox,1628368.0,,,,,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2024-03-26T02:12:15.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],200768,77.87450722733246,9.803921568627452,1610612755,3,0,2024-03-26T02:12:21Z,160000,False,-201.0,155.0,1,right,MISS K. Lowry 25' pullup 3PT,[200768],1610612755.0,PHI,pullup,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Left Center,25.41,Missed,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2024-03-26T02:12:19.5Z,1,REGULAR,rebound,defensive,[],203084,,,1610612758,3,0,2024-03-26T02:12:21Z,170000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612758.0,SAC,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
