actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-06T00:35:38.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-06T00:35:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-12-06T00:35:44.5Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2023-12-06T00:35:44Z,40000,False,,,0,,Jump Ball M. Robinson vs. B. Lopez: Tip to J. Randle,"[203944, 1629011, 201572]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-06T00:35:57.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629628,92.19776609724047,59.068627450980394,1610612752,0,0,2023-12-06T00:36:03Z,70000,False,45.0,21.0,1,right,MISS R. Barrett Layup,[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,4.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-12-06T00:36:01.7Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2023-12-06T00:36:03Z,80000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2023-12-06T00:36:06.5Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,0,2023-12-06T00:36:14Z,90000,False,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,,,,202026.0,1.0,,,,,,,,,,,,
10,PT11M24.00S,2023-12-06T00:36:20.9Z,1,REGULAR,turnover,lost ball,[],203944,,,1610612752,0,0,2023-12-06T00:36:27Z,100000,False,,,0,,J. Randle lost ball TURNOVER (1 TO),"[203944, 203507]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Mid-Range,16-24 Left,,,,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,
11,PT11M24.00S,2023-12-06T00:36:20.9Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2023-12-06T00:36:23Z,110000,False,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2023-12-06T00:36:28.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201572,28.465834428383708,12.745098039215685,1610612749,0,0,2023-12-06T00:36:34Z,120000,False,186.0,215.0,1,left,MISS B. Lopez 28' running 3PT,[201572],1610612749.0,MIL,running,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,28.46,Missed,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2023-12-06T00:36:32.6Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,0,0,2023-12-06T00:36:34Z,130000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M59.00S,2023-12-06T00:36:45.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,92.06636005256242,57.107843137254896,1610612752,0,2,2023-12-06T00:36:51Z,140000,False,36.0,22.0,1,right,J. Brunson driving floating bank Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating bank,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,4.18,Made,,,,,,,,,2.0,,,,,,,,,
15,PT10M41.00S,2023-12-06T00:37:03.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,8.623521681997373,51.71568627450981,1610612749,2,2,2023-12-06T00:37:08Z,150000,False,-9.0,29.0,1,left,G. Antetokounmpo alley-oop DUNK (2 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.99,Made,,,,,,,,,2.0,K. Middleton,203114.0,1.0,,,,,,
17,PT10M29.00S,2023-12-06T00:37:15.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628973,82.21090670170827,45.09803921568628,1610612752,2,4,2023-12-06T00:37:20Z,170000,False,-25.0,115.0,1,right,J. Brunson 11' driving floating Jump Shot (4 PTS),[1628973],1610612752.0,NYK,driving floating,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),8-16 Center,11.73,Made,,,,,,,,,4.0,,,,,,,,,
18,PT10M17.00S,2023-12-06T00:37:28.0Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612749,2,4,2023-12-06T00:37:35Z,180000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629011]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Robinson,1629011.0,,,,,,,,,,
19,PT10M17.00S,2023-12-06T00:37:28.0Z,1,REGULAR,steal,,[],1629011,,,1610612752,2,4,2023-12-06T00:37:31Z,190000,False,,,0,,M. Robinson STEAL (1 STL),[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2023-12-06T00:37:33.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629628,94.1688567674113,50.0,1610612752,2,6,2023-12-06T00:37:40Z,200000,False,0.0,2.0,1,right,R. Barrett running DUNK (2 PTS) (M. Robinson 1 AST),"[1629628, 1629011]",1610612752.0,NYK,running,,,Barrett,R. Barrett,,,,,Restricted Area,0-8 Center,0.23,Made,,,,,,,,,2.0,M. Robinson,1629011.0,1.0,,,,,,
22,PT10M00.00S,2023-12-06T00:37:48.6Z,1,REGULAR,foul,personal,[],1628973,,,1610612749,2,6,2023-12-06T00:37:55Z,220000,False,,,0,,J. Brunson personal FOUL (1 PF),"[1628973, 1627736]",1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right,,,,,,,2534.0,,,,,,,,1.0,0.0,Beasley,1627736.0,,
