actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-22T00:10:09.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-22T00:10:09Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-22T00:10:14.4Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612751,0,0,2024-03-22T00:10:14Z,40000,False,,,0,,Jump Ball N. Claxton vs. B. Lopez: Tip to D. Schroder,"[203471, 1629651, 201572]",1610612751.0,BKN,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Claxton,1629651.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-22T00:10:28.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,93.64323258869908,95.83333333333334,1610612751,0,0,2024-03-22T00:10:38Z,70000,False,229.0,7.0,1,right,MISS M. Bridges 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-22T00:10:32.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2024-03-22T00:10:38Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-03-22T00:10:42.2Z,1,REGULAR,3pt,Jump Shot,[],203081,29.517082785808146,76.7156862745098,1610612749,0,0,2024-03-22T00:10:49Z,90000,False,-134.0,225.0,1,left,MISS D. Lillard 26' pullup 3PT,[203081],1610612749.0,MIL,pullup,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-03-22T00:10:46.2Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,0,0,2024-03-22T00:10:49Z,100000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2024-03-22T00:10:56.8Z,1,REGULAR,2pt,Jump Shot,[],1630560,83.52496714848883,67.40196078431373,1610612751,0,2,2024-03-22T00:11:03Z,110000,False,87.0,102.0,1,right,C. Thomas 13' step back Jump Shot (2 PTS),[1630560],1610612751.0,BKN,step back,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Right,13.44,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M57.00S,2024-03-22T00:11:13.1Z,1,REGULAR,turnover,out-of-bounds,[],203081,,,1610612749,0,2,2024-03-22T00:11:27Z,120000,False,,,0,,D. Lillard bad pass out-of-bounds TURNOVER (1 TO),[203081],1610612749.0,MIL,bad pass,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Right Center,,,,,,,,200834.0,1.0,,,,,,,,,,,
13,PT10M33.00S,2024-03-22T00:11:41.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630560,84.83902759526939,38.48039215686275,1610612751,0,4,2024-03-22T00:11:48Z,130000,False,-58.0,90.0,1,right,C. Thomas 10' driving floating Jump Shot (4 PTS) (D. Schroder 1 AST),"[1630560, 203471]",1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Left,10.69,Made,,,,,4.0,,,D. Schroder,203471.0,1.0,,,,,,,,
15,PT10M23.00S,2024-03-22T00:11:51.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.440867279894875,50.98039215686274,1610612749,2,4,2024-03-22T00:11:56Z,150000,False,-5.0,17.0,1,left,G. Antetokounmpo driving finger roll Layup (2 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,1.81,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M06.00S,2024-03-22T00:12:08.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629651,91.5407358738502,50.98039215686274,1610612751,2,4,2024-03-22T00:12:16Z,160000,False,5.0,27.0,1,right,MISS N. Claxton cutting Layup - blocked,"[1629651, 203507]",1610612751.0,BKN,cutting,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,2.74,Missed,,,,,,,,,,,Antetokounmpo,203507.0,,,,,,
