actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-03T01:10:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-03T01:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-03T01:10:21.5Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-12-03T01:10:21Z,40000,False,,,0,,Jump Ball B. Lopez vs. C. Capela: Tip to G. Antetokounmpo,"[203507, 201572, 203991]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-12-03T01:10:35.3Z,1,REGULAR,3pt,Jump Shot,[],201572,20.97568988173456,92.8921568627451,1610612749,0,0,2023-12-03T01:10:44Z,70000,False,-214.0,145.0,1,left,MISS B. Lopez 25' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,25.87,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-12-03T01:10:38.0Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,0,0,2023-12-03T01:10:38Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M33.00S,2023-12-03T01:10:43.3Z,1,REGULAR,turnover,bad pass,[],1627736,,,1610612749,0,0,2023-12-03T01:11:34Z,90000,False,,,0,,M. Beasley bad pass TURNOVER (1 TO),"[1627736, 1627749]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,Murray,1627749.0,,,,,,,,,,,
10,PT11M33.00S,2023-12-03T01:10:43.3Z,1,REGULAR,steal,,[],1627749,,,1610612737,0,0,2023-12-03T01:10:46Z,100000,False,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
11,PT11M29.00S,2023-12-03T01:10:48.5Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,0,0,2023-12-03T01:12:11Z,110000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1627736]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Beasley,1627736.0,,,,,,,,,,,
12,PT11M29.00S,2023-12-03T01:10:48.5Z,1,REGULAR,steal,,[],1627736,,,1610612749,0,0,2023-12-03T01:10:51Z,120000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M26.00S,2023-12-03T01:10:53.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203507,7.5722733245729295,48.03921568627451,1610612749,0,0,2023-12-03T01:12:45Z,130000,False,10.0,19.0,1,left,MISS G. Antetokounmpo running Layup - blocked,"[203507, 203991]",1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,,,,Capela,203991.0,,,,,,,,,
15,PT11M26.00S,2023-12-03T01:10:53.7Z,1,REGULAR,block,,[],203991,,,1610612749,0,0,2023-12-03T01:11:07Z,135000,False,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M24.00S,2023-12-03T01:10:55.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,0,0,2023-12-03T01:12:45Z,140000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT11M05.00S,2023-12-03T01:11:11.8Z,1,REGULAR,2pt,Jump Shot,[],1627749,79.84559789750328,25.735294117647058,1610612737,0,2,2023-12-03T01:11:16Z,150000,False,-121.0,137.0,1,right,D. Murray 18' pullup Jump Shot (2 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,18.3,Made,,,,,,,,,,2.0,T. Young,1629027.0,1.0,,,,,
18,PT10M46.00S,2023-12-03T01:11:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201572,12.302890932982917,46.568627450980394,1610612749,0,2,2023-12-03T01:11:35Z,170000,False,17.0,63.0,1,left,MISS B. Lopez 6' step back Shot,[201572],1610612749.0,MIL,step back,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,6.54,Missed,,,,,,,,,,,,,,,,,,
