actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
70,PT06M11.00S,2024-02-13T01:23:14.7Z,1,REGULAR,substitution,in,[],1626171,,,1610612743,13,8,2024-02-13T01:23:24Z,700000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PT06M01.00S,2024-02-13T01:23:57.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627750,82.7365308804205,40.931372549019606,1610612743,13,8,2024-02-13T01:24:07Z,710000,False,-45.0,110.0,1,right,MISS J. Murray 11' driving floating Shot,[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.88,Missed,,,,,,,,,,,,,,,,,,
72,PT05M59.00S,2024-02-13T01:23:59.1Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,13,8,2024-02-13T01:24:07Z,720000,False,,,0,,B. Lopez REBOUND (Off:0 Def:2),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,71.0,2.0,2.0,0.0,,,,,,,,,,,,,,
73,PT05M55.00S,2024-02-13T01:24:10.6Z,1,REGULAR,foul,offensive,[],203081,,,1610612749,13,8,2024-02-13T01:24:32Z,730000,False,,,0,,D. Lillard offensive FOUL (1 PF),"[203081, 203932]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1162.0,,1.0,0.0,Gordon,203932.0,,
75,PT05M55.00S,2024-02-13T01:24:10.6Z,1,REGULAR,turnover,offensive foul,[],203081,,,1610612749,13,8,2024-02-13T01:24:10Z,750000,False,,,0,,D. Lillard offensive foul TURNOVER (1 TO),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,1162.0,1.0,,,,,,
76,PT05M55.00S,2024-02-13T01:24:34.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,13,8,2024-02-13T01:24:34Z,760000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PT05M55.00S,2024-02-13T01:26:54.6Z,1,REGULAR,substitution,out,[],1627750,,,1610612743,13,8,2024-02-13T01:27:20Z,780000,False,,,0,,SUB out: J. Murray,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PT05M55.00S,2024-02-13T01:26:54.6Z,1,REGULAR,substitution,in,[],202704,,,1610612743,13,8,2024-02-13T01:27:20Z,790000,False,,,0,,SUB in: R. Jackson,[202704],1610612743.0,DEN,,,,Jackson,R. Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PT05M33.00S,2024-02-13T01:27:48.7Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,13,8,2024-02-13T01:27:55Z,800000,False,,,0,,N. Jokic bad pass out-of-bounds TURNOVER (2 TO),[203999],1610612743.0,DEN,bad pass,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,1628171.0,2.0,,,,,,
81,PT05M19.00S,2024-02-13T01:28:06.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201572,29.174195137976344,22.326899509803923,1610612749,16,8,2024-02-13T01:28:12Z,810000,False,138.0,222.0,1,left,B. Lopez 26' 3PT  (6 PTS) (D. Lillard 2 AST),"[201572, 203081]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,26.14,Made,,,,,,,6.0,D. Lillard,203081.0,2.0,,,,,,,,
