actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-24T23:11:07.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-24T23:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-24T23:11:11.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-03-24T23:11:11Z,40000,False,,,0,,Jump Ball B. Lopez vs. C. Holmgren: Tip to G. Antetokounmpo,"[203507, 201572, 1631096]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-03-24T23:11:23.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",201572,92.59198423127464,50.98039215686274,1610612749,2,0,2024-03-24T23:11:48Z,70000,False,5.0,17.0,1,right,B. Lopez Layup (2 PTS) (K. Middleton 1 AST),"[201572, 203114]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.78,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,
9,PT11M46.00S,2024-03-24T23:11:28.5Z,1,REGULAR,violation,defensive goaltending,[],1631096,,,1610612749,2,0,2024-03-24T23:11:48Z,90000,False,,,0,,C. Holmgren defensive goaltending VIOLATION,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,,,,,,,,,202007.0,,,,,,,,,,,,,
10,PT11M35.00S,2024-03-24T23:11:41.0Z,1,REGULAR,3pt,Jump Shot,[],1631096,30.831143232588698,72.79411764705883,1610612760,2,0,2024-03-24T23:11:52Z,100000,False,-114.0,237.0,1,left,MISS C. Holmgren 26' 3PT,[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,Above the Break 3,24+ Left Center,26.33,Missed,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2024-03-24T23:11:44.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2024-03-24T23:11:44Z,110000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M21.00S,2024-03-24T23:11:54.3Z,1,REGULAR,3pt,Jump Shot,[],203081,66.5735873850197,20.098039215686274,1610612749,2,0,2024-03-24T23:11:58Z,120000,False,-150.0,262.0,1,right,MISS D. Lillard 30' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,30.14,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2024-03-24T23:11:57.3Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,0,2024-03-24T23:11:58Z,130000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M10.00S,2024-03-24T23:12:06.0Z,1,REGULAR,2pt,Jump Shot,[],1630581,6.652431011826544,79.16666666666666,1610612760,2,2,2024-03-24T23:12:48Z,140000,False,-146.0,10.0,1,left,J. Giddey 14' fadeaway Jump Shot (2 PTS),[1630581],1610612760.0,OKC,fadeaway,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Left,14.61,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2024-03-24T23:12:18.8Z,1,REGULAR,turnover,out-of-bounds,[],203114,,,1610612749,2,2,2024-03-24T23:12:26Z,150000,False,,,0,,K. Middleton bad pass out-of-bounds TURNOVER (1 TO),[203114],1610612749.0,MIL,bad pass,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202007.0,,,,,1.0,,,,,,,,
