actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-09T01:10:40.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T01:10:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-09T01:10:45.0Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2023-11-09T01:10:45Z,40000,False,,,0,,Jump Ball J. Duren vs. B. Lopez: Tip to C. Cunningham,"[1630595, 1631105, 201572]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Duren,1631105.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-11-09T01:11:01.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,11.908672798948752,42.8921568627451,1610612765,0,0,2023-11-09T01:11:09Z,70000,False,36.0,59.0,1,left,MISS C. Cunningham 6' floating Shot - blocked,"[1630595, 201572]",1610612765.0,DET,floating,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),0-8 Center,6.92,Missed,Lopez,201572.0,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-11-09T01:11:01.7Z,1,REGULAR,block,,[],201572,,,1610612765,0,0,2023-11-09T01:11:07Z,80000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2023-11-09T01:11:06.7Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,0,0,2023-11-09T01:11:09Z,90000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M32.00S,2023-11-09T01:11:08.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627736,89.04402102496715,53.92156862745098,1610612749,2,0,2023-11-09T01:11:16Z,100000,False,20.0,50.0,1,right,M. Beasley running finger roll Layup (2 PTS),[1627736],1610612749.0,MIL,running finger roll,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,,,,,,,2.0,,,,,,,,,,,
12,PT11M22.00S,2023-11-09T01:11:24.5Z,1,REGULAR,2pt,Jump Shot,[],1630165,20.71287779237845,53.18627450980392,1610612765,2,0,2023-11-09T01:11:33Z,120000,False,-16.0,142.0,1,left,MISS K. Hayes 14' pullup Shot,[1630165],1610612765.0,DET,pullup,,,Hayes,K. Hayes,,,,,Mid-Range,8-16 Center,14.31,Missed,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2023-11-09T01:11:28.5Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2023-11-09T01:11:33Z,130000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M14.00S,2023-11-09T01:11:32.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203507,91.27792378449409,49.50980392156863,1610612749,2,0,2023-11-09T01:11:41Z,140000,False,-2.0,29.0,1,right,MISS G. Antetokounmpo running finger roll Layup,[203507],1610612749.0,MIL,running finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.96,Missed,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2023-11-09T01:11:34.7Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,2,0,2023-11-09T01:11:41Z,150000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M04.00S,2023-11-09T01:11:42.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,5.338370565045992,53.67647058823529,1610612765,2,2,2023-11-09T01:11:48Z,160000,False,-18.0,-2.0,1,left,J. Duren cutting DUNK (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,cutting,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,1.85,Made,,,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,
