actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-02T01:12:01.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-02T01:12:01Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-02T01:12:04.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-01-02T01:12:04Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Turner: Tip to G. Antetokounmpo,"[203507, 201572, 1626167]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M31.00S,2024-01-02T01:12:28.3Z,1,REGULAR,2pt,Jump Shot,[],203081,7.703679369250986,70.58823529411765,1610612749,2,0,2024-01-02T01:12:34Z,70000,False,-103.0,20.0,1,left,D. Lillard 10' fadeaway Jump Shot (2 PTS),[203081],1610612749.0,MIL,fadeaway,,,Lillard,D. Lillard,,,,,Mid-Range,8-16 Left,10.48,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M16.00S,2024-01-02T01:13:02.2Z,1,REGULAR,3pt,Jump Shot,[],1630188,91.06438896189225,3.209252450980392,1610612754,2,0,2024-01-02T01:13:09Z,90000,False,-234.0,31.0,1,right,MISS J. Smith 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,23.61,Missed,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2024-01-02T01:13:05.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2024-01-02T01:13:09Z,100000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Left Corner 3,24+ Left,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M06.00S,2024-01-02T01:13:12.3Z,1,REGULAR,3pt,Jump Shot,[],203081,29.25427069645204,78.67647058823529,1610612749,5,0,2024-01-02T01:13:17Z,110000,False,-143.0,222.0,1,left,D. Lillard 26' 3PT  (5 PTS) (G. Antetokounmpo 1 AST),"[203081, 203507]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,26.47,Made,5.0,,,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
13,PT10M47.00S,2024-01-02T01:13:31.8Z,1,REGULAR,3pt,Jump Shot,[],1630188,70.90998685939553,78.92156862745098,1610612754,5,0,2024-01-02T01:13:36Z,130000,False,145.0,221.0,1,right,MISS J. Smith 26' 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Right Center,26.4,Missed,,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2024-01-02T01:13:34.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,5,0,2024-01-02T01:13:36Z,140000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,
15,PT10M37.00S,2024-01-02T01:13:41.6Z,1,REGULAR,3pt,Jump Shot,[],203114,33.065045992115635,66.42156862745098,1610612749,5,0,2024-01-02T01:13:47Z,150000,False,-82.0,258.0,1,left,MISS K. Middleton 27' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,27.1,Missed,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2024-01-02T01:13:45.6Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,5,0,2024-01-02T01:13:47Z,160000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
