actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-15T00:11:07.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-15T00:11:07Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-03-15T00:11:12.2Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2024-03-15T00:11:12Z,40000,False,,,0,,Jump Ball M. Bamba vs. B. Lopez: Tip to T. Harris,"[202699, 1628964, 201572]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Bamba,1628964.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-03-15T00:11:28.8Z,1,REGULAR,3pt,Jump Shot,[],1630178,78.53153745072274,6.862745098039216,1610612755,0,3,2024-03-15T00:11:34Z,70000,False,-216.0,149.0,1,right,T. Maxey 26' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.23,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2024-03-15T00:11:45.9Z,1,REGULAR,turnover,bad pass,[],201976,,,1610612749,0,3,2024-03-15T00:11:53Z,80000,False,,,0,,P. Beverley bad pass TURNOVER (1 TO),"[201976, 202699]",1610612749.0,MIL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Center,,,,1.0,Harris,202699.0,,,,,,,,,,,,,,
9,PT11M21.00S,2024-03-15T00:11:45.9Z,1,REGULAR,steal,,[],202699,,,1610612755,0,3,2024-03-15T00:11:48Z,90000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2024-03-15T00:11:55.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,72.61826544021025,83.57843137254902,1610612755,0,6,2024-03-15T00:12:26Z,100000,False,168.0,205.0,1,right,T. Maxey 26' 3PT pullup (6 PTS) (M. Bamba 1 AST),"[1630178, 1628964]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.49,Made,6.0,,,,M. Bamba,1628964.0,1.0,,,,,,,,,,,
12,PT11M02.00S,2024-03-15T00:12:08.5Z,1,REGULAR,foul,personal,[],200768,,,1610612749,0,6,2024-03-15T00:12:15Z,120000,False,,,0,,K. Lowry personal FOUL (1 PF),"[200768, 203507]",1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,2002.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,
14,PT10M47.00S,2024-03-15T00:12:37.1Z,1,REGULAR,3pt,Jump Shot,[],201572,35.30510840998686,46.87882965686275,1610612749,3,6,2024-03-15T00:12:46Z,140000,False,16.0,279.0,1,left,B. Lopez 27' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,27.98,Made,3.0,,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,
16,PT10M37.00S,2024-03-15T00:12:48.4Z,1,REGULAR,3pt,Jump Shot,[],202699,69.46452036793693,22.30392156862745,1610612755,3,6,2024-03-15T00:12:53Z,160000,False,-138.0,235.0,1,right,MISS T. Harris 27' 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,27.23,Missed,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2024-03-15T00:12:53.4Z,1,REGULAR,rebound,defensive,[],201976,,,1610612749,3,6,2024-03-15T00:12:53Z,170000,False,,,0,,P. Beverley REBOUND (Off:0 Def:1),[201976],1610612749.0,MIL,,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,
