actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-25T01:10:22.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-25T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-25T01:10:26.6Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612764,0,0,2023-11-25T01:10:26Z,40000,False,,,0,,Jump Ball D. Gafford vs. B. Lopez: Tip to T. Jones,"[1626145, 1629655, 201572]",1610612764.0,WAS,startperiod,T. Jones,1626145.0,Jones,T. Jones,Gafford,1629655.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2023-11-25T01:10:49.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,32.670827858081466,57.84313725490197,1610612764,0,3,2023-11-25T01:10:54Z,70000,False,-39.0,255.0,1,left,K. Kuzma 25' 3PT  (3 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,25.76,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M11.00S,2023-11-25T01:11:11.0Z,1,REGULAR,2pt,Jump Shot,[],203081,77.21747700394218,39.46078431372549,1610612749,2,3,2023-11-25T01:11:16Z,80000,False,-53.0,162.0,1,right,D. Lillard 17' fadeaway Jump Shot (2 PTS),[203081],1610612749.0,MIL,fadeaway,,,Lillard,D. Lillard,,,,,Mid-Range,16-24 Center,17.01,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M00.00S,2023-11-25T01:11:21.8Z,1,REGULAR,2pt,Jump Shot,[],1626145,4.155716162943495,66.42156862745098,1610612764,2,5,2023-11-25T01:11:26Z,90000,False,-82.0,-13.0,1,left,T. Jones 8' driving floating Jump Shot (2 PTS),[1626145],1610612764.0,WAS,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,8.32,Made,2.0,,,,,,,,,,,,,,,,,
10,PT10M46.00S,2023-11-25T01:11:36.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203114,88.69908015768725,61.54258578431373,1610612749,2,5,2023-11-25T01:12:24Z,100000,False,58.0,54.0,1,right,MISS K. Middleton 7' Hook,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,7.88,Missed,,,,,,,,,,,,,,,,,,
11,PT10M45.00S,2023-11-25T01:11:37.1Z,1,REGULAR,rebound,offensive,[],203507,,,1610612749,2,5,2023-11-25T01:12:03Z,110000,False,,,0,,G. Antetokounmpo REBOUND (Off:1 Def:0),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT10M45.00S,2023-11-25T01:11:41.6Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612749,2,5,2023-11-25T01:11:53Z,120000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1629655, 203507]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,200833.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,
14,PT10M45.00S,2023-11-25T01:12:26.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203507,,,1610612749,3,5,2023-11-25T01:12:26Z,140000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2023-11-25T01:12:26.3Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203507,,,1610612749,3,5,2023-11-25T01:13:09Z,150000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
