actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-04-04T00:11:05.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-04T00:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-04-04T00:11:08.8Z,1,REGULAR,jumpball,recovered,[],1630590,,,1610612763,0,0,2024-04-04T00:11:08Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. B. Lopez: Tip to S. Pippen Jr.,"[1630590, 1628991, 201572]",1610612763.0,MEM,startperiod,S. Pippen Jr.,1630590.0,Pippen Jr.,S. Pippen Jr.,Jackson Jr.,1628991.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2024-04-04T00:11:30.6Z,1,REGULAR,turnover,bad pass,[],1628379,,,1610612763,0,0,2024-04-04T00:11:41Z,70000,False,,,0,,L. Kennard bad pass TURNOVER (1 TO),"[1628379, 1626192]",1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,1.0,Connaughton,1626192.0,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2024-04-04T00:11:30.6Z,1,REGULAR,steal,,[],1626192,,,1610612749,0,0,2024-04-04T00:11:33Z,80000,False,,,0,,P. Connaughton STEAL (1 STL),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2024-04-04T00:11:37.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203507,92.72339027595268,48.03921568627451,1610612749,0,0,2024-04-04T00:11:58Z,90000,False,-10.0,16.0,1,right,MISS G. Antetokounmpo running Layup,[203507],1610612749.0,MIL,running,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,1.87,Missed,,,,,,,,,,,,,,,
10,PT11M28.00S,2024-04-04T00:11:38.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,0,0,2024-04-04T00:11:58Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,9.0,,,,,,,,,,,,,,
12,PT11M19.00S,2024-04-04T00:12:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",201572,93.38042049934296,51.9607843137255,1610612749,2,0,2024-04-04T00:12:07Z,120000,False,10.0,10.0,1,right,B. Lopez cutting Layup (2 PTS) (G. Antetokounmpo 1 AST),"[201572, 203507]",1610612749.0,MIL,cutting,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,1.38,Made,,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
14,PT11M07.00S,2024-04-04T00:12:13.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,19.267411300919843,38.970588235294116,1610612763,2,2,2024-04-04T00:12:26Z,140000,False,55.0,129.0,1,left,J. Jackson Jr. 13' floating Jump Shot (2 PTS),[1628991],1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,13.99,Made,,2.0,,,,,,,,,,,,,
16,PT10M50.00S,2024-04-04T00:12:34.9Z,1,REGULAR,foul,personal,[],1628991,,,1610612749,2,2,2024-04-04T00:12:45Z,160000,False,,,0,,J. Jackson Jr. personal FOUL (1 PF),"[1628991, 203507]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,200833.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
18,PT10M44.00S,2024-04-04T00:12:52.8Z,1,REGULAR,3pt,Jump Shot,[],201572,69.85873850197109,73.2843137254902,1610612749,5,2,2024-04-04T00:12:59Z,180000,False,116.0,231.0,1,right,B. Lopez 25' 3PT  (5 PTS) (G. Antetokounmpo 2 AST),"[201572, 203507]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Right Center,,,,25.85,Made,,5.0,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,
