actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-16T23:11:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-16T23:11:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-12-16T23:11:17.8Z,1,REGULAR,jumpball,recovered,[],203081,,,1610612749,0,0,2023-12-16T23:11:17Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Bagley III: Tip to D. Lillard,"[203081, 201572, 1628963]",1610612749.0,MIL,startperiod,D. Lillard,203081.0,Lillard,D. Lillard,Lopez,201572.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-12-16T23:11:34.1Z,1,REGULAR,3pt,Jump Shot,[],1630699,93.77463863337714,95.83333333333334,1610612749,0,0,2023-12-16T23:11:40Z,70000,False,229.0,6.0,1,right,MISS M. Beauchamp 3PT,[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,Right Corner 3,24+ Right,22.93,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-12-16T23:11:38.1Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,0,0,2023-12-16T23:11:40Z,80000,False,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-12-16T23:11:49.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628963,9.411957950065702,50.73529411764706,1610612765,0,0,2023-12-16T23:11:57Z,90000,False,-4.0,36.0,1,left,MISS M. Bagley III cutting Layup - blocked,"[1628963, 201572]",1610612765.0,DET,cutting,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,3.62,Missed,,,,,Lopez,201572.0,,,,,,,,,,,,
10,PT11M24.00S,2023-12-16T23:11:49.4Z,1,REGULAR,block,,[],201572,,,1610612765,0,0,2023-12-16T23:11:53Z,100000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2023-12-16T23:11:55.4Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2023-12-16T23:11:57Z,110000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M18.00S,2023-12-16T23:11:57.8Z,1,REGULAR,foul,personal,['2freethrow'],1630595,,,1610612749,0,0,2023-12-16T23:12:21Z,120000,False,,,0,,C. Cunningham shooting personal FOUL (1 PF) (Beauchamp 2 FT),"[1630595, 1630699]",1610612765.0,DET,shooting,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,,1628487.0,1.0,0.0,Beauchamp,1630699.0,,,,,,,
14,PT11M18.00S,2023-12-16T23:12:22.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630699,,,1610612749,1,0,2023-12-16T23:12:22Z,140000,False,,,0,,M. Beauchamp Free Throw 1 of 2 (1 PTS),[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
15,PT11M18.00S,2023-12-16T23:12:34.0Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630699,,,1610612749,2,0,2023-12-16T23:12:34Z,150000,False,,,0,,M. Beauchamp Free Throw 2 of 2 (2 PTS),[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
16,PT11M08.00S,2023-12-16T23:12:47.6Z,1,REGULAR,3pt,Jump Shot,[],202711,31.882391590013142,64.70588235294117,1610612765,2,0,2023-12-16T23:12:52Z,160000,False,-74.0,247.0,1,left,MISS B. Bogdanovic 25' 3PT,[202711],1610612765.0,DET,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,25.79,Missed,,,,,,,,,,,,,,,,,,
17,PT11M05.00S,2023-12-16T23:12:50.6Z,1,REGULAR,rebound,defensive,[],1641748,,,1610612749,2,0,2023-12-16T23:12:52Z,170000,False,,,0,,A. Jackson Jr. REBOUND (Off:0 Def:1),[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
