actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-09T01:10:37.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-09T01:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-09T01:10:41.4Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-01-09T01:10:41Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Collins: Tip to G. Antetokounmpo,"[203507, 201572, 1628381]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-01-09T01:10:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641748,92.59198423127464,55.392156862745104,1610612749,0,0,2024-01-09T01:11:04Z,70000,False,27.0,17.0,1,right,MISS A. Jackson Jr. cutting Layup,[1641748],1610612749.0,MIL,cutting,,,Jackson Jr.,A. Jackson Jr.,,,,,Restricted Area,0-8 Center,3.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-01-09T01:10:59.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,0,2024-01-09T01:11:04Z,80000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2024-01-09T01:11:04.5Z,1,REGULAR,foul,personal,[],203507,,,1610612762,0,0,2024-01-09T01:11:24Z,90000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 1628374]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Center,,,,,,,2004.0,1.0,0.0,Markkanen,1628374.0,,,,,,,,,
11,PT11M22.00S,2024-01-09T01:11:35.2Z,1,REGULAR,3pt,Jump Shot,[],1628374,28.203022339027594,80.3921568627451,1610612762,0,3,2024-01-09T01:11:40Z,110000,False,-152.0,213.0,1,left,L. Markkanen 26' 3PT  (3 PTS) (K. Dunn 1 AST),"[1628374, 1627739]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,26.13,Made,,,,,,,,,,3.0,K. Dunn,1627739.0,1.0,,,,,
13,PT10M58.00S,2024-01-09T01:11:58.0Z,1,REGULAR,3pt,Jump Shot,[],1641748,89.30683311432325,96.07843137254902,1610612749,0,3,2024-01-09T01:12:03Z,130000,False,230.0,48.0,1,right,MISS A. Jackson Jr. 3PT,[1641748],1610612749.0,MIL,,,,Jackson Jr.,A. Jackson Jr.,,,,,Right Corner 3,24+ Right,23.53,Missed,,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2024-01-09T01:12:01.0Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,3,2024-01-09T01:12:03Z,140000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,,,13.0,2.0,2.0,0.0,,,,,,,,,,,,,,
15,PT10M48.00S,2024-01-09T01:12:08.5Z,1,REGULAR,2pt,Jump Shot,[],1628381,6.1268068331143235,70.09803921568627,1610612762,0,5,2024-01-09T01:12:31Z,150000,False,-100.0,5.0,1,left,J. Collins 10' floating Jump Shot (2 PTS) (C. Sexton 1 AST),"[1628381, 1629012]",1610612762.0,UTA,floating,,,Collins,J. Collins,,,,,Mid-Range,8-16 Left,10.06,Made,,,,,,,,,,2.0,C. Sexton,1629012.0,1.0,,,,,
17,PT10M36.00S,2024-01-09T01:12:20.1Z,1,REGULAR,3pt,Jump Shot,[],201572,71.30420499342969,19.607843137254903,1610612749,3,5,2024-01-09T01:12:24Z,170000,False,-152.0,217.0,1,right,B. Lopez 26' 3PT  (3 PTS) (K. Middleton 1 AST),"[201572, 203114]",1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,26.51,Made,,,,,,,,,,3.0,K. Middleton,203114.0,1.0,,,,,
19,PT10M20.00S,2024-01-09T01:12:35.8Z,1,REGULAR,3pt,Jump Shot,[],1628381,19.136005256241788,95.83333333333334,1610612762,3,5,2024-01-09T01:12:46Z,190000,False,-229.0,127.0,1,left,MISS J. Collins 26' 3PT,[1628381],1610612762.0,UTA,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,26.22,Missed,,,,,,,,,,,,,,,,,,
