actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,shotResult,shotActionNumber,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-27T01:11:54.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-27T01:11:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-01-27T01:11:57.9Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2024-01-27T01:11:57Z,40000,False,,,0,,Jump Ball J. Allen vs. B. Lopez: Tip to D. Mitchell,"[1628378, 1628386, 201572]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-01-27T01:12:04.3Z,1,REGULAR,foul,technical,['1freethrow'],201572,,,1610612739,0,0,2024-01-27T01:12:25Z,70000,False,,,0,,B. Lopez defensive-3-second technical FOUL (1 Tech),[201572],1610612749.0,MIL,defensive-3-second,,,Lopez,B. Lopez,,,,,Mid-Range,16-24 Right Center,1193.0,0.0,1.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2024-01-27T01:12:26.8Z,1,REGULAR,freethrow,1 of 1,[],1628378,,,1610612739,0,0,2024-01-27T01:12:26Z,80000,False,,,0,,MISS D. Mitchell technical Free Throw 1 of 1,[1628378],1610612739.0,CLE,technical,,,Mitchell,D. Mitchell,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
9,PT11M48.00S,2024-01-27T01:12:26.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,0,0,2024-01-27T01:12:26Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,
10,PT11M40.00S,2024-01-27T01:12:46.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628386,85.62746386333771,51.225490196078425,1610612739,0,0,2024-01-27T01:12:53Z,100000,False,6.0,83.0,1,right,MISS J. Allen 8' floating Shot,[1628386],1610612739.0,CLE,floating,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Center,,,,Missed,,8.28,,,,,,,,,,,,,,
11,PT11M38.00S,2024-01-27T01:12:48.6Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,0,0,2024-01-27T01:12:48Z,110000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.0,,1.0,1.0,0.0,,,,,,,,,,,
12,PT11M28.00S,2024-01-27T01:12:58.7Z,1,REGULAR,turnover,bad pass,[],203507,,,1610612749,0,0,2024-01-27T01:13:03Z,120000,False,,,0,,G. Antetokounmpo bad pass TURNOVER (1 TO),"[203507, 1628386]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Center,,,,,,,,,,1.0,Allen,1628386.0,,,,,,,,
13,PT11M28.00S,2024-01-27T01:12:58.7Z,1,REGULAR,steal,,[],1628386,,,1610612739,0,0,2024-01-27T01:13:01Z,130000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M17.00S,2024-01-27T01:13:28.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629622,91.67214191852825,50.98039215686274,1610612739,0,0,2024-01-27T01:14:38Z,150000,False,5.0,26.0,1,right,MISS M. Strus driving Layup - blocked,"[1629622, 201572]",1610612739.0,CLE,driving,,,Strus,M. Strus,,,,,Restricted Area,0-8 Center,,,,Missed,,2.63,,,,,,,Lopez,201572.0,,,,,,
20,PT11M17.00S,2024-01-27T01:13:28.5Z,1,REGULAR,block,,[],201572,,,1610612739,0,0,2024-01-27T01:13:55Z,155000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M15.00S,2024-01-27T01:13:30.5Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,0,0,2024-01-27T01:14:38Z,160000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Restricted Area,0-8 Center,,,,,15.0,,1.0,1.0,0.0,,,,,,,,,,,
17,PT11M10.00S,2024-01-27T01:13:38.7Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",203081,17.95335085413929,43.872549019607845,1610612749,0,0,2024-01-27T01:14:55Z,170000,False,31.0,116.0,1,left,MISS D. Lillard 12' driving floating Shot,[203081],1610612749.0,MIL,driving floating,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Center,,,,Missed,,12.03,,,,,,,,,,,,,,
18,PT11M08.00S,2024-01-27T01:13:40.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612739,0,0,2024-01-27T01:14:55Z,180000,False,,,0,,TEAM defensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,17.0,,,,,,,,,,,,,,,
19,PT10M54.00S,2024-01-27T01:13:54.2Z,1,REGULAR,2pt,Jump Shot,[],1628378,83.65637319316689,32.1078431372549,1610612739,0,0,2024-01-27T01:15:51Z,190000,False,-89.0,101.0,1,right,MISS D. Mitchell 13' step back Shot,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,Missed,,13.5,,,,,,,,,,,,,,
21,PT10M50.00S,2024-01-27T01:13:58.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2024-01-27T01:14:03Z,200000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,,,19.0,,1.0,1.0,0.0,,,,,,,,,,,
22,PT10M44.00S,2024-01-27T01:14:04.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,18.610381077529567,37.745098039215684,1610612749,0,0,2024-01-27T01:14:09Z,210000,False,61.0,122.0,1,left,MISS K. Middleton 13' turnaround Shot,[203114],1610612749.0,MIL,turnaround,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,Missed,,13.69,,,,,,,,,,,,,,
23,PT10M41.00S,2024-01-27T01:14:07.3Z,1,REGULAR,rebound,defensive,[],1629731,,,1610612739,0,0,2024-01-27T01:14:09Z,220000,False,,,0,,D. Wade REBOUND (Off:0 Def:1),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,In The Paint (Non-RA),8-16 Center,,,,,22.0,,1.0,1.0,0.0,,,,,,,,,,,
24,PT10M31.00S,2024-01-27T01:14:15.7Z,1,REGULAR,3pt,Jump Shot,[],1629622,67.49342969776609,66.42156862745098,1610612739,0,0,2024-01-27T01:14:22Z,230000,False,82.0,253.0,1,right,MISS M. Strus 26' 3PT,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,Above the Break 3,24+ Center,,,,Missed,,26.61,,,,,,,,,,,,,,
25,PT10M29.00S,2024-01-27T01:14:17.7Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,0,2024-01-27T01:14:22Z,240000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Center,,,,,24.0,,1.0,1.0,0.0,,,,,,,,,,,
26,PT10M14.00S,2024-01-27T01:14:33.1Z,1,REGULAR,3pt,Jump Shot,[],203114,27.808804204993432,83.57843137254902,1610612749,3,0,2024-01-27T01:14:41Z,250000,False,-168.0,209.0,1,left,K. Middleton 26' 3PT step back (3 PTS) (M. Beasley 1 AST),"[203114, 1627736]",1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,Made,,26.8,,,,,,,,,3.0,M. Beasley,1627736.0,1.0,,
28,PT09M59.00S,2024-01-27T01:14:48.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628378,83.13074901445466,45.83333333333333,1610612739,3,0,2024-01-27T01:16:38Z,270000,False,-21.0,106.0,1,right,MISS D. Mitchell 10' driving floating Shot,[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,Missed,,10.81,,,,,,,,,,,,,,
29,PT09M56.00S,2024-01-27T01:14:51.0Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,3,0,2024-01-27T01:14:56Z,280000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,28.0,,2.0,2.0,0.0,,,,,,,,,,,
30,PT09M50.00S,2024-01-27T01:14:56.8Z,1,REGULAR,2pt,Jump Shot,[],203114,9.017739816031538,78.18627450980392,1610612749,5,0,2024-01-27T01:15:01Z,290000,False,-141.0,32.0,1,left,K. Middleton 14' step back Jump Shot (5 PTS) (G. Antetokounmpo 1 AST),"[203114, 203507]",1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Left,,,,Made,,14.46,,,,,,,,,5.0,G. Antetokounmpo,203507.0,1.0,,
32,PT09M33.00S,2024-01-27T01:15:16.1Z,1,REGULAR,turnover,out-of-bounds,[],1628386,,,1610612739,5,0,2024-01-27T01:15:24Z,310000,False,,,0,,J. Allen bad pass out-of-bounds TURNOVER (1 TO),[1628386],1610612739.0,CLE,bad pass,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,1193.0,,,,,,,,,1.0,,,,,,,,,,
33,PT09M16.00S,2024-01-27T01:15:42.5Z,1,REGULAR,foul,personal,[],1628386,,,1610612749,5,0,2024-01-27T01:16:21Z,320000,False,,,0,,J. Allen personal FOUL (1 PF),"[1628386, 203507]",1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,2002.0,1.0,0.0,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
35,PT09M13.00S,2024-01-27T01:16:09.8Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612749,5,0,2024-01-27T01:16:20Z,340000,False,,,0,,I. Okoro shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630171, 203507]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,In The Paint (Non-RA),8-16 Left,2003.0,1.0,0.0,,,,,,,,,,,,,,,,Antetokounmpo,203507.0
37,PT09M13.00S,2024-01-27T01:16:54.9Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203507,,,1610612749,6,0,2024-01-27T01:17:27Z,360000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
38,PT09M13.00S,2024-01-27T01:16:54.9Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203507,,,1610612749,6,0,2024-01-27T01:17:27Z,370000,False,,,0,,MISS G. Antetokounmpo Free Throw 2 of 2,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
39,PT09M12.00S,2024-01-27T01:16:55.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612749,6,0,2024-01-27T01:17:27Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,
41,PT09M09.00S,2024-01-27T01:17:39.5Z,1,REGULAR,turnover,bad pass,[],203081,,,1610612749,6,0,2024-01-27T01:17:46Z,400000,False,,,0,,D. Lillard bad pass TURNOVER (1 TO),"[203081, 1629622]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,1.0,Strus,1629622.0,,,,,,,,
42,PT09M09.00S,2024-01-27T01:17:39.5Z,1,REGULAR,steal,,[],1629622,,,1610612739,6,0,2024-01-27T01:17:41Z,410000,False,,,0,,M. Strus STEAL (1 STL),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
