actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-28T01:11:57.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-28T01:11:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-01-28T01:12:03.1Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-01-28T01:12:03Z,40000,False,,,0,,Jump Ball B. Lopez vs. J. Valanciunas: Tip to G. Antetokounmpo,"[203507, 201572, 202685]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-01-28T01:12:20.7Z,1,REGULAR,3pt,Jump Shot,[],1627736,80.50262812089356,6.127450980392156,1610612749,0,0,2024-01-28T01:12:28Z,70000,False,-219.0,131.0,1,right,MISS M. Beasley 25' 3PT,[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,25.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-01-28T01:12:23.7Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,0,0,2024-01-28T01:12:28Z,80000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-01-28T01:12:31.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,8.623521681997373,77.94117647058823,1610612740,0,0,2024-01-28T01:12:36Z,90000,False,-140.0,29.0,1,left,MISS B. Ingram 14' fadeaway Shot,[1627742],1610612740.0,NOP,fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,14.26,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-01-28T01:12:34.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2024-01-28T01:12:36Z,100000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,8-16 Left,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M20.00S,2024-01-28T01:12:37.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203081,68.93273653088042,17.424938725490197,1610612749,3,0,2024-01-28T01:13:19Z,110000,False,-163.0,240.0,1,right,D. Lillard 28' 3PT running (3 PTS) (G. Antetokounmpo 1 AST),"[203081, 203507]",1610612749.0,MIL,running,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,28.96,Made,,,,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,
14,PT10M51.00S,2024-01-28T01:13:22.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202685,7.046649145860711,51.470588235294116,1610612740,3,2,2024-01-28T01:13:27Z,140000,False,-7.0,14.0,1,left,J. Valanciunas driving DUNK (2 PTS),[202685],1610612740.0,NOP,driving,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.56,Made,,,,,2.0,,,,,,,,,,,,,
15,PT10M33.00S,2024-01-28T01:13:40.6Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612749,3,2,2024-01-28T01:13:52Z,150000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630529, 203507]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2882.0,1.0,0.0,Antetokounmpo,203507.0,,,,,
17,PT10M33.00S,2024-01-28T01:14:24.1Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,4,2,2024-01-28T01:14:24Z,170000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
