actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-18T00:10:31.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-18T00:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-18T00:10:36.2Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2023-12-18T00:10:36Z,40000,False,,,0,,Jump Ball A. Sengun vs. B. Lopez: Tip to J. Smith Jr.,"[1631095, 1630578, 201572]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-12-18T00:10:48.7Z,1,REGULAR,3pt,Jump Shot,[],1631095,79.05716162943496,6.372549019607843,1610612745,0,0,2023-12-18T00:10:55Z,70000,False,-218.0,144.0,1,right,MISS J. Smith Jr. 26' 3PT,[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Above the Break 3,24+ Left Center,26.16,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-12-18T00:10:51.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2023-12-18T00:10:55Z,80000,False,,,0,,D. Lillard REBOUND (Off:0 Def:1),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-12-18T00:11:07.4Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,0,2023-12-18T00:11:16Z,90000,False,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,1627529.0,1.0,,,,,,,,,,,,
10,PT11M14.00S,2023-12-18T00:11:23.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1631095,82.34231274638634,35.78431372549019,1610612745,0,0,2023-12-18T00:11:29Z,100000,False,-71.0,113.0,1,right,MISS J. Smith Jr. 13' driving floating Shot,[1631095],1610612745.0,HOU,driving floating,,,Smith Jr.,J. Smith Jr.,,,,,In The Paint (Non-RA),8-16 Left,13.39,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2023-12-18T00:11:26.7Z,1,REGULAR,rebound,defensive,[],203081,,,1610612749,0,0,2023-12-18T00:11:29Z,110000,False,,,0,,D. Lillard REBOUND (Off:0 Def:2),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),8-16 Left,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,PT11M02.00S,2023-12-18T00:11:36.1Z,1,REGULAR,3pt,Jump Shot,[],201572,28.648570959264124,74.28768382352942,1610612749,0,0,2023-12-18T00:11:44Z,120000,False,-121.0,217.0,1,left,MISS B. Lopez 24' 3PT,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Above the Break 3,24+ Left Center,24.85,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2023-12-18T00:11:41.1Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,0,0,2023-12-18T00:11:44Z,130000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M52.00S,2023-12-18T00:11:48.1Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612745,0,0,2023-12-18T00:12:10Z,140000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Green 2 FT),"[203114, 1630224]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1627529.0,,1.0,0.0,Green,1630224.0,,,,,,,,
