actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-29T23:11:54.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-29T23:11:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-10-29T23:11:59.2Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-10-29T23:11:59Z,40000,False,,,0,,Jump Ball B. Lopez vs. C. Capela: Tip to G. Antetokounmpo,"[203507, 201572, 203991]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-10-29T23:12:10.9Z,1,REGULAR,2pt,Jump Shot,[],201572,22.158344283837057,52.20588235294118,1610612749,0,0,2023-10-29T23:12:17Z,70000,False,-11.0,156.0,1,left,MISS B. Lopez 15' Jump Shot,[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Mid-Range,8-16 Center,15.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-10-29T23:12:13.9Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2023-10-29T23:12:17Z,80000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-10-29T23:12:31.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,63.15703022339028,45.34313725490196,1610612737,0,0,2023-10-29T23:12:50Z,90000,False,-23.0,294.0,1,right,MISS D. Murray 29' pullup 3PT,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,29.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-10-29T23:12:34.2Z,1,REGULAR,rebound,defensive,[],203109,,,1610612749,0,0,2023-10-29T23:12:43Z,100000,False,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612749.0,MIL,,,,Crowder,J. Crowder,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M12.00S,2023-10-29T23:12:41.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,7.5722733245729295,52.20588235294118,1610612749,0,0,2023-10-29T23:12:48Z,110000,False,-11.0,19.0,1,left,MISS G. Antetokounmpo driving reverse Layup,[203507],1610612749.0,MIL,driving reverse,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.17,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2023-10-29T23:12:41.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2023-10-29T23:12:48Z,120000,False,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M04.00S,2023-10-29T23:12:49.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203991,89.17542706964521,53.92156862745098,1610612737,0,0,2023-10-29T23:13:03Z,130000,False,20.0,49.0,1,right,MISS C. Capela cutting DUNK,[203991],1610612737.0,ATL,cutting,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.31,Missed,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2023-10-29T23:12:51.2Z,1,REGULAR,rebound,offensive,[],1630552,,,1610612737,0,0,2023-10-29T23:12:51Z,140000,False,,,0,,J. Johnson REBOUND (Off:1 Def:0),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
