actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-03-31T22:10:35.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-31T22:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-31T22:10:37.8Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612748,0,0,2024-03-31T22:10:37Z,40000,False,,,0,,Jump Ball B. Adebayo vs. M. Bagley III: Tip to J. Butler,"[202710, 1628389, 1628963]",1610612748.0,MIA,startperiod,J. Butler,202710.0,Butler,J. Butler,Adebayo,1628389.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-03-31T22:10:52.5Z,1,REGULAR,3pt,Jump Shot,[],1631107,33.459264126149804,28.921568627450984,1610612748,0,0,2024-03-31T22:10:57Z,70000,False,105.0,262.0,1,left,MISS N. Jovic 28' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,28.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2024-03-31T22:10:54.5Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,0,0,2024-03-31T22:10:57Z,80000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-03-31T22:11:12.0Z,1,REGULAR,3pt,Jump Shot,[],1630557,73.66951379763469,84.80392156862744,1610612764,0,0,2024-03-31T22:11:18Z,90000,False,174.0,195.0,1,right,MISS C. Kispert 26' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,26.13,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-03-31T22:11:15.0Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612764,0,0,2024-03-31T22:11:18Z,100000,False,,,0,,M. Bagley III REBOUND (Off:1 Def:0),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M17.00S,2024-03-31T22:11:16.8Z,1,REGULAR,turnover,bad pass,[],1628963,,,1610612764,0,0,2024-03-31T22:11:21Z,110000,False,,,0,,M. Bagley III bad pass TURNOVER (1 TO),"[1628963, 1626179]",1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Mid-Range,16-24 Right,,,,,,,1.0,Rozier,1626179.0,,,,,,,,,,,
12,PT11M17.00S,2024-03-31T22:11:16.8Z,1,REGULAR,steal,,[],1626179,,,1610612748,0,0,2024-03-31T22:11:45Z,120000,False,,,0,,T. Rozier STEAL (1 STL),[1626179],1610612748.0,MIA,,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2024-03-31T22:11:30.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631107,33.327858081471746,69.6078431372549,1610612748,0,0,2024-03-31T22:11:34Z,130000,False,-98.0,261.0,1,left,MISS N. Jovic 27' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Left Center,27.86,Missed,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2024-03-31T22:11:34.1Z,1,REGULAR,rebound,defensive,[],1631116,,,1610612764,0,0,2024-03-31T22:11:34Z,140000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:1),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M44.00S,2024-03-31T22:11:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,92.59198423127464,54.65686274509803,1610612764,0,0,2024-03-31T22:27:13Z,150000,False,23.0,17.0,1,right,MISS D. Avdija driving finger roll Layup,[1630166],1610612764.0,WAS,driving finger roll,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,,,,,,,,,,
