actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-21T00:10:45.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-21T00:10:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-21T00:10:47.6Z,1,REGULAR,jumpball,recovered,[],1630577,,,1610612759,0,0,2024-01-21T00:10:47Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. M. Bagley III: Tip to J. Champagnie,"[1630577, 1641705, 1628963]",1610612759.0,SAS,startperiod,J. Champagnie,1630577.0,Champagnie,J. Champagnie,Wembanyama,1641705.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-21T00:11:00.7Z,1,REGULAR,foul,offensive,[],1630170,,,1610612759,0,0,2024-01-21T00:11:09Z,70000,False,,,0,,D. Vassell charge offensive FOUL (1 PF),"[1630170, 1628963]",1610612759.0,SAS,charge,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,1151.0,1.0,0.0,Bagley III,1628963.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-01-21T00:11:00.7Z,1,REGULAR,turnover,offensive foul,[],1630170,,,1610612759,0,0,2024-01-21T00:11:00Z,90000,False,,,0,,D. Vassell offensive foul TURNOVER (1 TO),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,1151.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M23.00S,2024-01-21T00:11:36.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628963,8.229303547963205,54.166666666666664,1610612764,2,0,2024-01-21T00:11:40Z,100000,False,-21.0,25.0,1,left,M. Bagley III cutting Layup (2 PTS) (T. Jones 1 AST),"[1628963, 1626145]",1610612764.0,WAS,cutting,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,,3.24,Made,2.0,T. Jones,1626145.0,1.0,,,,,,,,
12,PT11M09.00S,2024-01-21T00:11:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,94.95729303547962,50.0,1610612759,2,2,2024-01-21T00:12:08Z,120000,False,0.0,-5.0,1,right,V. Wembanyama alley-oop Layup (2 PTS) (T. Jones 1 AST),"[1641705, 1630200]",1610612759.0,SAS,alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,0.51,Made,2.0,T. Jones,1630200.0,1.0,,,,,,,,
14,PT11M03.00S,2024-01-21T00:11:55.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,21.369908015768726,6.61764705882353,1610612764,2,2,2024-01-21T01:09:59Z,140000,False,217.0,148.0,1,left,MISS K. Kuzma 26' pullup 3PT,[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,26.28,Missed,,,,,,,,,,,,
15,PT11M03.00S,2024-01-21T00:11:55.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,2,2,2024-01-21T00:12:02Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,14.0,,,,,,,
18,PT10M48.00S,2024-01-21T00:12:33.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641705,92.46057818659659,42.15686274509804,1610612759,2,2,2024-01-21T00:13:15Z,180000,False,-39.0,18.0,1,right,MISS V. Wembanyama alley-oop Layup,[1641705],1610612759.0,SAS,alley-oop,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,4.33,Missed,,,,,,,,,,,,
19,PT10M44.00S,2024-01-21T00:12:37.8Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,2,2,2024-01-21T00:13:15Z,190000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,
