actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-28T00:11:31.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-28T00:11:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-28T00:11:34.3Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612764,0,0,2024-02-28T00:11:34Z,40000,False,,,0,,Jump Ball M. Bagley III vs. D. Green: Tip to T. Jones,"[1626145, 1628963, 203110]",1610612764.0,WAS,startperiod,T. Jones,1626145.0,Jones,T. Jones,Bagley III,1628963.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-02-28T00:11:49.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,12.828515111695138,34.55882352941176,1610612764,2,0,2024-02-28T00:11:56Z,70000,False,77.0,68.0,1,left,K. Kuzma 10' driving floating bank Jump Shot (2 PTS) (C. Kispert 1 AST),"[1628398, 1630557]",1610612764.0,WAS,driving floating bank,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Right,10.29,Made,2.0,C. Kispert,1630557.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-02-28T00:12:04.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630228,93.64323258869908,48.529411764705884,1610612744,2,2,2024-02-28T00:12:08Z,90000,False,-7.0,7.0,1,right,J. Kuminga alley-oop DUNK (2 PTS) (D. Green 1 AST),"[1630228, 203110]",1610612744.0,GSW,alley-oop,,,Kuminga,J. Kuminga,,,,,Restricted Area,0-8 Center,1.04,Made,2.0,D. Green,203110.0,1.0,,,,,,,,,,,,,,
11,PT11M17.00S,2024-02-28T00:12:13.0Z,1,REGULAR,3pt,Jump Shot,[],1629013,33.459264126149804,50.0,1610612764,2,2,2024-02-28T00:12:16Z,110000,False,0.0,262.0,1,left,MISS L. Shamet 26' 3PT,[1629013],1610612764.0,WAS,,,,Shamet,L. Shamet,,,,,Above the Break 3,24+ Center,26.2,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2024-02-28T00:12:15.0Z,1,REGULAR,rebound,defensive,[],1630541,,,1610612744,2,2,2024-02-28T00:12:16Z,120000,False,,,0,,M. Moody REBOUND (Off:0 Def:1),[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M53.00S,2024-02-28T00:12:39.0Z,1,REGULAR,3pt,Jump Shot,[],1630541,73.53810775295663,80.3921568627451,1610612744,2,2,2024-02-28T00:13:02Z,130000,False,152.0,196.0,1,right,MISS M. Moody 24' step back 3PT - blocked,"[1630541, 1630557]",1610612744.0,GSW,step back,,,Moody,M. Moody,,,,,Above the Break 3,24+ Right Center,24.82,Missed,,,,,,,,,Kispert,1630557.0,,,,,,,,
14,PT10M53.00S,2024-02-28T00:12:39.0Z,1,REGULAR,block,,[],1630557,,,1610612744,2,2,2024-02-28T00:12:43Z,140000,False,,,0,,C. Kispert BLOCK (1 BLK),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2024-02-28T00:12:39.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612744,2,2,2024-02-28T00:13:02Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,,,,,,,,,,,,,
16,PT10M51.00S,2024-02-28T00:12:44.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612744,2,2,2024-02-28T00:13:05Z,160000,False,,,0,,GSW shot clock Team TURNOVER,[],1610612744.0,GSW,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,1627963.0,,,,,,,
17,PT10M33.00S,2024-02-28T00:13:18.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630557,32.670827858081466,75.98039215686273,1610612764,5,2,2024-02-28T00:13:22Z,170000,False,-130.0,255.0,1,left,C. Kispert 28' 3PT  (3 PTS) (T. Jones 1 AST),"[1630557, 1626145]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,28.58,Made,3.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,
19,PT10M19.00S,2024-02-28T00:13:31.2Z,1,REGULAR,2pt,Jump Shot,[],203110,89.96386333771353,72.54901960784314,1610612744,5,2,2024-02-28T00:13:35Z,190000,False,113.0,42.0,1,right,MISS D. Green 12' floating Shot,[203110],1610612744.0,GSW,floating,,,Green,D. Green,,,,,Mid-Range,8-16 Right,12.02,Missed,,,,,,,,,,,,,,,,,,
20,PT10M17.00S,2024-02-28T00:13:33.2Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,5,2,2024-02-28T00:13:35Z,200000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Mid-Range,8-16 Right,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,
21,PT10M14.00S,2024-02-28T00:13:39.4Z,1,REGULAR,turnover,out-of-bounds,[],1630557,,,1610612764,5,2,2024-02-28T00:13:46Z,210000,False,,,0,,C. Kispert step out-of-bounds TURNOVER (1 TO),[1630557],1610612764.0,WAS,step,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,201246.0,1.0,,,,,,
22,PT09M53.00S,2024-02-28T00:14:08.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630228,92.32917214191852,62.99019607843137,1610612744,5,2,2024-02-28T00:17:49Z,220000,False,65.0,20.0,1,right,MISS J. Kuminga 6' driving Layup - blocked,"[1630228, 1630557]",1610612744.0,GSW,driving,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,6.79,Missed,,,,,,,,,Kispert,1630557.0,,,,,,,,
23,PT09M53.00S,2024-02-28T00:14:08.3Z,1,REGULAR,block,,[],1630557,,,1610612744,5,2,2024-02-28T00:14:10Z,230000,False,,,0,,C. Kispert BLOCK (2 BLK),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M50.00S,2024-02-28T00:14:11.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,5,2,2024-02-28T00:14:11Z,240000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M45.00S,2024-02-28T00:14:16.8Z,1,REGULAR,3pt,Jump Shot,[],1630557,35.03613666228647,21.568627450980394,1610612764,5,2,2024-02-28T00:14:23Z,250000,False,142.0,277.0,1,left,MISS C. Kispert 31' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,31.12,Missed,,,,,,,,,,,,,,,,,,
26,PT09M42.00S,2024-02-28T00:14:19.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,5,2,2024-02-28T00:14:23Z,260000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,
27,PT09M40.00S,2024-02-28T00:14:22.5Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,5,2,2024-02-28T00:14:28Z,270000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,201246.0,1.0,,,,,,
28,PT09M26.00S,2024-02-28T00:14:41.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628398,18.347568988173457,32.1078431372549,1610612764,7,2,2024-02-28T00:14:47Z,280000,False,89.0,120.0,1,left,K. Kuzma 14' turnaround fadeaway Jump Shot (4 PTS) (T. Jones 2 AST),"[1628398, 1626145]",1610612764.0,WAS,turnaround fadeaway,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,14.97,Made,4.0,T. Jones,1626145.0,2.0,,,,,,,,,,,,,,
30,PT09M12.00S,2024-02-28T00:14:54.8Z,1,REGULAR,2pt,Jump Shot,[],1630228,85.3646517739816,29.901960784313726,1610612744,7,4,2024-02-28T00:15:02Z,300000,False,-100.0,85.0,1,right,J. Kuminga 13' turnaround fadeaway bank Jump Shot (4 PTS),[1630228],1610612744.0,GSW,turnaround fadeaway bank,,,Kuminga,J. Kuminga,,,,,Mid-Range,8-16 Left,13.17,Made,4.0,,,,,,,,,,,,,,,,,
31,PT08M59.00S,2024-02-28T00:15:08.3Z,1,REGULAR,turnover,lost ball,[],1630557,,,1610612764,7,4,2024-02-28T00:15:11Z,310000,False,,,0,,C. Kispert lost ball TURNOVER (2 TO),"[1630557, 1641764]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,2.0,Podziemski,1641764.0,,,,
32,PT08M59.00S,2024-02-28T00:15:08.3Z,1,REGULAR,steal,,[],1641764,,,1610612744,7,4,2024-02-28T00:15:10Z,320000,False,,,0,,B. Podziemski STEAL (1 STL),[1641764],1610612744.0,GSW,,,,Podziemski,B. Podziemski,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
