actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-01T00:10:32.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-01T00:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-01T00:10:35.4Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612764,0,0,2024-02-01T00:10:35Z,40000,False,,,0,,Jump Ball D. Gafford vs. M. Plumlee: Tip to D. Avdija,"[1630166, 1629655, 203486]",1610612764.0,WAS,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Gafford,1629655.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-02-01T00:10:50.0Z,1,REGULAR,3pt,Jump Shot,[],1628398,4.944152431011826,98.0392156862745,1610612764,3,0,2024-02-01T00:10:54Z,70000,False,-240.0,-6.0,1,left,K. Kuzma 24' 3PT  (3 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,24.03,Made,3.0,,,,,,,,,,,,,,,,,
9,PT11M14.00S,2024-02-01T00:11:17.9Z,1,REGULAR,3pt,Jump Shot,[],1629611,69.46452036793693,63.970588235294116,1610612746,3,0,2024-02-01T00:11:21Z,90000,False,70.0,235.0,1,right,MISS T. Mann 24' step back 3PT,[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,Above the Break 3,24+ Center,24.47,Missed,,,,,,,,,,,,,,,,,,
10,PT11M12.00S,2024-02-01T00:11:19.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,3,0,2024-02-01T00:11:21Z,100000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M04.00S,2024-02-01T00:11:28.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,14.273981603153747,57.59803921568627,1610612764,3,0,2024-02-01T00:12:38Z,110000,False,-38.0,82.0,1,left,MISS T. Jones 9' driving floating Shot,[1626145],1610612764.0,WAS,driving floating,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,9.01,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2024-02-01T00:11:29.1Z,1,REGULAR,rebound,defensive,[],203486,,,1610612746,3,0,2024-02-01T00:11:31Z,120000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612746.0,LAC,,,,Plumlee,M. Plumlee,,,,,In The Paint (Non-RA),8-16 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M57.00S,2024-02-01T00:11:36.0Z,1,REGULAR,3pt,Jump Shot,[],201935,69.99014454664915,75.98039215686273,1610612746,3,3,2024-02-01T00:11:43Z,130000,False,130.0,230.0,1,right,J. Harden 26' 3PT  (3 PTS) (A. Coffey 1 AST),"[201935, 1629599]",1610612746.0,LAC,,,,Harden,J. Harden,,,,,Above the Break 3,24+ Right Center,26.38,Made,3.0,,,,,A. Coffey,1629599.0,1.0,,,,,,,,,,
15,PT10M33.00S,2024-02-01T00:11:58.8Z,1,REGULAR,3pt,Jump Shot,[],1628398,31.750985545335087,75.24509803921569,1610612764,3,3,2024-02-01T00:12:09Z,150000,False,-126.0,246.0,1,left,MISS K. Kuzma 27' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,27.65,Missed,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2024-02-01T00:12:01.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612746,3,3,2024-02-01T00:12:09Z,160000,False,,,0,,TEAM defensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,Above the Break 3,24+ Left Center,,,,15.0,,,,,,,,,,,,,,,,
