actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-12T23:14:46.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-12T23:14:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-04-12T23:14:48.3Z,1,REGULAR,jumpball,recovered,[],1630166,,,1610612764,0,0,2024-04-12T23:14:48Z,40000,False,,,0,,Jump Ball T. Vukcevic vs. J. Green: Tip to D. Avdija,"[1630166, 1641774, 1629750]",1610612764.0,WAS,startperiod,D. Avdija,1630166.0,Avdija,D. Avdija,Vukcevic,1641774.0,Green,1629750.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-04-12T23:15:00.6Z,1,REGULAR,foul,personal,['2freethrow'],1629750,,,1610612764,0,0,2024-04-12T23:15:09Z,70000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Vukcevic 2 FT),"[1629750, 1641774]",1610612741.0,CHI,shooting,,,Green,J. Green,,,,,Restricted Area,0-8 Center,201638.0,1.0,0.0,Vukcevic,1641774.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-04-12T23:15:24.1Z,1,REGULAR,freethrow,1 of 2,[],1641774,,,1610612764,0,0,2024-04-12T23:15:24Z,90000,False,,,0,,MISS T. Vukcevic Free Throw 1 of 2,[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M47.00S,2024-04-12T23:15:24.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,0,0,2024-04-12T23:15:24Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M47.00S,2024-04-12T23:15:35.7Z,1,REGULAR,freethrow,2 of 2,[],1641774,,,1610612764,1,0,2024-04-12T23:15:35Z,110000,False,,,0,,T. Vukcevic Free Throw 2 of 2 (1 PTS),[1641774],1610612764.0,WAS,,,,Vukcevic,T. Vukcevic,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M33.00S,2024-04-12T23:15:51.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641931,81.68528252299606,53.431372549019606,1610612741,1,0,2024-04-12T23:15:58Z,120000,False,17.0,120.0,1,right,MISS O. Bitim 12' fadeaway Shot,[1641931],1610612741.0,CHI,fadeaway,,,Bitim,O. Bitim,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,12.09,,,,,,,,,,,
13,PT11M31.00S,2024-04-12T23:15:53.9Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,1,0,2024-04-12T23:15:58Z,130000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,
14,PT11M28.00S,2024-04-12T23:15:56.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641774,23.209592641261498,11.76470588235294,1610612764,4,0,2024-04-12T23:16:27Z,140000,False,191.0,166.0,1,left,T. Vukcevic 25' 3PT running (4 PTS) (D. Avdija 1 AST),"[1641774, 1630166]",1610612764.0,WAS,running,,,Vukcevic,T. Vukcevic,,,,,Above the Break 3,24+ Right Center,,,,,,Made,,4.0,25.3,,,,D. Avdija,1630166.0,1.0,,,,,
16,PT11M17.00S,2024-04-12T23:16:07.6Z,1,REGULAR,3pt,Jump Shot,[],1628470,68.28186596583443,21.813725490196077,1610612741,4,0,2024-04-12T23:16:11Z,160000,False,-141.0,246.0,1,right,MISS T. Craig 28' 3PT,[1628470],1610612741.0,CHI,,,,Craig,T. Craig,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,28.32,,,,,,,,,,,
17,PT11M14.00S,2024-04-12T23:16:10.6Z,1,REGULAR,rebound,defensive,[],1631116,,,1610612764,4,0,2024-04-12T23:16:11Z,170000,False,,,0,,P. Baldwin Jr. REBOUND (Off:0 Def:1),[1631116],1610612764.0,WAS,,,,Baldwin Jr.,P. Baldwin Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,16.0,,,1.0,1.0,0.0,,,,,,,,
