actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-25T23:10:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-25T23:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-02-25T23:10:46.4Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-02-25T23:10:46Z,40000,False,,,0,,Jump Ball J. Allen vs. M. Bagley III: Tip to E. Mobley,"[1630596, 1628386, 1628963]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-02-25T23:10:53.3Z,1,REGULAR,foul,personal,['2freethrow'],1629013,,,1610612739,0,0,2024-02-25T23:11:00Z,70000,False,,,0,,L. Shamet shooting personal FOUL (1 PF) (Strus 2 FT),"[1629013, 1629622]",1610612764.0,WAS,shooting,,,Shamet,L. Shamet,,,,,Restricted Area,0-8 Center,200833.0,1.0,0.0,Strus,1629622.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-02-25T23:11:18.4Z,1,REGULAR,freethrow,1 of 2,[],1629622,,,1610612739,0,1,2024-02-25T23:11:38Z,90000,False,,,0,,M. Strus Free Throw 1 of 2 (1 PTS),[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2024-02-25T23:11:18.4Z,1,REGULAR,freethrow,2 of 2,[],1629622,,,1610612739,0,1,2024-02-25T23:11:38Z,100000,False,,,0,,MISS M. Strus Free Throw 2 of 2,[1629622],1610612739.0,CLE,,,,Strus,M. Strus,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M44.00S,2024-02-25T23:11:21.4Z,1,REGULAR,rebound,offensive,[],1630596,,,1610612739,0,1,2024-02-25T23:11:38Z,110000,False,,,0,,E. Mobley REBOUND (Off:1 Def:0),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M35.00S,2024-02-25T23:11:43.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630596,9.017739816031538,51.9607843137255,1610612739,0,3,2024-02-25T23:11:47Z,120000,False,-10.0,32.0,1,left,E. Mobley Layup (2 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,3.38,,,,,,,,
13,PT11M10.00S,2024-02-25T23:12:09.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628963,95.22010512483574,45.588235294117645,1610612764,0,3,2024-02-25T23:12:37Z,130000,False,-22.0,-8.0,1,right,MISS M. Bagley III cutting DUNK - blocked,"[1628963, 1628386]",1610612764.0,WAS,cutting,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.34,Allen,1628386.0,,,,,,
14,PT11M10.00S,2024-02-25T23:12:09.0Z,1,REGULAR,block,,[],1628386,,,1610612764,0,3,2024-02-25T23:12:11Z,140000,False,,,0,,J. Allen BLOCK (1 BLK),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2024-02-25T23:12:12.0Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,0,3,2024-02-25T23:12:13Z,150000,False,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M57.00S,2024-02-25T23:12:20.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628386,8.754927726675426,48.77450980392157,1610612739,0,3,2024-02-25T23:12:25Z,160000,False,6.0,30.0,1,left,MISS J. Allen turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,3.04,,,,,,,,
17,PT10M55.00S,2024-02-25T23:12:23.0Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612764,0,3,2024-02-25T23:12:23Z,170000,False,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612764.0,WAS,,,,Bagley III,M. Bagley III,,,,,Restricted Area,0-8 Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M47.00S,2024-02-25T23:12:32.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641731,88.91261498028909,55.88235294117647,1610612764,2,3,2024-02-25T23:12:36Z,180000,False,29.0,52.0,1,right,B. Coulibaly pullup Jump Shot (2 PTS) (T. Jones 1 AST),"[1641731, 1626145]",1610612764.0,WAS,pullup,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,,,,,5.95,,,T. Jones,1626145.0,1.0,,,
20,PT10M30.00S,2024-02-25T23:12:48.5Z,1,REGULAR,3pt,Jump Shot,[],1629636,35.03613666228647,61.51960784313726,1610612739,2,3,2024-02-25T23:13:25Z,200000,False,-58.0,277.0,1,left,MISS D. Garland 28' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,28.27,,,,,,,,
21,PT10M26.00S,2024-02-25T23:12:52.5Z,1,REGULAR,rebound,defensive,[],1641731,,,1610612764,2,3,2024-02-25T23:12:54Z,210000,False,,,0,,B. Coulibaly REBOUND (Off:0 Def:1),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Above the Break 3,24+ Center,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,
22,PT10M09.00S,2024-02-25T23:13:08.6Z,1,REGULAR,2pt,Jump Shot,[],1626145,93.77463863337714,25.49019607843137,1610612764,2,3,2024-02-25T23:13:14Z,220000,False,-123.0,6.0,1,right,MISS T. Jones 12' driving floating Shot,[1626145],1610612764.0,WAS,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,,,,Missed,,,,,,12.26,,,,,,,,
23,PT10M07.00S,2024-02-25T23:13:10.6Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,2,3,2024-02-25T23:13:14Z,230000,False,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Left,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT09M54.00S,2024-02-25T23:13:27.0Z,1,REGULAR,foul,personal,['2freethrow'],1641731,,,1610612739,2,3,2024-02-25T23:13:35Z,240000,False,,,0,,B. Coulibaly shooting personal FOUL (1 PF) (Mobley 2 FT),"[1641731, 1630596]",1610612764.0,WAS,shooting,,,Coulibaly,B. Coulibaly,,,,,In The Paint (Non-RA),0-8 Center,1193.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
26,PT09M54.00S,2024-02-25T23:13:54.9Z,1,REGULAR,freethrow,1 of 2,[],1630596,,,1610612739,2,3,2024-02-25T23:13:54Z,260000,False,,,0,,MISS E. Mobley Free Throw 1 of 2,[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
27,PT09M54.00S,2024-02-25T23:13:54.9Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,2,3,2024-02-25T23:13:54Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,
28,PT09M54.00S,2024-02-25T23:14:11.4Z,1,REGULAR,freethrow,2 of 2,[],1630596,,,1610612739,2,4,2024-02-25T23:14:11Z,280000,False,,,0,,E. Mobley Free Throw 2 of 2 (3 PTS),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
30,PT09M37.00S,2024-02-25T23:14:33.8Z,1,REGULAR,foul,personal,['2freethrow'],1628378,,,1610612764,2,4,2024-02-25T23:14:41Z,300000,False,,,0,,D. Mitchell shooting personal FOUL (1 PF) (Coulibaly 2 FT),"[1628378, 1641731]",1610612739.0,CLE,shooting,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,1193.0,1.0,0.0,Coulibaly,1641731.0,,,,,,,,,,,,,,,
32,PT09M37.00S,2024-02-25T23:14:56.8Z,1,REGULAR,freethrow,1 of 2,[],1641731,,,1610612764,2,4,2024-02-25T23:14:56Z,320000,False,,,0,,MISS B. Coulibaly Free Throw 1 of 2,[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
33,PT09M37.00S,2024-02-25T23:14:56.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612764,2,4,2024-02-25T23:14:56Z,330000,False,,,0,,TEAM offensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,
34,PT09M37.00S,2024-02-25T23:15:12.8Z,1,REGULAR,freethrow,2 of 2,[],1641731,,,1610612764,3,4,2024-02-25T23:15:12Z,340000,False,,,0,,B. Coulibaly Free Throw 2 of 2 (3 PTS),[1641731],1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
