actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-21T23:10:23.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-21T23:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-21T23:10:32.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612764,0,0,2024-03-21T23:10:32Z,40000,False,,,0,,Jump Ball R. Holmes vs. D. Sabonis: Tip to Team (WAS),"[1626158, 1627734]",1610612764.0,WAS,startperiod,Team (WAS),Holmes,1626158.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-03-21T23:10:52.6Z,1,REGULAR,3pt,Jump Shot,[],1630557,72.22404730617609,12.254901960784313,1610612764,0,0,2024-03-21T23:10:58Z,80000,False,-189.0,209.0,1,right,MISS C. Kispert 28' 3PT,[1630557],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,28.13,Missed,Kispert,C. Kispert,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2024-03-21T23:10:55.6Z,1,REGULAR,rebound,offensive,[],1626158,,,1610612764,0,0,2024-03-21T23:10:58Z,90000,False,,,0,,R. Holmes REBOUND (Off:1 Def:0),[1626158],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Left Center,,,Holmes,R. Holmes,8.0,1.0,0.0,1.0,,,,,,,,,,,,,,
10,PT11M34.00S,2024-03-21T23:11:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,93.77463863337714,60.5392156862745,1610612764,0,0,2024-03-21T23:12:22Z,100000,False,53.0,6.0,1,right,MISS D. Avdija driving Layup - blocked,"[1630166, 1631099]",1610612764.0,WAS,driving,,,,,,In The Paint (Non-RA),0-8 Center,5.3,Missed,Avdija,D. Avdija,,,,,Murray,1631099.0,,,,,,,,,,,,
17,PT11M34.00S,2024-03-21T23:11:01.8Z,1,REGULAR,block,,[],1631099,,,1610612764,0,0,2024-03-21T23:11:57Z,105000,False,,,0,,K. Murray BLOCK (1 BLK),[1631099],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Murray,K. Murray,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2024-03-21T23:11:03.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,0,0,2024-03-21T23:11:05Z,110000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,,,,In The Paint (Non-RA),0-8 Center,,,Sabonis,D. Sabonis,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M26.00S,2024-03-21T23:11:10.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1628368,7.440867279894875,60.78431372549019,1610612758,0,0,2024-03-21T23:15:05Z,120000,False,-54.0,17.0,1,left,MISS D. Fox running finger roll Layup,[1628368],1610612758.0,SAC,running finger roll,,,,,,In The Paint (Non-RA),0-8 Center,5.66,Missed,Fox,D. Fox,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2024-03-21T23:11:13.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2024-03-21T23:11:20Z,130000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,Kuzma,K. Kuzma,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M18.00S,2024-03-21T23:11:20.7Z,1,REGULAR,foul,personal,['2freethrow'],1628368,,,1610612764,0,0,2024-03-21T23:11:27Z,140000,False,,,0,,D. Fox shooting personal FOUL (1 PF) (Kispert 2 FT),"[1628368, 1630557]",1610612758.0,SAC,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,Fox,D. Fox,,,,,,,2882.0,1.0,0.0,Kispert,1630557.0,,,,,,,
