actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-24T00:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-24T00:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-24T00:10:49.1Z,1,REGULAR,jumpball,recovered,[],1630557,,,1610612764,0,0,2024-03-24T00:10:49Z,40000,False,,,0,,Jump Ball R. Holmes vs. K. Olynyk: Tip to C. Kispert,"[1630557, 1626158, 203482]",1610612764.0,WAS,startperiod,C. Kispert,1630557.0,Kispert,C. Kispert,Holmes,1626158.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-03-24T00:11:08.9Z,1,REGULAR,2pt,Jump Shot,[],1629673,9.017739816031538,80.14705882352942,1610612764,0,0,2024-03-24T00:11:14Z,70000,False,-151.0,32.0,1,left,MISS J. Poole 15' turnaround fadeaway Shot,[1629673],1610612764.0,WAS,turnaround fadeaway,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,15.41,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-03-24T00:11:12.9Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,0,0,2024-03-24T00:11:14Z,80000,False,,,0,,D. Avdija REBOUND (Off:1 Def:0),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-03-24T00:11:21.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,33.98488830486202,70.58823529411765,1610612764,0,0,2024-03-24T00:12:04Z,90000,False,-103.0,267.0,1,left,MISS K. Kuzma 28' fadeaway 3PT,[1628398],1610612764.0,WAS,fadeaway,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,28.61,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2024-03-24T00:11:25.5Z,1,REGULAR,rebound,defensive,[],1630186,,,1610612761,0,0,2024-03-24T00:11:25Z,100000,False,,,0,,J. Ramsey REBOUND (Off:0 Def:1),[1630186],1610612761.0,TOR,,,,Ramsey,J. Ramsey,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M07.00S,2024-03-24T00:11:39.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,90.22667542706965,50.0,1610612761,0,0,2024-03-24T00:13:08Z,110000,False,0.0,39.0,1,right,MISS K. Olynyk floating Shot,[203482],1610612761.0,TOR,floating,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,3.94,Missed,,,,,,,,,,,,,,,,,,
12,PT11M04.00S,2024-03-24T00:11:42.1Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,0,0,2024-03-24T00:11:43Z,120000,False,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M57.00S,2024-03-24T00:11:48.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626158,9.017739816031538,52.69607843137255,1610612764,2,0,2024-03-24T00:11:52Z,130000,False,-13.0,32.0,1,left,R. Holmes cutting DUNK (2 PTS) (K. Kuzma 1 AST),"[1626158, 1628398]",1610612764.0,WAS,cutting,,,Holmes,R. Holmes,,,,,Restricted Area,0-8 Center,3.5,Made,,,,,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,
15,PT10M38.00S,2024-03-24T00:12:07.8Z,1,REGULAR,3pt,Jump Shot,[],1630186,69.07030223390277,25.49019607843137,1610612761,2,0,2024-03-24T00:12:12Z,150000,False,-123.0,238.0,1,right,MISS J. Ramsey 26' 3PT,[1630186],1610612761.0,TOR,,,,Ramsey,J. Ramsey,,,,,Above the Break 3,24+ Left Center,26.79,Missed,,,,,,,,,,,,,,,,,,
16,PT10M35.00S,2024-03-24T00:12:10.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,0,2024-03-24T00:12:12Z,160000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M24.00S,2024-03-24T00:12:21.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626158,7.835085413929041,60.049019607843135,1610612764,2,0,2024-03-24T00:12:26Z,170000,False,-50.0,21.0,1,left,MISS R. Holmes floating Shot,[1626158],1610612764.0,WAS,floating,,,Holmes,R. Holmes,,,,,In The Paint (Non-RA),0-8 Center,5.45,Missed,,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2024-03-24T00:12:25.3Z,1,REGULAR,rebound,offensive,[],1630166,,,1610612764,2,0,2024-03-24T00:12:25Z,180000,False,,,0,,D. Avdija REBOUND (Off:2 Def:0),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,2.0,0.0,2.0,,,,,,,,,,,,,,
19,PT10M20.00S,2024-03-24T00:12:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630166,5.590000152587891,50.0,1610612764,4,0,2024-03-24T00:12:25Z,190000,False,0.0,0.0,1,left,D. Avdija tip Layup (2 PTS),[1630166],1610612764.0,WAS,tip,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
20,PT10M15.00S,2024-03-24T00:12:31.0Z,1,REGULAR,3pt,Jump Shot,[],1641711,67.49342969776609,61.76470588235294,1610612761,4,3,2024-03-24T00:12:37Z,200000,False,59.0,253.0,1,right,G. Dick 25' 3PT  (3 PTS) (K. Olynyk 1 AST),"[1641711, 203482]",1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Center,25.98,Made,,,,,3.0,K. Olynyk,203482.0,1.0,,,,,,,,,,
22,PT09M50.00S,2024-03-24T00:12:55.7Z,1,REGULAR,3pt,Jump Shot,[],1628398,35.43035479632063,26.225490196078432,1610612764,4,3,2024-03-24T00:13:00Z,220000,False,119.0,281.0,1,left,MISS K. Kuzma 30' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,30.47,Missed,,,,,,,,,,,,,,,,,,
23,PT09M46.00S,2024-03-24T00:12:59.7Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612761,4,3,2024-03-24T00:13:00Z,230000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M36.00S,2024-03-24T00:13:10.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203482,80.89684625492772,62.5,1610612761,4,5,2024-03-24T00:13:18Z,240000,False,62.0,127.0,1,right,K. Olynyk 14' turnaround Jump Shot (2 PTS),[203482],1610612761.0,TOR,turnaround,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,14.16,Made,,,,,2.0,,,,,,,,,,,,,
40,PT09M06.00S,2024-03-24T00:13:32.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612764,4,5,2024-03-24T00:17:39Z,255000,False,,,0,,WAS shot clock Team TURNOVER,[],1610612764.0,WAS,,,,,,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,202058.0,,,,,,,,,
27,PT08M50.00S,2024-03-24T00:13:55.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641711,83.52496714848883,96.32352941176471,1610612761,4,8,2024-03-24T00:17:39Z,270000,False,232.0,102.0,1,right,G. Dick 25' 3PT  (6 PTS) (J. Ramsey 1 AST),"[1641711, 1630186]",1610612761.0,TOR,,,,Dick,G. Dick,,,,,Above the Break 3,24+ Right Center,25.32,Made,,,,,6.0,J. Ramsey,1630186.0,1.0,,,,,,,,,,
29,PT08M31.00S,2024-03-24T00:14:14.6Z,1,REGULAR,3pt,Jump Shot,[],1630557,4.944152431011826,99.01960784313727,1610612764,7,8,2024-03-24T00:14:19Z,290000,False,-245.0,-6.0,1,left,C. Kispert 24' 3PT  (3 PTS) (D. Avdija 1 AST),"[1630557, 1630166]",1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Left Corner 3,24+ Left,24.52,Made,,,,,3.0,D. Avdija,1630166.0,1.0,,,,,,,,,,
