actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-12-16T00:10:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-16T00:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-16T00:11:02.1Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612754,0,0,2023-12-16T00:11:02Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Gafford: Tip to O. Toppin,"[1630167, 1626167, 1629655]",1610612754.0,IND,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Turner,1626167.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-12-16T00:11:12.1Z,1,REGULAR,turnover,out-of-bounds,[],1630169,,,1610612754,0,0,2023-12-16T00:11:20Z,70000,False,,,0,,T. Haliburton bad pass out-of-bounds TURNOVER (1 TO),[1630169],1610612754.0,IND,bad pass,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Right,2004.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M29.00S,2023-12-16T00:11:39.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626145,67.59198423127464,66.66666666666667,1610612764,0,0,2023-12-16T00:11:55Z,80000,False,83.0,252.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,26.55,Missed,,,,,,,,,,,,,,,,
9,PT11M26.00S,2023-12-16T00:11:42.9Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2023-12-16T00:11:55Z,90000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M05.00S,2023-12-16T00:12:04.3Z,1,REGULAR,2pt,Jump Shot,[],1626167,26.461892247043366,49.754901960784316,1610612754,0,2,2023-12-16T00:12:09Z,100000,False,1.0,196.0,1,left,M. Turner 19' pullup Jump Shot (2 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,pullup,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,,,19.62,Made,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,
12,PT10M53.00S,2023-12-16T00:12:16.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,80.99540078843627,39.4607843137255,1610612764,0,2,2023-12-16T00:13:14Z,120000,False,-53.0,126.0,1,right,MISS K. Kuzma 13' driving floating Shot,[1628398],1610612764.0,WAS,driving floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),8-16 Center,,,13.67,Missed,,,,,,,,,,,,,,,,
13,PT10M50.00S,2023-12-16T00:12:19.3Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,0,2,2023-12-16T00:12:20Z,130000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M43.00S,2023-12-16T00:12:25.5Z,1,REGULAR,3pt,Jump Shot,[],1626167,29.747043363994734,23.774509803921575,1610612754,0,2,2023-12-16T00:12:36Z,140000,False,131.0,227.0,1,left,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,26.22,Missed,,,,,,,,,,,,,,,,
15,PT10M40.00S,2023-12-16T00:12:28.5Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,0,2,2023-12-16T00:12:36Z,150000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M35.00S,2023-12-16T00:12:33.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630166,93.08475689881735,53.18627450980392,1610612764,2,2,2023-12-16T00:14:20Z,160000,False,16.0,13.0,1,right,D. Avdija running Layup (2 PTS),[1630166],1610612764.0,WAS,running,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,2.02,Made,,,,,2.0,,,,,,,,,,,
17,PT10M25.00S,2023-12-16T00:12:43.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630169,7.802233902759525,42.892156862745104,1610612754,2,2,2023-12-16T00:14:44Z,170000,False,36.0,21.0,1,left,MISS T. Haliburton driving Hook,[1630169],1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,Restricted Area,0-8 Center,,,4.11,Missed,,,,,,,,,,,,,,,,
18,PT10M23.00S,2023-12-16T00:12:45.5Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,2,2,2023-12-16T00:12:52Z,180000,False,,,0,,D. Avdija REBOUND (Off:0 Def:2),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,
19,PT10M20.00S,2023-12-16T00:12:49.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629673,77.05321944809461,12.25490196078431,1610612764,5,2,2023-12-16T00:15:34Z,190000,False,-189.0,163.0,1,right,J. Poole 24' 3PT running (3 PTS) (D. Avdija 1 AST),"[1629673, 1630166]",1610612764.0,WAS,running,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,24.95,Made,,,,,3.0,D. Avdija,1630166.0,1.0,,,,,,,,
21,PT09M57.00S,2023-12-16T00:13:11.2Z,1,REGULAR,3pt,Jump Shot,[],1630167,26.19908015768725,87.00980392156862,1610612754,5,5,2023-12-16T00:13:15Z,210000,False,-185.0,194.0,1,left,O. Toppin 26' 3PT  (3 PTS) (B. Hield 1 AST),"[1630167, 1627741]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Left Center,,,26.79,Made,,,,,3.0,B. Hield,1627741.0,1.0,,,,,,,,
23,PT09M42.00S,2023-12-16T00:13:27.8Z,1,REGULAR,2pt,Jump Shot,[],1629673,71.92838370565046,51.470588235294116,1610612764,7,5,2023-12-16T00:13:37Z,230000,False,7.0,211.0,1,right,J. Poole 21' pullup Jump Shot (5 PTS) (D. Gafford 1 AST),"[1629673, 1629655]",1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Mid-Range,16-24 Center,,,21.15,Made,,,,,5.0,D. Gafford,1629655.0,1.0,,,,,,,,
25,PT09M34.00S,2023-12-16T00:13:36.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,6.750985545335084,42.15686274509803,1610612754,7,5,2023-12-16T00:16:54Z,250000,False,39.0,11.0,1,left,MISS B. Brown driving Layup - blocked,"[1628971, 1629655]",1610612754.0,IND,driving,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,4.07,Missed,,,,,,,,,Gafford,1629655.0,,,,,,
26,PT09M34.00S,2023-12-16T00:13:36.2Z,1,REGULAR,block,,[],1629655,,,1610612754,7,5,2023-12-16T00:13:38Z,260000,False,,,0,,D. Gafford BLOCK (1 BLK),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M33.00S,2023-12-16T00:13:37.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,7,5,2023-12-16T00:14:11Z,270000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,,,25.0,,,,,,,,,,,,,,,
29,PT09M31.00S,2023-12-16T00:13:53.2Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,7,5,2023-12-16T00:13:58Z,290000,False,,,0,,T. Haliburton bad pass TURNOVER (2 TO),"[1630169, 1626145]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Right,,2.0,,,,,,,,,,,,,Jones,1626145.0,,,,
30,PT09M31.00S,2023-12-16T00:13:53.2Z,1,REGULAR,steal,,[],1626145,,,1610612764,7,5,2023-12-16T00:13:55Z,300000,False,,,0,,T. Jones STEAL (1 STL),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
31,PT09M29.00S,2023-12-16T00:13:58.5Z,1,REGULAR,foul,personal,['2freethrow'],1628971,,,1610612764,7,5,2023-12-16T00:14:11Z,310000,False,,,0,,B. Brown shooting personal FOUL (1 PF) (Avdija 2 FT),"[1628971, 1630166]",1610612754.0,IND,shooting,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,1627964.0,,,,,,,,,,,,,,,,1.0,0.0,Avdija,1630166.0
33,PT09M29.00S,2023-12-16T00:14:30.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1630166,,,1610612764,8,5,2023-12-16T00:14:30Z,330000,False,,,0,,D. Avdija Free Throw 1 of 2 (3 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
34,PT09M29.00S,2023-12-16T00:14:47.8Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1630166,,,1610612764,9,5,2023-12-16T00:14:47Z,340000,False,,,0,,D. Avdija Free Throw 2 of 2 (4 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,Made,,,,,4.0,,,,,,,,,,,
35,PT09M16.00S,2023-12-16T00:15:07.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,8.722076215505908,42.892156862745104,1610612754,9,7,2023-12-16T00:15:14Z,350000,False,36.0,29.0,1,left,T. Haliburton driving Layup (2 PTS) (B. Hield 2 AST),"[1630169, 1627741]",1610612754.0,IND,driving,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,4.62,Made,,,,,2.0,B. Hield,1627741.0,2.0,,,,,,,,
36,PT09M16.00S,2023-12-16T00:15:09.9Z,1,REGULAR,foul,personal,['1freethrow'],1629673,,,1610612754,9,7,2023-12-16T00:15:16Z,360000,False,,,0,,J. Poole shooting personal FOUL (1 PF) (Haliburton 1 FT),"[1629673, 1630169]",1610612764.0,WAS,shooting,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,1627964.0,,,,,,,,,,,,,,,,1.0,0.0,Haliburton,1630169.0
38,PT09M16.00S,2023-12-16T00:15:28.7Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,9,8,2023-12-16T00:15:28Z,380000,False,,,0,,T. Haliburton Free Throw 1 of 1 (3 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,,
40,PT08M56.00S,2023-12-16T00:15:49.9Z,1,REGULAR,2pt,Jump Shot,[],1628398,90.06241787122208,71.32352941176471,1610612764,11,8,2023-12-16T00:15:57Z,390000,False,107.0,41.0,1,right,K. Kuzma 11' driving floating bank Jump Shot (2 PTS),[1628398],1610612764.0,WAS,driving floating bank,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Right,,,11.42,Made,,,,,2.0,,,,,,,,,,,
41,PT08M37.00S,2023-12-16T00:16:10.6Z,1,REGULAR,turnover,out-of-bounds,[],1627741,,,1610612754,11,8,2023-12-16T00:16:17Z,400000,False,,,0,,B. Hield bad pass out-of-bounds TURNOVER (1 TO),[1627741],1610612754.0,IND,bad pass,,,Hield,B. Hield,,,,,Mid-Range,8-16 Left,2004.0,1.0,,,,,,,,,,,,,,,,,,
42,PT08M25.00S,2023-12-16T00:16:27.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629673,78.89290407358739,24.509803921568633,1610612764,13,8,2023-12-16T00:16:31Z,410000,False,-127.0,146.0,1,right,J. Poole 19' pullup Jump Shot (7 PTS) (T. Jones 1 AST),"[1629673, 1626145]",1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Mid-Range,16-24 Left Center,,,19.38,Made,,,,,7.0,T. Jones,1626145.0,1.0,,,,,,,,
43,PT08M09.00S,2023-12-16T00:16:43.3Z,1,REGULAR,3pt,Jump Shot,[],1627741,32.90078843626807,49.01960784313726,1610612754,13,8,2023-12-16T00:16:48Z,420000,False,5.0,257.0,1,left,MISS B. Hield 25' pullup 3PT,[1627741],1610612754.0,IND,pullup,,,Hield,B. Hield,,,,,Above the Break 3,24+ Center,,,25.68,Missed,,,,,,,,,,,,,,,,
44,PT08M07.00S,2023-12-16T00:16:45.3Z,1,REGULAR,rebound,defensive,[],1626145,,,1610612764,13,8,2023-12-16T00:16:48Z,430000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,,,,,43.0,1.0,1.0,0.0,,,,,,,,,,,,
45,PT07M59.00S,2023-12-16T00:16:54.1Z,1,REGULAR,2pt,Jump Shot,[],1629673,75.47634691195795,61.76470588235294,1610612764,13,8,2023-12-16T00:17:00Z,440000,False,59.0,178.0,1,right,MISS J. Poole 18' step back Shot,[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,,,18.75,Missed,,,,,,,,,,,,,,,,
