actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
110,PT02M41.00S,2023-12-27T00:28:52.5Z,1,REGULAR,substitution,out,[],1628976,,,1610612764,20,26,2023-12-27T00:29:36Z,1100000,False,,,0,,SUB out: W. Carter Jr.,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PT02M41.00S,2023-12-27T00:28:52.5Z,1,REGULAR,substitution,in,[],1630175,,,1610612764,20,26,2023-12-27T00:29:36Z,1110000,False,,,0,,SUB in: C. Anthony,[1630175],1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PT02M41.00S,2023-12-27T00:28:52.5Z,1,REGULAR,substitution,in,[],1629021,,,1610612764,20,26,2023-12-27T00:29:36Z,1120000,False,,,0,,SUB in: M. Wagner,[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PT02M41.00S,2023-12-27T00:29:22.4Z,1,REGULAR,freethrow,1 of 1,[],1626153,,,1610612764,21,26,2023-12-27T00:29:22Z,1130000,False,,,0,,D. Wright Free Throw 1 of 1 (3 PTS),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
114,PT02M28.00S,2023-12-27T00:29:38.8Z,1,REGULAR,turnover,bad pass,[],1630175,,,1610612753,21,26,2023-12-27T00:29:46Z,1140000,False,,,0,,C. Anthony bad pass TURNOVER (1 TO),"[1630175, 1626153]",1610612753.0,ORL,,,,Anthony,C. Anthony,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,Wright,1626153.0,,,,,,
115,PT02M28.00S,2023-12-27T00:29:38.8Z,1,REGULAR,steal,,[],1626153,,,1610612764,21,26,2023-12-27T00:31:06Z,1150000,False,,,0,,D. Wright STEAL (1 STL),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
116,PT02M22.00S,2023-12-27T00:29:44.7Z,1,REGULAR,turnover,lost ball,[],1641731,,,1610612764,21,26,2023-12-27T00:29:51Z,1160000,False,,,0,,B. Coulibaly lost ball TURNOVER (1 TO),"[1641731, 1630591]",1610612764.0,WAS,,,,Coulibaly,B. Coulibaly,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,1.0,Suggs,1630591.0,,,,,,
117,PT02M22.00S,2023-12-27T00:29:44.7Z,1,REGULAR,steal,,[],1630591,,,1610612753,21,26,2023-12-27T00:29:48Z,1170000,False,,,0,,J. Suggs STEAL (3 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
118,PT02M06.00S,2023-12-27T00:30:01.7Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629021,10.068988173455978,58.57843137254902,1610612753,21,26,2023-12-27T00:30:09Z,1180000,False,-43.0,42.0,1,left,MISS M. Wagner 6' floating Shot,[1629021],1610612753.0,ORL,floating,,,Wagner,M. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.01,Missed,,,,,,,,,,,,,,,,,,
119,PT02M03.00S,2023-12-27T00:30:04.7Z,1,REGULAR,rebound,defensive,[],1626153,,,1610612764,21,26,2023-12-27T00:30:09Z,1190000,False,,,0,,D. Wright REBOUND (Off:0 Def:1),[1626153],1610612764.0,WAS,,,,Wright,D. Wright,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,118.0,1.0,1.0,0.0,,,,,,,,,,
