actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-26T00:11:15.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-26T00:11:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-26T00:11:18.3Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2023-11-26T00:11:18Z,40000,False,,,0,,Jump Ball C. Capela vs. D. Gafford: Tip to J. Johnson,"[1630552, 203991, 1629655]",1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Capela,203991.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-11-26T00:11:35.5Z,1,REGULAR,3pt,Jump Shot,[],1627749,21.23850197109067,9.313725490196079,1610612737,0,0,2023-11-26T00:11:40Z,70000,False,203.0,147.0,1,left,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,25.1,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2023-11-26T00:11:39.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2023-11-26T00:11:40Z,80000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-11-26T00:11:46.5Z,1,REGULAR,3pt,Jump Shot,[],1630557,76.69185282522996,90.44117647058823,1610612764,0,0,2023-11-26T00:11:51Z,90000,False,202.0,167.0,1,right,MISS C. Kispert 26' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2023-11-26T00:11:50.5Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,0,0,2023-11-26T00:11:51Z,100000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M19.00S,2023-11-26T00:11:55.8Z,1,REGULAR,3pt,Jump Shot,[],1630552,4.812746386333772,97.30392156862744,1610612737,0,3,2023-11-26T00:12:00Z,110000,False,-237.0,-7.0,1,left,J. Johnson 3PT  (3 PTS) (D. Murray 1 AST),"[1630552, 1627749]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Left Corner 3,24+ Left,23.66,Made,,,,,3.0,D. Murray,1627749.0,1.0,,,,,,,,,,
13,PT10M56.00S,2023-11-26T00:12:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,94.30026281208936,53.18627450980392,1610612764,2,3,2023-11-26T00:12:24Z,130000,False,16.0,1.0,1,right,D. Avdija cutting Layup (2 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",1610612764.0,WAS,cutting,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,2.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,
15,PT10M37.00S,2023-11-26T00:12:37.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,12.697109067017081,50.49019607843137,1610612737,2,5,2023-11-26T00:12:43Z,150000,False,-2.0,67.0,1,left,C. Capela 6' turnaround Hook (2 PTS) (D. Murray 2 AST),"[203991, 1627749]",1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,,,,,2.0,D. Murray,1627749.0,2.0,,,,,,,,,,
17,PT10M28.00S,2023-11-26T00:12:47.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,93.77463863337714,52.69607843137255,1610612764,4,5,2023-11-26T00:12:52Z,170000,False,13.0,6.0,1,right,D. Gafford cutting DUNK (2 PTS) (T. Jones 1 AST),"[1629655, 1626145]",1610612764.0,WAS,cutting,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.48,Made,,,,,2.0,T. Jones,1626145.0,1.0,,,,,,,,,,
