actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-03T00:11:06.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-03T00:11:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-03T00:11:10.3Z,1,REGULAR,jumpball,recovered,[],1626179,,,1610612748,0,0,2024-02-03T00:11:10Z,40000,False,,,0,,Jump Ball B. Adebayo vs. D. Gafford: Tip to T. Rozier,"[1626179, 1628389, 1629655]",1610612748.0,MIA,startperiod,T. Rozier,1626179.0,Rozier,T. Rozier,Adebayo,1628389.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-02-03T00:11:30.3Z,1,REGULAR,turnover,out-of-bounds,[],1629312,,,1610612748,0,0,2024-02-03T00:11:41Z,70000,False,,,0,,H. Highsmith step out-of-bounds TURNOVER (1 TO),[1629312],1610612748.0,MIA,step,,,Highsmith,H. Highsmith,,,,,Mid-Range,8-16 Left,1628951.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2024-02-03T00:11:51.3Z,1,REGULAR,foul,personal,['2freethrow'],1629312,,,1610612764,0,0,2024-02-03T00:12:03Z,80000,False,,,0,,H. Highsmith shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1629312, 1628398]",1610612748.0,MIA,shooting,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),8-16 Center,1162.0,,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,
10,PT11M26.00S,2024-02-03T00:12:19.7Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628398,,,1610612764,1,0,2024-02-03T00:12:19Z,100000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
11,PT11M26.00S,2024-02-03T00:12:34.6Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628398,,,1610612764,2,0,2024-02-03T00:12:34Z,110000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
12,PT11M11.00S,2024-02-03T00:12:52.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,18.74178712220762,56.127450980392155,1610612748,2,2,2024-02-03T00:12:58Z,120000,False,-31.0,124.0,1,left,T. Herro 12' floating Jump Shot (2 PTS),[1629639],1610612748.0,MIA,floating,,,Herro,T. Herro,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Made,2.0,12.74,,,,,,,,,,,
13,PT10M55.00S,2024-02-03T00:13:07.3Z,1,REGULAR,3pt,Jump Shot,[],1629673,67.36202365308804,35.53921568627451,1610612764,2,2,2024-02-03T00:13:12Z,130000,False,-72.0,254.0,1,right,MISS J. Poole 26' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,26.44,,,,,,,,,,,
14,PT10M52.00S,2024-02-03T00:13:10.3Z,1,REGULAR,rebound,defensive,[],1629312,,,1610612748,2,2,2024-02-03T00:13:12Z,140000,False,,,0,,H. Highsmith REBOUND (Off:0 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M36.00S,2024-02-03T00:13:26.6Z,1,REGULAR,3pt,Jump Shot,[],1629312,30.831143232588698,70.83333333333334,1610612748,2,2,2024-02-03T00:13:32Z,150000,False,-104.0,237.0,1,left,MISS H. Highsmith 25' 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,25.92,,,,,,,,,,,
16,PT10M33.00S,2024-02-03T00:13:29.6Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,2,2,2024-02-03T00:13:32Z,160000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT10M27.00S,2024-02-03T00:13:36.3Z,1,REGULAR,3pt,Jump Shot,[],1628398,79.45137976346912,90.93137254901961,1610612764,2,2,2024-02-03T00:13:40Z,170000,False,205.0,141.0,1,right,MISS K. Kuzma 24' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,,,,Missed,,24.84,,,,,,,,,,,
18,PT10M23.00S,2024-02-03T00:13:40.3Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,2,2,2024-02-03T00:13:40Z,180000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M19.00S,2024-02-03T00:13:43.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629639,9.149145860709593,37.5,1610612748,2,2,2024-02-03T00:14:51Z,190000,False,62.0,34.0,1,left,MISS T. Herro 7' running Layup,[1629639],1610612748.0,MIA,running,,,Herro,T. Herro,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Missed,,7.09,,,,,,,,,,,
20,PT10M17.00S,2024-02-03T00:13:45.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,2,2,2024-02-03T00:13:48Z,200000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M05.00S,2024-02-03T00:13:57.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,93.51182654402102,41.42156862745098,1610612764,4,2,2024-02-03T00:14:02Z,210000,False,-43.0,8.0,1,right,J. Poole cutting Layup (2 PTS) (D. Gafford 1 AST),"[1629673, 1629655]",1610612764.0,WAS,cutting,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,2.0,4.37,,,,,D. Gafford,1629655.0,1.0,,,,
23,PT09M45.00S,2024-02-03T00:14:19.2Z,1,REGULAR,turnover,out-of-bounds,[],1629639,,,1610612748,4,2,2024-02-03T00:14:24Z,230000,False,,,0,,T. Herro bad pass out-of-bounds TURNOVER (1 TO),[1629639],1610612748.0,MIA,bad pass,,,Herro,T. Herro,,,,,Mid-Range,8-16 Left,1162.0,1.0,,,,,,,,,,,,,,,,,,
24,PT09M31.00S,2024-02-03T00:14:36.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,90.62089356110381,1.4705882352941175,1610612764,7,2,2024-02-03T00:14:41Z,240000,False,-243.0,36.0,1,right,K. Kuzma 24' 3PT  (5 PTS) (T. Jones 1 AST),"[1628398, 1626145]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,,,,,,,Made,5.0,24.52,,,,,T. Jones,1626145.0,1.0,,,,
26,PT09M15.00S,2024-02-03T00:14:52.4Z,1,REGULAR,3pt,Jump Shot,[],1629312,6.652431011826544,97.05882352941177,1610612748,7,2,2024-02-03T00:14:58Z,260000,False,-235.0,10.0,1,left,MISS H. Highsmith 3PT,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,,,,,,,Missed,,23.55,,,,,,,,,,,
27,PT09M12.00S,2024-02-03T00:14:55.4Z,1,REGULAR,rebound,offensive,[],1629312,,,1610612748,7,2,2024-02-03T00:14:58Z,270000,False,,,0,,H. Highsmith REBOUND (Off:1 Def:1),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,Left Corner 3,24+ Left,,,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,
28,PT09M11.00S,2024-02-03T00:14:56.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629312,12.302890932982917,50.245098039215684,1610612748,7,4,2024-02-03T00:15:00Z,280000,False,-1.0,63.0,1,left,H. Highsmith 6' Hook (2 PTS),[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,2.0,6.31,,,,,,,,,,,
29,PT08M50.00S,2024-02-03T00:15:17.1Z,1,REGULAR,3pt,Jump Shot,[],1629673,66.70499342969777,46.07843137254902,1610612764,7,4,2024-02-03T00:15:22Z,290000,False,-20.0,260.0,1,right,MISS J. Poole 26' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,,,,Missed,,26.12,,,,,,,,,,,
30,PT08M47.00S,2024-02-03T00:15:20.1Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,7,4,2024-02-03T00:15:22Z,300000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
31,PT08M41.00S,2024-02-03T00:15:29.5Z,1,REGULAR,turnover,out-of-bounds,[],202710,,,1610612748,7,4,2024-02-03T00:15:42Z,310000,False,,,0,,J. Butler bad pass out-of-bounds TURNOVER (1 TO),[202710],1610612748.0,MIA,bad pass,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,1628480.0,1.0,,,,,,,,,,,,,,,,,,
32,PT08M32.00S,2024-02-03T00:15:42.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626145,68.54467805519053,19.852941176470587,1610612764,7,4,2024-02-03T00:16:27Z,320000,False,-151.0,243.0,1,right,MISS T. Jones 28' pullup 3PT,[1626145],1610612764.0,WAS,pullup,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,28.61,,,,,,,,,,,
33,PT08M30.00S,2024-02-03T00:15:44.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612748,7,4,2024-02-03T00:15:51Z,330000,False,,,0,,TEAM defensive REBOUND,[],1610612748.0,MIA,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,32.0,,,,,,,,,,
35,PT08M18.00S,2024-02-03T00:16:07.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202710,9.149145860709593,40.68627450980392,1610612748,7,6,2024-02-03T00:16:12Z,350000,False,47.0,34.0,1,left,J. Butler driving Layup (2 PTS),[202710],1610612748.0,MIA,driving,,,Butler,J. Butler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,2.0,5.74,,,,,,,,,,,
