actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-28T00:10:39.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-28T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-12-28T00:10:45.9Z,1,REGULAR,jumpball,recovered,[],1629655,,,1610612764,0,0,2023-12-28T00:10:45Z,40000,False,,,0,,Jump Ball D. Gafford vs. J. Poeltl: Tip to D. Gafford,"[1629655, 1629655, 1627751]",1610612764.0,WAS,startperiod,D. Gafford,1629655.0,Gafford,D. Gafford,Gafford,1629655.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-12-28T00:10:57.7Z,1,REGULAR,3pt,Jump Shot,[],1629673,35.56176084099869,58.333333333333336,1610612764,3,0,2023-12-28T00:11:03Z,70000,False,-42.0,282.0,1,left,J. Poole 28' 3PT  (3 PTS) (K. Kuzma 1 AST),"[1629673, 1628398]",1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,28.49,Made,3.0,K. Kuzma,1628398.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2023-12-28T00:11:16.0Z,1,REGULAR,3pt,Jump Shot,[],1627783,74.98357424441524,15.931372549019606,1610612761,3,0,2023-12-28T00:11:21Z,90000,False,-170.0,183.0,1,right,MISS P. Siakam 24' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Left Center,24.98,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2023-12-28T00:11:19.0Z,1,REGULAR,rebound,offensive,[],1630567,,,1610612761,3,0,2023-12-28T00:11:21Z,100000,False,,,0,,S. Barnes REBOUND (Off:1 Def:0),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
11,PT11M08.00S,2023-12-28T00:11:30.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630567,91.27792378449409,22.30392156862745,1610612761,3,2,2023-12-28T00:11:35Z,110000,False,-138.0,29.0,1,right,S. Barnes 14' Jump Shot (2 PTS) (O. Anunoby 1 AST),"[1630567, 1628384]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,14.16,Made,2.0,O. Anunoby,1628384.0,1.0,,,,,,,,,,,,,,
13,PT10M55.00S,2023-12-28T00:11:44.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,32.40801576872536,73.2843137254902,1610612764,6,2,2023-12-28T00:11:49Z,130000,False,-116.0,252.0,1,left,K. Kuzma 27' 3PT pullup (3 PTS),[1628398],1610612764.0,WAS,pullup,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,27.77,Made,3.0,,,,,,,,,,,,,,,,,
15,PT10M42.00S,2023-12-28T00:11:56.2Z,1,REGULAR,3pt,Jump Shot,[],1628384,95.3515111695138,1.715686274509804,1610612761,6,5,2023-12-28T00:12:04Z,150000,False,-241.0,-9.0,1,right,O. Anunoby 24' 3PT  (3 PTS) (S. Barnes 1 AST),"[1628384, 1630567]",1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,24.16,Made,3.0,S. Barnes,1630567.0,1.0,,,,,,,,,,,,,,
17,PT10M21.00S,2023-12-28T00:12:17.2Z,1,REGULAR,2pt,Jump Shot,[],1629673,10.33180026281209,16.42156862745098,1610612764,8,5,2023-12-28T00:13:11Z,170000,False,168.0,45.0,1,left,J. Poole 17' fadeaway Jump Shot (5 PTS),[1629673],1610612764.0,WAS,fadeaway,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right,17.37,Made,5.0,,,,,,,,,,,,,,,,,
19,PT10M04.00S,2023-12-28T00:12:34.7Z,1,REGULAR,3pt,Jump Shot,[],1629018,75.50919842312747,14.460784313725492,1610612761,8,8,2023-12-28T00:12:39Z,190000,False,-178.0,178.0,1,right,G. Trent Jr. 25' 3PT  (3 PTS) (O. Anunoby 2 AST),"[1629018, 1628384]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,25.13,Made,3.0,O. Anunoby,1628384.0,2.0,,,,,,,,,,,,,,
21,PT09M52.00S,2023-12-28T00:12:48.9Z,1,REGULAR,foul,personal,['2freethrow'],1627783,,,1610612764,8,8,2023-12-28T00:13:00Z,210000,False,,,0,,P. Siakam shooting personal FOUL (1 PF) (Gafford 2 FT),"[1627783, 1629655]",1610612761.0,TOR,shooting,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,200832.0,1.0,0.0,Gafford,1629655.0,,,,,
23,PT09M52.00S,2023-12-28T00:13:18.8Z,1,REGULAR,freethrow,1 of 2,[],1629655,,,1610612764,9,8,2023-12-28T00:13:18Z,230000,False,,,0,,D. Gafford Free Throw 1 of 2 (1 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2023-12-28T00:13:39.2Z,1,REGULAR,freethrow,2 of 2,[],1629655,,,1610612764,10,8,2023-12-28T00:13:39Z,240000,False,,,0,,D. Gafford Free Throw 2 of 2 (2 PTS),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M30.00S,2023-12-28T00:14:02.7Z,1,REGULAR,3pt,Jump Shot,[],1628384,67.09921156373193,45.588235294117645,1610612761,10,8,2023-12-28T01:22:20Z,250000,False,-22.0,257.0,1,right,MISS O. Anunoby 25' pullup 3PT,[1628384],1610612761.0,TOR,pullup,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,25.77,Missed,,,,,,,,,,,,,,,,,,
26,PT09M28.00S,2023-12-28T00:14:04.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,10,8,2023-12-28T00:14:12Z,260000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,25.0,,,,,,,,,,,,,
28,PT09M15.00S,2023-12-28T00:14:25.4Z,1,REGULAR,3pt,Jump Shot,[],1629673,21.369908015768726,8.823529411764707,1610612764,10,8,2023-12-28T00:14:30Z,280000,False,206.0,148.0,1,left,MISS J. Poole 25' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,25.38,Missed,,,,,,,,,,,,,,,,,,
29,PT09M11.00S,2023-12-28T00:14:29.4Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,10,8,2023-12-28T00:14:30Z,290000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M07.00S,2023-12-28T00:14:35.6Z,1,REGULAR,foul,personal,[],1626145,,,1610612761,10,8,2023-12-28T00:14:42Z,300000,False,,,0,,T. Jones personal FOUL (1 PF),"[1626145, 1627783]",1610612764.0,WAS,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Right,,,,,,,,,,,1151.0,1.0,0.0,Siakam,1627783.0,,,,,
32,PT09M00.00S,2023-12-28T00:14:58.0Z,1,REGULAR,3pt,Jump Shot,[],1630567,69.46452036793693,72.30392156862744,1610612761,10,8,2023-12-28T00:15:02Z,320000,False,112.0,235.0,1,right,MISS S. Barnes 25' 3PT,[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,25.97,Missed,,,,,,,,,,,,,,,,,,
33,PT08M56.00S,2023-12-28T00:15:02.0Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,10,8,2023-12-28T00:15:02Z,330000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Right Center,,,,,,,32.0,1.0,1.0,0.0,,,,,,,,,,
34,PT08M50.00S,2023-12-28T00:15:15.7Z,1,REGULAR,foul,personal,[],1627783,,,1610612764,10,8,2023-12-28T00:15:39Z,340000,False,,,0,,P. Siakam personal FOUL (2 PF),"[1627783, 1629655]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1151.0,2.0,0.0,Gafford,1629655.0,,,,,
36,PT08M42.00S,2023-12-28T00:15:46.8Z,1,REGULAR,foul,personal,[],1629018,,,1610612764,10,8,2023-12-28T00:15:54Z,360000,False,,,0,,G. Trent Jr. personal FOUL (1 PF),"[1629018, 1630166]",1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,200832.0,1.0,0.0,Avdija,1630166.0,,,,,
38,PT08M38.00S,2023-12-28T00:16:08.9Z,1,REGULAR,3pt,Jump Shot,[],1628398,10.5946123521682,4.411764705882353,1610612764,10,8,2023-12-28T00:16:13Z,380000,False,228.0,47.0,1,left,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,23.27,Missed,,,,,,,,,,,,,,,,,,
39,PT08M35.00S,2023-12-28T00:16:11.9Z,1,REGULAR,rebound,offensive,[],1626145,,,1610612764,10,8,2023-12-28T00:16:13Z,390000,False,,,0,,T. Jones REBOUND (Off:1 Def:0),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Right Corner 3,24+ Right,,,,,,,38.0,1.0,0.0,1.0,,,,,,,,,,
40,PT08M31.00S,2023-12-28T00:16:16.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626145,33.327858081471746,64.70588235294117,1610612764,13,8,2023-12-28T00:16:49Z,400000,False,-74.0,261.0,1,left,T. Jones 27' 3PT step back (3 PTS),[1626145],1610612764.0,WAS,step back,,,Jones,T. Jones,,,,,Above the Break 3,24+ Center,27.1,Made,3.0,,,,,,,,,,,,,,,,,
41,PT08M12.00S,2023-12-28T00:16:34.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,94.56307490144546,50.0,1610612761,13,10,2023-12-28T00:17:15Z,410000,False,0.0,-1.0,1,right,J. Poeltl Layup (2 PTS) (S. Barnes 2 AST),"[1627751, 1630567]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,0.14,Made,2.0,S. Barnes,1630567.0,2.0,,,,,,,,,,,,,,
43,PT08M00.00S,2023-12-28T00:16:47.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,5.863994743758213,55.14705882352941,1610612764,15,10,2023-12-28T00:17:45Z,430000,False,-26.0,3.0,1,left,J. Poole driving Layup (7 PTS) (K. Kuzma 2 AST),"[1629673, 1628398]",1610612764.0,WAS,driving,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,2.58,Made,7.0,K. Kuzma,1628398.0,2.0,,,,,,,,,,,,,,
45,PT07M49.00S,2023-12-28T00:16:58.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,94.1688567674113,52.20588235294118,1610612761,15,12,2023-12-28T00:17:02Z,450000,False,11.0,2.0,1,right,P. Siakam Layup (2 PTS) (S. Barnes 3 AST),"[1627783, 1630567]",1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.12,Made,2.0,S. Barnes,1630567.0,3.0,,,,,,,,,,,,,,
46,PT07M26.00S,2023-12-28T00:17:22.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,6.652431011826544,49.26470588235294,1610612764,17,12,2023-12-28T00:17:25Z,460000,False,4.0,10.0,1,left,D. Gafford alley-oop DUNK (4 PTS) (T. Jones 1 AST),"[1629655, 1626145]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.07,Made,4.0,T. Jones,1626145.0,1.0,,,,,,,,,,,,,,
48,PT07M14.00S,2023-12-28T00:17:33.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627783,94.69448094612353,61.51960784313726,1610612761,17,12,2023-12-28T00:17:37Z,480000,False,58.0,-3.0,1,right,MISS P. Siakam turnaround Hook,[1627783],1610612761.0,TOR,turnaround,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,5.77,Missed,,,,,,,,,,,,,,,,,,
