actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-17T22:11:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-17T22:11:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-17T22:11:59.8Z,1,REGULAR,jumpball,recovered,[],1630573,,,1610612738,0,0,2024-03-17T22:11:59Z,40000,False,,,0,,Jump Ball A. Horford vs. R. Holmes: Tip to S. Hauser,"[1630573, 201143, 1626158]",1610612738.0,BOS,startperiod,S. Hauser,1630573.0,Hauser,S. Hauser,Horford,201143.0,Holmes,1626158.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-03-17T22:12:13.9Z,1,REGULAR,foul,personal,['2freethrow'],1630551,,,1610612738,0,0,2024-03-17T22:12:39Z,70000,False,,,0,,J. Champagnie shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630551, 1628369]",1610612764.0,WAS,shooting,,,Champagnie,J. Champagnie,,,,,In The Paint (Non-RA),0-8 Center,203593.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-03-17T22:12:40.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,0,1,2024-03-17T22:12:40Z,90000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2024-03-17T22:12:40.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,0,1,2024-03-17T22:12:58Z,100000,False,,,0,,MISS J. Tatum Free Throw 2 of 2,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M41.00S,2024-03-17T22:12:43.3Z,1,REGULAR,rebound,defensive,[],1626158,,,1610612764,0,1,2024-03-17T22:12:58Z,110000,False,,,0,,R. Holmes REBOUND (Off:0 Def:1),[1626158],1610612764.0,WAS,,,,Holmes,R. Holmes,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M30.00S,2024-03-17T22:13:08.7Z,1,REGULAR,3pt,Jump Shot,[],1630557,94.43166885676742,96.32352941176471,1610612764,0,1,2024-03-17T22:13:14Z,120000,False,232.0,0.0,1,right,MISS C. Kispert 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.16,,,,,,,,
13,PT11M26.00S,2024-03-17T22:13:12.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,1,2024-03-17T22:13:14Z,130000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M13.00S,2024-03-17T22:13:25.0Z,1,REGULAR,3pt,Jump Shot,[],201143,13.222733245729303,3.6764705882352944,1610612738,0,4,2024-03-17T22:13:29Z,140000,False,232.0,72.0,1,left,A. Horford 24' 3PT  (3 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,,24.25,J. Tatum,1628369.0,1.0,,,,,
16,PT10M59.00S,2024-03-17T22:13:38.6Z,1,REGULAR,3pt,Jump Shot,[],1630551,80.76544021024968,91.66666666666666,1610612764,0,4,2024-03-17T22:13:43Z,160000,False,208.0,128.0,1,right,MISS J. Champagnie 24' 3PT,[1630551],1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,,24.46,,,,,,,,
17,PT10M57.00S,2024-03-17T22:13:40.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,4,2024-03-17T22:13:43Z,170000,False,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,
18,PT10M53.00S,2024-03-17T22:13:45.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201950,26.231931668856767,11.27450980392157,1610612738,0,7,2024-03-17T22:15:55Z,180000,False,194.0,194.0,1,left,J. Holiday 27' 3PT running pullup (3 PTS) (J. Tatum 2 AST),"[201950, 1628369]",1610612738.0,BOS,running pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,,27.41,J. Tatum,1628369.0,2.0,,,,,
19,PT10M34.00S,2024-03-17T22:14:04.2Z,1,REGULAR,3pt,Jump Shot,[],1630551,93.64323258869908,97.30392156862744,1610612764,3,7,2024-03-17T22:14:08Z,190000,False,237.0,7.0,1,right,J. Champagnie 3PT  (3 PTS) (J. Poole 1 AST),"[1630551, 1629673]",1610612764.0,WAS,,,,Champagnie,J. Champagnie,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,,23.66,J. Poole,1629673.0,1.0,,,,,
21,PT10M23.00S,2024-03-17T22:14:16.9Z,1,REGULAR,foul,offensive,[],201143,,,1610612738,3,7,2024-03-17T22:14:29Z,210000,False,,,0,,A. Horford offensive FOUL (1 PF),"[201143, 1629673]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,203593.0,1.0,0.0,Poole,1629673.0,,,,,,,,,,,,,,,
23,PT10M23.00S,2024-03-17T22:14:16.9Z,1,REGULAR,turnover,offensive foul,[],201143,,,1610612738,3,7,2024-03-17T22:14:16Z,230000,False,,,0,,A. Horford offensive foul TURNOVER (1 TO),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,203593.0,,,,,,,,,,,,,,,1.0,,,,
24,PT10M11.00S,2024-03-17T22:14:41.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629673,86.02168199737189,36.27450980392157,1610612764,5,7,2024-03-17T22:14:47Z,240000,False,-69.0,79.0,1,right,J. Poole 10' driving floating Jump Shot (2 PTS),[1629673],1610612764.0,WAS,driving floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Left,,,,,,Made,2.0,,,,,10.46,,,,,,,,
25,PT09M50.00S,2024-03-17T22:15:02.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,10.5946123521682,5.147058823529411,1610612738,5,10,2024-03-17T22:15:07Z,250000,False,224.0,47.0,1,left,J. Tatum 3PT  (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Right Corner 3,24+ Right,,,,,,Made,4.0,,,,,22.92,,,,,,,,
26,PT09M39.00S,2024-03-17T22:15:13.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,70.77858081471747,15.441176470588236,1610612764,8,10,2024-03-17T22:16:45Z,260000,False,-173.0,222.0,1,right,J. Poole 28' 3PT step back (5 PTS),[1629673],1610612764.0,WAS,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,Made,5.0,,,,,28.15,,,,,,,,
