actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-30T00:12:29.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-30T00:12:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-30T00:12:33.1Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2023-12-30T00:12:33Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Gafford: Tip to S. Dinwiddie,"[203915, 1629651, 1629655]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-12-30T00:12:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,10.430354796320628,49.26470588235294,1610612751,0,0,2023-12-30T01:10:01Z,70000,False,4.0,46.0,1,left,MISS M. Bridges floating Shot,[1628969],1610612751.0,BKN,floating,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,4.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-12-30T00:12:48.4Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,0,2023-12-30T01:10:01Z,80000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2023-12-30T00:12:54.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629651,5.590000152587891,50.0,1610612751,0,2,2023-12-30T01:10:06Z,90000,False,0.0,0.0,1,left,N. Claxton tip Layup (2 PTS),[1629651],1610612751.0,BKN,tip,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M23.00S,2023-12-30T00:13:05.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,64.1754270696452,59.068627450980394,1610612764,3,2,2023-12-30T00:13:58Z,100000,False,45.0,284.0,1,right,K. Kuzma 28' 3PT step back (3 PTS),[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,28.79,Made,,,,,3.0,,,,,,,,,,,,,
12,PT11M09.00S,2023-12-30T00:13:18.5Z,1,REGULAR,3pt,Jump Shot,[],203915,30.404073587385014,72.54901960784314,1610612751,3,2,2023-12-30T00:15:42Z,120000,False,-113.0,233.0,1,left,MISS S. Dinwiddie 25' pullup 3PT,[203915],1610612751.0,BKN,pullup,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Left Center,25.91,Missed,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2023-12-30T00:13:21.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,3,2,2023-12-30T00:13:29Z,130000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M57.00S,2023-12-30T00:13:30.6Z,1,REGULAR,3pt,Jump Shot,[],1628398,66.93495400788436,27.941176470588232,1610612764,3,2,2023-12-30T00:13:37Z,140000,False,-110.0,258.0,1,right,MISS K. Kuzma 28' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,28.09,Missed,,,,,,,,,,,,,,,,,,
15,PT10M53.00S,2023-12-30T00:13:34.6Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,2,2023-12-30T00:13:37Z,150000,False,,,0,,N. Claxton REBOUND (Off:1 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,14.0,2.0,1.0,1.0,,,,,,,,,,,,,,
16,PT10M41.00S,2023-12-30T00:13:46.8Z,1,REGULAR,3pt,Jump Shot,[],1627827,33.42641261498029,42.64705882352941,1610612751,3,2,2023-12-30T00:13:54Z,160000,False,37.0,262.0,1,left,MISS D. Finney-Smith 26' pullup 3PT,[1627827],1610612751.0,BKN,pullup,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,26.43,Missed,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2023-12-30T00:13:49.8Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,3,2,2023-12-30T00:13:54Z,170000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M20.00S,2023-12-30T00:14:08.0Z,1,REGULAR,3pt,Jump Shot,[],1629673,80.20696452036793,6.862745098039213,1610612764,3,2,2023-12-30T00:17:26Z,180000,False,-216.0,134.0,1,right,MISS J. Poole 25' pullup 3PT,[1629673],1610612764.0,WAS,pullup,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,25.37,Missed,,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2023-12-30T00:14:12.0Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,2,2023-12-30T00:14:14Z,190000,False,,,0,,N. Claxton REBOUND (Off:1 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,18.0,3.0,2.0,1.0,,,,,,,,,,,,,,
20,PT10M12.00S,2023-12-30T00:14:15.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,30.404073587385014,80.63725490196079,1610612751,3,2,2023-12-30T00:17:59Z,200000,False,-153.0,233.0,1,left,MISS C. Johnson 27' running 3PT,[1629661],1610612751.0,BKN,running,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,27.91,Missed,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2023-12-30T00:14:17.7Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,3,2,2023-12-30T00:14:23Z,210000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Left Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M04.00S,2023-12-30T00:14:25.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,89.01116951379764,43.38235294117647,1610612764,3,2,2023-12-30T00:18:54Z,220000,False,-33.0,51.0,1,right,MISS D. Avdija 6' driving Layup,[1630166],1610612764.0,WAS,driving,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,,,,,,,,,,,,,,,,,,
23,PT10M00.00S,2023-12-30T00:14:29.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,3,2,2023-12-30T00:14:31Z,230000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT09M46.00S,2023-12-30T00:14:42.3Z,1,REGULAR,3pt,Jump Shot,[],1628969,32.24375821287779,30.392156862745097,1610612751,3,2,2023-12-30T00:14:48Z,240000,False,98.0,251.0,1,left,MISS M. Bridges 26' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,26.91,Missed,,,,,,,,,,,,,,,,,,
