actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-16T00:11:24.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-16T00:11:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-16T00:11:30.1Z,1,REGULAR,jumpball,recovered,[],0,,,1610612764,0,0,2023-11-16T00:11:30Z,40000,False,,,0,,Jump Ball D. Gafford vs. D. Lively II: Tip to Team (WAS),"[1629655, 1641726]",1610612764.0,WAS,startperiod,Team (WAS),Gafford,1629655.0,Lively II,1641726.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2023-11-16T00:11:50.6Z,1,REGULAR,2pt,Jump Shot,[],1629673,77.87450722733246,50.73529411764706,1610612764,0,0,2023-11-16T00:11:55Z,80000,False,4.0,155.0,1,right,MISS J. Poole 15' floating Shot,[1629673],1610612764.0,WAS,floating,,,,,,Mid-Range,8-16 Center,15.55,Missed,Poole,J. Poole,,,,,,,,,,,,,,,,,,
9,PT11M46.00S,2023-11-16T00:11:52.6Z,1,REGULAR,rebound,defensive,[],1641726,,,1610612742,0,0,2023-11-16T00:11:55Z,90000,False,,,0,,D. Lively II REBOUND (Off:0 Def:1),[1641726],1610612742.0,DAL,,,,,,,Mid-Range,8-16 Center,,,Lively II,D. Lively II,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M36.00S,2023-11-16T00:12:06.2Z,1,REGULAR,foul,personal,[],1629673,,,1610612742,0,0,2023-11-16T00:12:17Z,100000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1627884]",1610612764.0,WAS,,,,,,,In The Paint (Non-RA),0-8 Center,,,Poole,J. Poole,,,,,1662.0,1.0,0.0,Jones Jr.,1627884.0,,,,,,,,,
12,PT11M22.00S,2023-11-16T00:12:36.5Z,1,REGULAR,3pt,Jump Shot,[],1629029,35.167542706964525,22.54901960784314,1610612742,0,0,2023-11-16T00:12:41Z,120000,False,137.0,278.0,1,left,MISS L. Doncic 31' pullup 3PT,[1629029],1610612742.0,DAL,pullup,,,,,,Above the Break 3,24+ Right Center,31.01,Missed,Doncic,L. Doncic,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2023-11-16T00:12:38.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2023-11-16T00:12:41Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,Above the Break 3,24+ Right Center,,,,,12.0,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2023-11-16T00:12:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626145,92.9862023653088,64.4607843137255,1610612764,2,0,2023-11-16T00:13:00Z,150000,False,72.0,13.0,1,right,T. Jones 7' driving floating bank Jump Shot (2 PTS),[1626145],1610612764.0,WAS,driving floating bank,,,,,,In The Paint (Non-RA),0-8 Center,7.35,Made,Jones,T. Jones,,,,,,,,,,2.0,,,,,,,,
16,PT10M51.00S,2023-11-16T00:13:14.2Z,1,REGULAR,3pt,Jump Shot,[],1627884,4.812746386333772,5.88235294117647,1610612742,2,3,2023-11-16T00:13:18Z,160000,False,221.0,-7.0,1,left,D. Jones Jr. 3PT  (3 PTS) (L. Doncic 1 AST),"[1627884, 1629029]",1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,22.07,Made,Jones Jr.,D. Jones Jr.,,,,,,,,,,3.0,L. Doncic,1629029.0,1.0,,,,,
18,PT10M43.00S,2023-11-16T00:13:24.9Z,1,REGULAR,foul,personal,['2freethrow'],1641726,,,1610612764,2,3,2023-11-16T00:13:33Z,180000,False,,,0,,D. Lively II shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1641726, 1628398]",1610612742.0,DAL,shooting,,,,,,Restricted Area,0-8 Center,,,Lively II,D. Lively II,,,,,1199.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,
20,PT10M43.00S,2023-11-16T00:13:57.1Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612764,3,3,2023-11-16T00:13:57Z,200000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612764.0,WAS,,,,,,,,,,Made,Kuzma,K. Kuzma,,,,,,,,,,1.0,,,,,,,,
21,PT10M43.00S,2023-11-16T00:14:16.7Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612764,4,3,2023-11-16T00:14:16Z,210000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612764.0,WAS,,,,,,,,,,Made,Kuzma,K. Kuzma,,,,,,,,,,2.0,,,,,,,,
22,PT10M30.00S,2023-11-16T00:14:27.4Z,1,REGULAR,3pt,Jump Shot,[],1629684,4.944152431011826,5.88235294117647,1610612742,4,3,2023-11-16T00:14:32Z,220000,False,221.0,-6.0,1,left,MISS G. Williams 3PT,[1629684],1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,22.07,Missed,Williams,G. Williams,,,,,,,,,,,,,,,,,,
23,PT10M28.00S,2023-11-16T00:14:29.4Z,1,REGULAR,rebound,offensive,[],1629684,,,1610612742,4,3,2023-11-16T00:14:32Z,230000,False,,,0,,G. Williams REBOUND (Off:1 Def:0),[1629684],1610612742.0,DAL,,,,,,,Right Corner 3,24+ Right,,,Williams,G. Williams,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M27.00S,2023-11-16T00:14:30.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1629684,6.389618922470433,47.05882352941176,1610612742,4,5,2023-11-16T00:14:35Z,240000,False,15.0,8.0,1,left,G. Williams DUNK (2 PTS),[1629684],1610612742.0,DAL,,,,,,,Restricted Area,0-8 Center,1.65,Made,Williams,G. Williams,,,,,,,,,,2.0,,,,,,,,
25,PT10M18.00S,2023-11-16T00:14:39.1Z,1,REGULAR,2pt,Jump Shot,[],1626145,86.67871222076215,30.392156862745097,1610612764,6,5,2023-11-16T00:14:43Z,250000,False,-98.0,73.0,1,right,T. Jones 12' driving floating bank Jump Shot (4 PTS),[1626145],1610612764.0,WAS,driving floating bank,,,,,,Mid-Range,8-16 Left,12.2,Made,Jones,T. Jones,,,,,,,,,,4.0,,,,,,,,
26,PT10M04.00S,2023-11-16T00:14:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629029,14.273981603153747,46.07843137254902,1610612742,6,7,2023-11-16T00:14:59Z,260000,False,20.0,82.0,1,left,L. Doncic 8' driving floating Jump Shot (2 PTS),[1629029],1610612742.0,DAL,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,8.4,Made,Doncic,L. Doncic,,,,,,,,,,2.0,,,,,,,,
27,PT09M48.00S,2023-11-16T00:15:08.8Z,1,REGULAR,3pt,Jump Shot,[],1630166,82.07950065703022,95.83333333333334,1610612764,9,7,2023-11-16T00:15:13Z,270000,False,229.0,116.0,1,right,D. Avdija 25' 3PT pullup (3 PTS) (K. Kuzma 1 AST),"[1630166, 1628398]",1610612764.0,WAS,pullup,,,,,,Above the Break 3,24+ Right Center,25.69,Made,Avdija,D. Avdija,,,,,,,,,,3.0,K. Kuzma,1628398.0,1.0,,,,,
29,PT09M38.00S,2023-11-16T00:15:19.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,29.25427069645204,81.37254901960785,1610612742,9,10,2023-11-16T00:15:23Z,290000,False,-157.0,222.0,1,left,L. Doncic 27' 3PT  (5 PTS) (G. Williams 1 AST),"[1629029, 1629684]",1610612742.0,DAL,,,,,,,Above the Break 3,24+ Left Center,27.23,Made,Doncic,L. Doncic,,,,,,,,,,5.0,G. Williams,1629684.0,1.0,,,,,
31,PT09M16.00S,2023-11-16T00:15:41.1Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612764,9,10,2023-11-16T00:15:44Z,310000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1641726]",1610612764.0,WAS,,,,,,,In The Paint (Non-RA),8-16 Center,,,Poole,J. Poole,,,,,,,,,,,,,,1.0,Lively II,1641726.0,,
32,PT09M16.00S,2023-11-16T00:15:41.1Z,1,REGULAR,steal,,[],1641726,,,1610612742,9,10,2023-11-16T00:15:43Z,320000,False,,,0,,D. Lively II STEAL (1 STL),[1641726],1610612742.0,DAL,,,,,,,In The Paint (Non-RA),8-16 Center,,,Lively II,D. Lively II,,,,,,,,,,,,,,,,,,
