actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-10-28T23:17:03.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-10-28T23:17:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-10-28T23:17:06.4Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612763,0,0,2023-10-28T23:17:06Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Gafford: Tip to M. Smart,"[203935, 1628991, 1629655]",1610612763.0,MEM,startperiod,M. Smart,203935.0,Smart,M. Smart,Jackson Jr.,1628991.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2023-10-28T23:17:13.2Z,1,REGULAR,turnover,bad pass,[],1630533,,,1610612763,0,0,2023-10-28T23:17:19Z,70000,False,,,0,,Z. Williams bad pass TURNOVER (1 TO),"[1630533, 1629673]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Mid-Range,16-24 Right Center,1.0,Poole,1629673.0,,,,,,,,,,,,,,,,,
8,PT11M50.00S,2023-10-28T23:17:13.2Z,1,REGULAR,steal,,[],1629673,,,1610612764,0,0,2023-10-28T23:17:16Z,80000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M45.00S,2023-10-28T23:17:17.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628398,25.04927726675427,10.049019607843137,1610612764,0,0,2023-10-28T23:17:23Z,90000,False,200.0,183.0,1,left,MISS K. Kuzma 27' 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Right Center,,,,27.09,Missed,,,,,,,,,,,,,,,
10,PT11M40.00S,2023-10-28T23:17:22.9Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,0,0,2023-10-28T23:17:23Z,100000,False,,,0,,Z. Williams REBOUND (Off:0 Def:1),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M31.00S,2023-10-28T23:17:31.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,91.5407358738502,60.29411764705882,1610612763,0,0,2023-10-28T23:17:36Z,110000,False,51.0,27.0,1,right,MISS D. Bane driving Layup,[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,5.81,Missed,,,,,,,,,,,,,,,
12,PT11M28.00S,2023-10-28T23:17:34.5Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2023-10-28T23:17:36Z,120000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M21.00S,2023-10-28T23:17:41.6Z,1,REGULAR,3pt,Jump Shot,[],1629673,34.90473061760841,62.5,1610612764,0,0,2023-10-28T23:17:47Z,130000,False,-62.0,276.0,1,left,MISS J. Poole 28' 3PT,[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,,,,28.26,Missed,,,,,,,,,,,,,,,
14,PT11M17.00S,2023-10-28T23:17:45.6Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,0,0,2023-10-28T23:17:47Z,140000,False,,,0,,Z. Williams REBOUND (Off:0 Def:2),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Center,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,
15,PT11M03.00S,2023-10-28T23:18:00.4Z,1,REGULAR,2pt,Jump Shot,[],1630217,90.3580814717477,87.00980392156863,1610612763,0,0,2023-10-28T23:18:10Z,150000,False,185.0,38.0,1,right,MISS D. Bane 18' pullup Shot,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right,,,,18.89,Missed,,,,,,,,,,,,,,,
16,PT10M58.00S,2023-10-28T23:18:05.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2023-10-28T23:18:10Z,160000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Right,,,,,,15.0,2.0,2.0,0.0,,,,,,,,,,,
17,PT10M47.00S,2023-10-28T23:18:15.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,20.18725361366623,53.67647058823529,1610612764,0,0,2023-10-28T23:18:22Z,170000,False,-18.0,137.0,1,left,MISS J. Poole 13' floating Shot,[1629673],1610612764.0,WAS,floating,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,13.85,Missed,,,,,,,,,,,,,,,
18,PT10M42.00S,2023-10-28T23:18:21.7Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,0,2023-10-28T23:18:21Z,180000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Center,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,
19,PT10M42.00S,2023-10-28T23:18:21.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629655,5.590000152587891,50.0,1610612764,0,0,2023-10-28T23:18:21Z,190000,False,0.0,0.0,1,left,MISS D. Gafford tip Layup,[1629655],1610612764.0,WAS,tip,,,Gafford,D. Gafford,,,,,Mid-Range,8-16 Left,,,,0.0,Missed,,,,,,,,,,,,,,,
20,PT10M41.00S,2023-10-28T23:18:22.5Z,1,REGULAR,rebound,offensive,[],1626145,,,1610612764,0,0,2023-10-28T23:18:22Z,200000,False,,,0,,T. Jones REBOUND (Off:1 Def:0),[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,,,,,,19.0,1.0,0.0,1.0,,,,,,,,,,,
21,PT10M38.00S,2023-10-28T23:18:25.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628398,32.670827858081466,71.07843137254902,1610612764,0,0,2023-10-28T23:18:30Z,210000,False,-105.0,255.0,1,left,MISS K. Kuzma 27' step back 3PT,[1628398],1610612764.0,WAS,step back,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Left Center,,,,27.56,Missed,,,,,,,,,,,,,,,
22,PT10M34.00S,2023-10-28T23:18:29.2Z,1,REGULAR,rebound,defensive,[],1630533,,,1610612763,0,0,2023-10-28T23:18:30Z,220000,False,,,0,,Z. Williams REBOUND (Off:0 Def:3),[1630533],1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,21.0,3.0,3.0,0.0,,,,,,,,,,,
23,PT10M26.00S,2023-10-28T23:18:39.8Z,1,REGULAR,turnover,out-of-bounds,[],1628991,,,1610612763,0,0,2023-10-28T23:18:49Z,230000,False,,,0,,J. Jackson Jr. step out-of-bounds TURNOVER (1 TO),[1628991],1610612763.0,MEM,step,,,Jackson Jr.,J. Jackson Jr.,,,,,Right Corner 3,24+ Right,1.0,,,,,,,,,1626302.0,,,,,,,,,,
24,PT10M12.00S,2023-10-28T23:19:05.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628398,7.703679369250986,39.950980392156865,1610612764,0,0,2023-10-28T23:19:09Z,240000,False,50.0,20.0,1,left,MISS K. Kuzma floating Shot,[1628398],1610612764.0,WAS,floating,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,,,,5.4,Missed,,,,,,,,,,,,,,,
25,PT10M09.00S,2023-10-28T23:19:08.6Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,0,0,2023-10-28T23:19:09Z,250000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,
26,PT10M06.00S,2023-10-28T23:19:10.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630533,83.919185282523,4.411764705882353,1610612763,0,3,2023-10-28T23:19:16Z,260000,False,-228.0,99.0,1,right,Z. Williams 24' 3PT  (3 PTS) (D. Bane 1 AST),"[1630533, 1630217]",1610612763.0,MEM,,,,Williams,Z. Williams,,,,,Above the Break 3,24+ Left Center,,,,24.84,Made,,,,,,3.0,D. Bane,1630217.0,1.0,,,,,,
28,PT09M49.00S,2023-10-28T23:19:27.6Z,1,REGULAR,3pt,Jump Shot,[],1626145,27.020367936925098,15.686274509803921,1610612764,0,3,2023-10-28T23:19:32Z,280000,False,172.0,201.0,1,left,MISS T. Jones 26' 3PT,[1626145],1610612764.0,WAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,26.47,Missed,,,,,,,,,,,,,,,
