actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-08T00:10:33.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-08T00:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-08T00:10:35.6Z,1,REGULAR,jumpball,recovered,[],1630596,,,1610612739,0,0,2024-02-08T00:10:35Z,40000,False,,,0,,Jump Ball J. Allen vs. D. Gafford: Tip to E. Mobley,"[1630596, 1628386, 1629655]",1610612739.0,CLE,startperiod,E. Mobley,1630596.0,Mobley,E. Mobley,Allen,1628386.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-02-08T00:11:10.2Z,1,REGULAR,3pt,Jump Shot,[],1628386,92.16491458607096,2.941176470588232,1610612739,0,0,2024-02-08T00:11:15Z,80000,False,-235.0,21.0,1,right,MISS J. Allen 3PT,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,23.62,Missed,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-02-08T00:11:14.2Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,0,0,2024-02-08T00:11:15Z,90000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Left Corner 3,24+ Left,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M30.00S,2024-02-08T00:11:17.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626145,14.109724047306173,96.56862745098039,1610612764,0,0,2024-02-08T00:11:45Z,100000,False,-233.0,80.0,1,left,MISS T. Jones 24' running 3PT,[1626145],1610612764.0,WAS,running,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,24.62,Missed,,,,,,,,,,,,,,,,,,
11,PT11M25.00S,2024-02-08T00:11:22.2Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,0,2024-02-08T00:11:22Z,110000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Left Corner 3,24+ Left,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M20.00S,2024-02-08T00:11:27.1Z,1,REGULAR,turnover,lost ball,[],1630166,,,1610612764,0,0,2024-02-08T00:17:36Z,120000,False,,,0,,D. Avdija lost ball TURNOVER (1 TO),"[1630166, 1628378]",1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Mitchell,1628378.0,,,,,,,,,,,
13,PT11M20.00S,2024-02-08T00:11:27.1Z,1,REGULAR,steal,,[],1628378,,,1610612739,0,0,2024-02-08T00:11:30Z,130000,False,,,0,,D. Mitchell STEAL (1 STL),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2024-02-08T00:11:32.9Z,1,REGULAR,turnover,out-of-bounds,[],1628378,,,1610612739,0,0,2024-02-08T00:11:41Z,140000,False,,,0,,D. Mitchell bad pass out-of-bounds TURNOVER (1 TO),[1628378],1610612739.0,CLE,bad pass,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,,,201245.0,,,,,,,,,,
15,PT11M04.00S,2024-02-08T00:11:52.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628398,24.6222076215506,69.6078431372549,1610612764,2,0,2024-02-08T00:11:58Z,150000,False,-98.0,179.0,1,left,K. Kuzma 20' turnaround Jump Shot (2 PTS) (D. Avdija 1 AST),"[1628398, 1630166]",1610612764.0,WAS,turnaround,,,Kuzma,K. Kuzma,,,,,Mid-Range,16-24 Left Center,20.4,Made,,,,,,,,,2.0,D. Avdija,1630166.0,1.0,,,,,,
