actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-04T20:42:19.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-04T20:42:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-04T20:42:21.7Z,1,REGULAR,jumpball,recovered,[],203078,,,1610612756,0,0,2024-02-04T20:42:21Z,40000,False,,,0,,Jump Ball J. Nurkic vs. D. Gafford: Tip to B. Beal,"[203078, 203994, 1629655]",1610612756.0,PHX,startperiod,B. Beal,203078.0,Beal,B. Beal,Nurkic,203994.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-02-04T20:42:33.2Z,1,REGULAR,foul,personal,['2freethrow'],1629655,,,1610612756,0,0,2024-02-04T20:42:41Z,70000,False,,,0,,D. Gafford shooting personal FOUL (1 PF) (Nurkic 2 FT),"[1629655, 203994]",1610612764.0,WAS,shooting,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),0-8 Center,1626301.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2024-02-04T20:42:57.1Z,1,REGULAR,freethrow,1 of 2,[],203994,,,1610612756,0,1,2024-02-04T20:42:57Z,90000,False,,,0,,J. Nurkic Free Throw 1 of 2 (1 PTS),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2024-02-04T20:43:11.2Z,1,REGULAR,freethrow,2 of 2,[],203994,,,1610612756,0,2,2024-02-04T20:43:11Z,100000,False,,,0,,J. Nurkic Free Throw 2 of 2 (2 PTS),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M27.00S,2024-02-04T20:43:32.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,94.82588699080158,50.98039215686274,1610612764,2,2,2024-02-04T20:43:36Z,110000,False,5.0,-4.0,1,right,D. Gafford driving Layup (2 PTS) (T. Jones 1 AST),"[1629655, 1626145]",1610612764.0,WAS,driving,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,0.63,T. Jones,1626145.0,1.0,,,,,,,,,
13,PT11M13.00S,2024-02-04T20:43:46.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203994,8.492115637319317,53.18627450980392,1610612756,2,4,2024-02-04T20:43:52Z,130000,False,-16.0,27.0,1,left,J. Nurkic Hook (4 PTS) (B. Beal 1 AST),"[203994, 203078]",1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,3.16,B. Beal,203078.0,1.0,,,,,,,,,
15,PT11M04.00S,2024-02-04T20:43:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629673,94.69448094612353,55.88235294117647,1610612764,2,4,2024-02-04T20:44:00Z,150000,False,29.0,-3.0,1,right,MISS J. Poole driving floating bank Shot,[1629673],1610612764.0,WAS,driving floating bank,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.95,,,,,,,,,,,,
16,PT11M00.00S,2024-02-04T20:44:00.1Z,1,REGULAR,rebound,defensive,[],201142,,,1610612756,2,4,2024-02-04T20:44:00Z,160000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612756.0,PHX,,,,Durant,K. Durant,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M52.00S,2024-02-04T20:44:07.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,22.421156373193167,37.745098039215684,1610612756,2,6,2024-02-04T20:44:11Z,170000,False,61.0,158.0,1,left,D. Booker 16' pullup Jump Shot (2 PTS),[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,16-24 Right Center,,,,,,Made,2.0,16.98,,,,,,,,,,,,
18,PT10M34.00S,2024-02-04T20:44:26.0Z,1,REGULAR,2pt,Jump Shot,[],1626145,90.75229960578186,70.58823529411765,1610612764,2,6,2024-02-04T20:44:29Z,180000,False,103.0,34.0,1,right,MISS T. Jones 10' driving floating Shot,[1626145],1610612764.0,WAS,driving floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,Missed,,10.85,,,,,,,,,,,,
19,PT10M32.00S,2024-02-04T20:44:28.0Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612756,2,6,2024-02-04T20:44:29Z,190000,False,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612756.0,PHX,,,,Allen,G. Allen,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,
