actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-15T20:12:57.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-15T20:12:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-15T20:12:59.7Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2024-01-15T20:12:59Z,40000,False,,,0,,Jump Ball D. Gafford vs. J. Duren: Tip to J. Poole,"[1629673, 1629655, 1631105]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Gafford,1629655.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-01-15T20:13:15.3Z,1,REGULAR,foul,personal,['2freethrow'],1630165,,,1610612764,0,0,2024-01-15T20:13:22Z,70000,False,,,0,,K. Hayes shooting personal FOUL (1 PF) (Avdija 2 FT),"[1630165, 1630166]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,In The Paint (Non-RA),0-8 Center,201246.0,1.0,0.0,Avdija,1630166.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-01-15T20:13:33.4Z,1,REGULAR,freethrow,1 of 2,[],1630166,,,1610612764,1,0,2024-01-15T20:13:49Z,90000,False,,,0,,D. Avdija Free Throw 1 of 2 (1 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2024-01-15T20:13:33.4Z,1,REGULAR,freethrow,2 of 2,[],1630166,,,1610612764,1,0,2024-01-15T20:13:49Z,100000,False,,,0,,MISS D. Avdija Free Throw 2 of 2,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M42.00S,2024-01-15T20:13:35.4Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,1,0,2024-01-15T20:13:49Z,110000,False,,,0,,J. Duren REBOUND (Off:0 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M29.00S,2024-01-15T20:14:01.9Z,1,REGULAR,foul,offensive,[],1630191,,,1610612765,1,0,2024-01-15T20:14:08Z,120000,False,,,0,,I. Stewart charge offensive FOUL (1 PF),"[1630191, 1628398]",1610612765.0,DET,charge,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Right,201246.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
14,PT11M29.00S,2024-01-15T20:14:01.9Z,1,REGULAR,turnover,offensive foul,[],1630191,,,1610612765,1,0,2024-01-15T20:14:01Z,140000,False,,,0,,I. Stewart offensive foul TURNOVER (1 TO),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Mid-Range,8-16 Right,201246.0,,,,,,,,,,,1.0,,,,,,,,
15,PT11M11.00S,2024-01-15T20:14:32.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1630166,85.06898817345598,52.69607843137255,1610612764,3,0,2024-01-15T20:14:39Z,150000,False,13.0,88.0,1,right,D. Avdija 8' Hook (3 PTS),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Made,3.0,,,,,,8.89,,,,,,,
16,PT10M57.00S,2024-01-15T20:14:46.5Z,1,REGULAR,3pt,Jump Shot,[],1630191,28.038764783180028,82.1078431372549,1610612765,3,0,2024-01-15T20:14:51Z,160000,False,-161.0,211.0,1,left,MISS I. Stewart 26' 3PT,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,,26.52,,,,,,,
17,PT10M54.00S,2024-01-15T20:14:49.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,3,0,2024-01-15T20:14:51Z,170000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,
18,PT10M46.00S,2024-01-15T20:14:58.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,94.26741130091985,95.09803921568627,1610612764,3,0,2024-01-15T20:15:03Z,180000,False,225.0,1.0,1,right,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,,22.55,,,,,,,
