actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-01-01T23:41:46.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-01T23:41:46Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-01T23:41:50.5Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612740,0,0,2022-01-01T23:41:50Z,40000,,,0,,Jump Ball W. Hernangomez vs. B. Portis: Tip to J. Hart,"[1628404, 1626195, 1626171]",1610612740.0,NOP,startperiod,J. Hart,1628404.0,Hart,J. Hart,Hernangomez,1626195.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-01T23:42:01.8Z,1,REGULAR,3pt,Jump Shot,[],202066,8.623521681997373,96.32352941176471,1610612740,0,0,2022-01-01T23:42:09Z,70000,-232.0,29.0,1,left,MISS G. Temple 3PT,[202066],1610612740.0,NOP,,,,Temple,G. Temple,,,,,23.34,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-01-01T23:42:04.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-01-01T23:42:09Z,80000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M37.00S,2022-01-01T23:42:08.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626192,95.22010512483574,95.83333333333334,1610612749,0,0,2022-01-01T23:42:14Z,90000,229.0,-8.0,1,right,MISS P. Connaughton running 3PT,[1626192],1610612749.0,MIL,running,,,Connaughton,P. Connaughton,,,,,22.93,Missed,,,,,,,,,,,,,,,,,,
10,PT11M31.00S,2022-01-01T23:42:14.2Z,1,REGULAR,rebound,defensive,[],1628984,,,1610612740,0,0,2022-01-01T23:42:14Z,100000,,,0,,D. Graham REBOUND (Off:0 Def:1),[1628984],1610612740.0,NOP,,,,Graham,D. Graham,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M28.00S,2022-01-01T23:42:17.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628984,33.98488830486202,47.30392156862745,1610612740,0,0,2022-01-01T23:42:23Z,110000,13.0,267.0,1,left,MISS D. Graham 26' running pullup 3PT,[1628984],1610612740.0,NOP,running pullup,,,Graham,D. Graham,,,,,26.73,Missed,,,,,,,,,,,,,,,,,,
12,PT11M25.00S,2022-01-01T23:42:19.9Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-01-01T23:42:19Z,120000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M20.00S,2022-01-01T23:42:24.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,88.91261498028909,54.65686274509803,1610612749,0,0,2022-01-01T23:43:05Z,130000,23.0,52.0,1,right,MISS G. Antetokounmpo driving floating Shot,[203507],1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,5.67,Missed,,,,,,,,,,,,,,,,,,
14,PT11M18.00S,2022-01-01T23:42:26.9Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,0,0,2022-01-01T23:42:31Z,140000,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M15.00S,2022-01-01T23:42:32.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630529,8.492115637319317,50.245098039215684,1610612740,0,0,2022-01-01T23:50:37Z,150000,-1.0,27.0,1,left,MISS H. Jones running Layup,[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,2.73,Missed,,,,,,,,,,,,,,,,,,
16,PT11M14.00S,2022-01-01T23:42:33.9Z,1,REGULAR,rebound,offensive,[],1626195,,,1610612740,0,0,2022-01-01T23:50:37Z,160000,,,0,,W. Hernangomez REBOUND (Off:1 Def:0),[1626195],1610612740.0,NOP,,,,Hernangomez,W. Hernangomez,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,
73,PT11M12.00S,2022-01-01T23:42:42.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', '2ndchance']",1626195,9.116294349540084,48.529411764705884,1610612740,0,0,2022-01-01T23:50:05Z,165000,7.0,33.0,1,left,MISS W. Hernangomez tip Layup,[1626195],1610612740.0,NOP,tip,,,Hernangomez,W. Hernangomez,,,,,3.4,Missed,,,,,,,,,,,,,,,,,,
74,PT11M11.00S,2022-01-01T23:42:43.6Z,1,REGULAR,rebound,defensive,[],1628960,,,1610612749,0,0,2022-01-01T23:50:05Z,167500,,,0,,G. Allen REBOUND (Off:0 Def:1),[1628960],1610612749.0,MIL,,,,Allen,G. Allen,,,,,,,73.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M52.00S,2022-01-01T23:42:52.3Z,1,REGULAR,3pt,Jump Shot,[],1628960,68.15045992115637,67.15686274509804,1610612749,0,0,2022-01-01T23:45:43Z,170000,86.0,247.0,1,right,MISS G. Allen 26' pullup 3PT,[1628960],1610612749.0,MIL,pullup,,,Allen,G. Allen,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,
18,PT10M50.00S,2022-01-01T23:42:54.3Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612740,0,0,2022-01-01T23:42:58Z,180000,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT10M48.00S,2022-01-01T23:42:56.7Z,1,REGULAR,turnover,bad pass,[],1628404,,,1610612740,0,0,2022-01-01T23:43:02Z,190000,,,0,,J. Hart bad pass TURNOVER (1 TO),"[1628404, 201950]",1610612740.0,NOP,,,,Hart,J. Hart,,,,,,,,,,,1.0,Holiday,201950.0,,,,,,,,,,,
20,PT10M48.00S,2022-01-01T23:42:56.7Z,1,REGULAR,steal,,[],201950,,,1610612749,0,0,2022-01-01T23:42:59Z,200000,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2022-01-01T23:43:03.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1628960,81.8166885676741,5.392156862745098,1610612749,3,0,2022-01-01T23:46:10Z,210000,-223.0,118.0,1,right,G. Allen 25' 3PT running (3 PTS) (P. Connaughton 1 AST),"[1628960, 1626192]",1610612749.0,MIL,running,,,Allen,G. Allen,,,,,25.25,Made,,,,,,,,3.0,P. Connaughton,1626192.0,1.0,,,,,,,
23,PT10M19.00S,2022-01-01T23:43:25.9Z,1,REGULAR,3pt,Jump Shot,[],1628404,26.62614980289093,81.37254901960785,1610612740,3,0,2022-01-01T23:43:35Z,230000,-157.0,198.0,1,left,MISS J. Hart 25' 3PT,[1628404],1610612740.0,NOP,,,,Hart,J. Hart,,,,,25.25,Missed,,,,,,,,,,,,,,,,,,
24,PT10M16.00S,2022-01-01T23:43:28.9Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,3,0,2022-01-01T23:43:35Z,240000,,,0,,B. Portis REBOUND (Off:0 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M11.00S,2022-01-01T23:43:35.0Z,1,REGULAR,turnover,bad pass,[],1626192,,,1610612749,3,0,2022-01-01T23:43:40Z,250000,,,0,,P. Connaughton bad pass TURNOVER (1 TO),"[1626192, 1630529]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,1.0,Jones,1630529.0,,,,,,,,,,,
