actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-06T20:45:45.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-06T20:45:45Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-03-06T20:45:50.2Z,1,REGULAR,jumpball,recovered,[],203109,,,1610612756,0,0,2022-03-06T20:45:50Z,40000,,,0,,Jump Ball D. Ayton vs. B. Portis: Tip to J. Crowder,"[203109, 1629028, 1626171]",1610612756.0,PHX,startperiod,J. Crowder,203109.0,Crowder,J. Crowder,Ayton,1629028.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
50,PT11M47.00S,2022-03-06T20:46:00.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629028,5.042706964520377,52.94117647058824,1610612756,0,0,2022-03-06T20:52:06Z,75000,-15.0,-5.0,1,left,MISS D. Ayton alley-oop Layup,[1629028],1610612756.0,PHX,alley-oop,,,Ayton,D. Ayton,,,,,1.56,Missed,,,,,,,,,,,,,,,,,,,
51,PT11M46.00S,2022-03-06T20:46:01.6Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-03-06T20:52:06Z,82500,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-03-06T20:46:11.1Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,0,2022-03-06T20:46:22Z,90000,,,0,,G. Antetokounmpo bad pass out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,bad pass,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,2530.0,1.0,,,,,,,,,,,,,
10,PT11M21.00S,2022-03-06T20:46:33.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203109,31.09395532194481,72.54901960784314,1610612756,0,3,2022-03-06T20:46:38Z,100000,-113.0,240.0,1,left,J. Crowder 26' 3PT step back (3 PTS),[203109],1610612756.0,PHX,step back,,,Crowder,J. Crowder,,,,,26.5,Made,,,,,,,3.0,,,,,,,,,,,,
11,PT11M04.00S,2022-03-06T20:46:49.7Z,1,REGULAR,3pt,Jump Shot,[],201950,69.85873850197109,73.52941176470588,1610612749,3,3,2022-03-06T20:46:54Z,110000,118.0,231.0,1,right,J. Holiday 25' 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[201950, 203507]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,25.9,Made,,,,,,,3.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,
13,PT10M47.00S,2022-03-06T20:47:06.6Z,1,REGULAR,3pt,Jump Shot,[],1629028,33.590670170827856,51.225490196078425,1610612756,3,6,2022-03-06T20:47:10Z,130000,-6.0,263.0,1,left,D. Ayton 26' 3PT  (3 PTS) (J. Crowder 1 AST),"[1629028, 203109]",1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,26.34,Made,,,,,,,3.0,J. Crowder,203109.0,1.0,,,,,,,,,
15,PT10M29.00S,2022-03-06T20:47:24.9Z,1,REGULAR,3pt,Jump Shot,[],201950,68.15045992115637,61.76470588235294,1610612749,3,6,2022-03-06T20:47:32Z,150000,59.0,247.0,1,right,MISS J. Holiday 25' 3PT,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,25.38,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M29.00S,2022-03-06T20:47:24.9Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,3,6,2022-03-06T20:47:32Z,160000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
