actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-16T01:10:40.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-16T01:10:40Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-16T01:10:43.6Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-02-16T01:10:43Z,40000,,,0,,Jump Ball B. Portis vs. G. Bitadze: Tip to G. Antetokounmpo,"[203507, 1626171, 1629048]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Portis,1626171.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-02-16T01:10:50.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,8.492115637319317,49.50980392156863,1610612749,2,0,2022-02-16T01:10:57Z,70000,2.0,27.0,1,left,K. Middleton cutting Layup (2 PTS) (J. Holiday 1 AST),"[203114, 201950]",1610612749.0,MIL,cutting,,,Middleton,K. Middleton,,,,,2.74,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2022-02-16T01:11:12.4Z,1,REGULAR,3pt,Jump Shot,[],1630188,68.54467805519053,76.47058823529412,1610612754,2,3,2022-02-16T01:11:20Z,90000,132.0,243.0,1,right,J. Smith 27' 3PT  (3 PTS) (O. Brissett 1 AST),"[1630188, 1629052]",1610612754.0,IND,,,,Smith,J. Smith,,,,,27.69,Made,3.0,O. Brissett,1629052.0,1.0,,,,,,,,,,,,,,,
11,PT11M18.00S,2022-02-16T01:11:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203114,6.915243101182654,50.0,1610612749,4,3,2022-02-16T01:11:35Z,110000,0.0,13.0,1,left,K. Middleton driving Layup (4 PTS),[203114],1610612749.0,MIL,driving,,,Middleton,K. Middleton,,,,,1.25,Made,4.0,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2022-02-16T01:11:34.5Z,1,REGULAR,foul,personal,['2freethrow'],1628960,,,1610612754,4,3,2022-02-16T01:11:56Z,120000,,,0,,G. Allen shooting personal FOUL (1 PF) (Bitadze 2 FT),"[1628960, 1629048]",1610612749.0,MIL,shooting,,,Allen,G. Allen,,,,,,,,,,,200832.0,1.0,0.0,Bitadze,1629048.0,,,,,,,,,,
14,PT11M09.00S,2022-02-16T01:11:57.8Z,1,REGULAR,freethrow,1 of 2,[],1629048,,,1610612754,4,4,2022-02-16T01:11:57Z,140000,,,0,,G. Bitadze Free Throw 1 of 2 (1 PTS),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-02-16T01:12:13.7Z,1,REGULAR,freethrow,2 of 2,[],1629048,,,1610612754,4,5,2022-02-16T01:12:13Z,150000,,,0,,G. Bitadze Free Throw 2 of 2 (2 PTS),[1629048],1610612754.0,IND,,,,Bitadze,G. Bitadze,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M56.00S,2022-02-16T01:12:27.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,8.360709592641262,50.73529411764706,1610612749,6,5,2022-02-16T01:12:33Z,160000,-4.0,26.0,1,left,G. Antetokounmpo cutting DUNK (2 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,cutting,,,Antetokounmpo,G. Antetokounmpo,,,,,2.64,Made,2.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,,
18,PT10M41.00S,2022-02-16T01:12:44.7Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612754,6,5,2022-02-16T01:12:57Z,180000,,,0,,K. Middleton shooting personal FOUL (1 PF) (Brissett 2 FT),"[203114, 1629052]",1610612749.0,MIL,shooting,,,Middleton,K. Middleton,,,,,,,,,,,202053.0,1.0,0.0,Brissett,1629052.0,,,,,,,,,,
20,PT10M41.00S,2022-02-16T01:13:09.1Z,1,REGULAR,freethrow,1 of 2,[],1629052,,,1610612754,6,5,2022-02-16T01:13:09Z,200000,,,0,,MISS O. Brissett Free Throw 1 of 2,[1629052],1610612754.0,IND,,,,Brissett,O. Brissett,,,,,,Missed,,,,,,,,,,,,,,,,,,,
21,PT10M41.00S,2022-02-16T01:13:09.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612754,6,5,2022-02-16T01:13:09Z,210000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
