actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-10T01:10:10.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T01:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-10T01:10:14.0Z,1,REGULAR,jumpball,recovered,[],203991,,,1610612737,0,0,2022-03-10T01:10:14Z,40000,,,0,,Jump Ball C. Capela vs. B. Portis: Tip to C. Capela,"[203991, 203991, 1626171]",1610612737.0,ATL,startperiod,C. Capela,203991.0,Capela,C. Capela,Capela,203991.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-10T01:10:28.9Z,1,REGULAR,3pt,Jump Shot,[],1628989,92.19776609724047,96.32352941176471,1610612737,0,3,2022-03-10T01:10:34Z,70000,232.0,21.0,1,right,K. Huerter 3PT  (3 PTS) (D. Hunter 1 AST),"[1628989, 1629631]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,23.25,Made,3.0,D. Hunter,1629631.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2022-03-10T01:10:42.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],203507,6.652431011826544,50.49019607843137,1610612749,2,3,2022-03-10T01:10:48Z,90000,-2.0,10.0,1,left,G. Antetokounmpo alley-oop DUNK (2 PTS) (K. Middleton 1 AST),"[203507, 203114]",1610612749.0,MIL,alley-oop,,,Antetokounmpo,G. Antetokounmpo,,,,,1.03,Made,2.0,K. Middleton,203114.0,1.0,,,,,,,,,,,,,,
11,PT11M10.00S,2022-03-10T01:10:59.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,79.71419185282524,36.76470588235294,1610612737,2,5,2022-03-10T01:11:03Z,110000,-66.0,138.0,1,right,D. Hunter 15' pullup Jump Shot (2 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,15.32,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2022-03-10T01:11:08.3Z,1,REGULAR,3pt,Jump Shot,[],203507,31.61957950065703,25.0,1610612749,2,5,2022-03-10T01:11:15Z,130000,125.0,245.0,1,left,MISS G. Antetokounmpo 27' 3PT,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,27.48,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-03-10T01:11:11.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,2,5,2022-03-10T01:11:15Z,140000,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M49.00S,2022-03-10T01:11:28.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612737,2,5,2022-03-10T01:11:28Z,150000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2022-03-10T01:11:44.7Z,1,REGULAR,3pt,Jump Shot,[],1628381,70.77858081471747,76.9607843137255,1610612737,2,5,2022-03-10T01:11:50Z,160000,135.0,222.0,1,right,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2022-03-10T01:11:48.7Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,2,5,2022-03-10T01:11:50Z,170000,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M28.00S,2022-03-10T01:11:56.0Z,1,REGULAR,2pt,Jump Shot,[],201950,7.835085413929041,31.61764705882353,1610612749,2,5,2022-03-10T01:14:20Z,180000,92.0,21.0,1,left,MISS J. Holiday 9' fadeaway Shot,[201950],1610612749.0,MIL,fadeaway,,,Holiday,J. Holiday,,,,,9.43,Missed,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2022-03-10T01:11:57.0Z,1,REGULAR,rebound,offensive,[],1626171,,,1610612749,2,5,2022-03-10T01:14:20Z,190000,,,0,,B. Portis REBOUND (Off:1 Def:0),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
20,PT10M26.00S,2022-03-10T01:11:59.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1626171,8.360709592641262,48.77450980392157,1610612749,4,5,2022-03-10T01:12:03Z,200000,6.0,26.0,1,left,B. Portis floating Jump Shot (2 PTS),[1626171],1610612749.0,MIL,floating,,,Portis,B. Portis,,,,,2.68,Made,2.0,,,,,,,,,,,,,,,,,
21,PT10M15.00S,2022-03-10T01:12:10.4Z,1,REGULAR,turnover,bad pass,[],1628381,,,1610612737,4,5,2022-03-10T01:12:15Z,210000,,,0,,J. Collins bad pass TURNOVER (1 TO),"[1628381, 203507]",1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,1.0,Antetokounmpo,203507.0,,,,,,,
22,PT10M15.00S,2022-03-10T01:12:10.4Z,1,REGULAR,steal,,[],203507,,,1610612749,4,5,2022-03-10T01:12:12Z,220000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M15.00S,2022-03-10T01:12:15.5Z,1,REGULAR,foul,personal,[],203991,,,1610612749,4,5,2022-03-10T01:14:53Z,230000,,,0,,C. Capela take personal FOUL (1 PF),"[203991, 203507]",1610612737.0,ATL,take,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,2714.0,1.0,0.0,Antetokounmpo,203507.0,,
25,PT10M06.00S,2022-03-10T01:12:44.5Z,1,REGULAR,foul,personal,[],1628989,,,1610612749,4,5,2022-03-10T01:14:51Z,250000,,,0,,K. Huerter personal FOUL (1 PF),"[1628989, 203507]",1610612737.0,ATL,,,,Huerter,K. Huerter,,,,,,,,,,,,,,,,,,202035.0,1.0,0.0,Antetokounmpo,203507.0,,
27,PT09M55.00S,2022-03-10T01:13:01.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203114,23.078186596583443,45.83333333333333,1610612749,4,5,2022-03-10T01:13:05Z,270000,21.0,164.0,1,left,MISS K. Middleton 16' floating Shot,[203114],1610612749.0,MIL,floating,,,Middleton,K. Middleton,,,,,16.57,Missed,,,,,,,,,,,,,,,,,,
28,PT09M52.00S,2022-03-10T01:13:04.7Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,4,5,2022-03-10T01:13:05Z,280000,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,,,
29,PT09M44.00S,2022-03-10T01:13:18.3Z,1,REGULAR,foul,personal,[],1626171,,,1610612737,4,5,2022-03-10T01:13:26Z,290000,,,0,,B. Portis personal FOUL (1 PF),"[1626171, 1629631]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,202035.0,1.0,0.0,Hunter,1629631.0,,
31,PT09M33.00S,2022-03-10T01:13:37.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628989,87.07293035479631,63.48039215686274,1610612737,4,7,2022-03-10T01:13:49Z,310000,67.0,69.0,1,right,K. Huerter 9' driving floating Jump Shot (5 PTS),[1628989],1610612737.0,ATL,driving floating,,,Huerter,K. Huerter,,,,,9.65,Made,5.0,,,,,,,,,,,,,,,,,
32,PT09M23.00S,2022-03-10T01:13:52.2Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,4,7,2022-03-10T01:13:52Z,320000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M21.00S,2022-03-10T01:14:04.2Z,1,REGULAR,foul,personal,['2freethrow'],203991,,,1610612749,4,7,2022-03-10T01:14:16Z,330000,,,0,,C. Capela shooting personal FOUL (2 PF) (Antetokounmpo 2 FT),"[203991, 203507]",1610612737.0,ATL,shooting,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,202035.0,2.0,0.0,Antetokounmpo,203507.0,,
35,PT09M21.00S,2022-03-10T01:14:40.6Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,5,7,2022-03-10T01:14:40Z,350000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (3 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
36,PT09M21.00S,2022-03-10T01:14:42.1Z,1,REGULAR,substitution,out,[],203991,,,1610612749,5,7,2022-03-10T01:14:54Z,360000,,,0,,SUB out: C. Capela,[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,,,,,,,,,,,,,,,,,,,,
37,PT09M21.00S,2022-03-10T01:14:42.1Z,1,REGULAR,substitution,in,[],201568,,,1610612749,5,7,2022-03-10T01:14:54Z,370000,,,0,,SUB in: D. Gallinari,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,,,,,,,,,,,,,,,,,,,,
38,PT09M21.00S,2022-03-10T01:15:11.3Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,6,7,2022-03-10T01:15:11Z,380000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (4 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
39,PT09M01.00S,2022-03-10T01:15:32.3Z,1,REGULAR,3pt,Jump Shot,[],201568,81.42247043363994,94.36274509803921,1610612737,6,7,2022-03-10T01:15:41Z,390000,222.0,122.0,1,right,MISS D. Gallinari 25' 3PT,[201568],1610612737.0,ATL,,,,Gallinari,D. Gallinari,,,,,25.32,Missed,,,,,,,,,,,,,,,,,,
40,PT08M58.00S,2022-03-10T01:15:35.3Z,1,REGULAR,rebound,defensive,[],1626171,,,1610612749,6,7,2022-03-10T01:15:41Z,400000,,,0,,B. Portis REBOUND (Off:1 Def:1),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,39.0,2.0,1.0,1.0,,,,,,,,,,
41,PT08M53.00S,2022-03-10T01:15:40.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,8.229303547963205,51.470588235294116,1610612749,8,7,2022-03-10T01:17:16Z,410000,-7.0,25.0,1,left,G. Antetokounmpo driving floating Jump Shot (6 PTS) (G. Allen 1 AST),"[203507, 1628960]",1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,2.6,Made,6.0,G. Allen,1628960.0,1.0,,,,,,,,,,,,,,
43,PT08M39.00S,2022-03-10T01:16:00.0Z,1,REGULAR,turnover,traveling,[],1628381,,,1610612737,8,7,2022-03-10T01:16:06Z,430000,,,0,,J. Collins traveling TURNOVER (2 TO),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,2.0,,,2714.0,,,,,,
