actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-16T01:10:54.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-16T01:10:54Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-12-16T01:10:56.3Z,1,REGULAR,jumpball,recovered,[],1626192,,,1610612749,0,0,2021-12-16T01:10:56Z,40000,,,0,,Jump Ball B. Portis vs. M. Turner: Tip to P. Connaughton,"[1626192, 1626171, 1626167]",1610612749.0,MIL,startperiod,P. Connaughton,1626192.0,Connaughton,P. Connaughton,Portis,1626171.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-12-16T01:11:11.1Z,1,REGULAR,3pt,Jump Shot,[],201950,23.209592641261498,86.51960784313727,1610612749,3,0,2021-12-16T01:11:19Z,70000,-183.0,166.0,1,left,J. Holiday 24' 3PT step back (3 PTS),[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,24.66,Made,3.0,,,,,,,,,,,,,,,,,,
8,PT11M27.00S,2021-12-16T01:11:26.4Z,1,REGULAR,3pt,Jump Shot,[],1627763,77.08607095926413,9.803921568627452,1610612754,3,0,2021-12-16T01:11:36Z,80000,-201.0,163.0,1,right,MISS M. Brogdon 25' 3PT,[1627763],1610612754.0,IND,,,,Brogdon,M. Brogdon,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2021-12-16T01:11:29.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,3,0,2021-12-16T01:11:36Z,90000,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2021-12-16T01:11:35.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612749,3,0,2021-12-16T01:11:35Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2021-12-16T01:11:50.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,15.193823915900131,45.588235294117645,1610612749,3,0,2021-12-16T01:11:58Z,110000,22.0,90.0,1,left,MISS B. Portis 9' turnaround Shot,[1626171],1610612749.0,MIL,turnaround,,,Portis,B. Portis,,,,,9.3,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2021-12-16T01:11:53.4Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,3,0,2021-12-16T01:11:58Z,120000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M58.00S,2021-12-16T01:12:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,90.22667542706965,61.274509803921575,1610612754,3,0,2021-12-16T01:12:09Z,130000,56.0,39.0,1,right,MISS M. Turner 6' turnaround Shot,[1626167],1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,6.88,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2021-12-16T01:12:07.1Z,1,REGULAR,rebound,defensive,[],1629670,,,1610612749,3,0,2021-12-16T01:12:09Z,140000,,,0,,J. Nwora REBOUND (Off:0 Def:1),[1629670],1610612749.0,MIL,,,,Nwora,J. Nwora,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
