actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-12-25T19:40:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-25T19:40:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-25T19:40:34.0Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2021-12-25T19:40:34Z,40000,,,0,,Jump Ball R. Williams III vs. D. Cousins: Tip to M. Smart,"[203935, 1629057, 202326]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Cousins,202326.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2021-12-25T19:40:45.2Z,1,REGULAR,3pt,Jump Shot,[],1629641,10.068988173455978,4.411764705882353,1610612738,0,3,2021-12-25T19:40:49Z,70000,228.0,42.0,1,left,R. Langford 3PT  (3 PTS) (J. Brown 1 AST),"[1629641, 1627759]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,23.18,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,,
9,PT11M27.00S,2021-12-25T19:41:07.5Z,1,REGULAR,foul,personal,[],1629641,,,1610612749,0,3,2021-12-25T19:46:54Z,90000,,,0,,R. Langford personal FOUL (1 PF),"[1629641, 203507]",1610612738.0,BOS,,,,Langford,R. Langford,,,,,,,,,,,101284.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
11,PT11M21.00S,2021-12-25T19:41:27.6Z,1,REGULAR,3pt,Jump Shot,[],203114,71.04139290407359,19.607843137254903,1610612749,3,3,2021-12-25T19:41:33Z,110000,-152.0,220.0,1,right,K. Middleton 26' 3PT  (3 PTS) (J. Holiday 1 AST),"[203114, 201950]",1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,26.72,Made,3.0,J. Holiday,201950.0,1.0,,,,,,,,,,,,,,,
13,PT11M07.00S,2021-12-25T19:41:40.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629641,6.521024967148489,51.225490196078425,1610612738,3,5,2021-12-25T19:41:45Z,130000,-6.0,9.0,1,left,R. Langford cutting DUNK (5 PTS) (R. Williams III 1 AST),"[1629641, 1629057]",1610612738.0,BOS,cutting,,,Langford,R. Langford,,,,,1.07,Made,5.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,,
15,PT10M56.00S,2021-12-25T19:41:56.0Z,1,REGULAR,3pt,Jump Shot,[],202326,90.88370565045992,95.58823529411765,1610612749,3,5,2021-12-25T19:42:00Z,150000,228.0,33.0,1,right,MISS D. Cousins 3PT,[202326],1610612749.0,MIL,,,,Cousins,D. Cousins,,,,,23.03,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2021-12-25T19:41:58.0Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,5,2021-12-25T19:42:00Z,160000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M45.00S,2021-12-25T19:42:10.5Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,3,5,2021-12-25T19:42:20Z,170000,,,0,,J. Tatum bad pass out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,bad pass,,,Tatum,J. Tatum,,,,,,,,,,,1627541.0,,,,,,,,,1.0,,,,,
18,PT10M34.00S,2021-12-25T19:42:28.1Z,1,REGULAR,foul,personal,[],1627759,,,1610612749,3,5,2021-12-25T19:42:37Z,180000,,,0,,J. Brown personal FOUL (1 PF),"[1627759, 203507]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,1627541.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,
