actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-18T01:33:03.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-18T01:33:03Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-18T01:33:08.3Z,1,REGULAR,jumpball,recovered,[],1629680,,,1610612755,0,0,2022-02-18T01:33:08Z,40000,,,0,,Jump Ball J. Embiid vs. B. Portis: Tip to M. Thybulle,"[1629680, 203954, 1626171]",1610612755.0,PHI,startperiod,M. Thybulle,1629680.0,Thybulle,M. Thybulle,Embiid,203954.0,Portis,1626171.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-02-18T01:33:19.3Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,0,0,2022-02-18T01:33:29Z,70000,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 203507]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,1.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-02-18T01:33:19.3Z,1,REGULAR,steal,,[],203507,,,1610612749,0,0,2022-02-18T01:33:22Z,80000,,,0,,G. Antetokounmpo STEAL (1 STL),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-02-18T01:33:27.8Z,1,REGULAR,foul,personal,['2freethrow'],1629680,,,1610612749,0,0,2022-02-18T01:33:36Z,90000,,,0,,M. Thybulle shooting personal FOUL (1 PF) (Holiday 2 FT),"[1629680, 201950]",1610612755.0,PHI,shooting,,,Thybulle,M. Thybulle,,,,,,,,1146.0,1.0,0.0,Holiday,201950.0,,,,,,,,,,,,,
11,PT11M37.00S,2022-02-18T01:33:51.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],201950,,,1610612749,0,0,2022-02-18T01:33:51Z,110000,,,0,,MISS J. Holiday Free Throw 1 of 2,[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,Missed,,,,,,,,,,,,
12,PT11M37.00S,2022-02-18T01:33:51.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612749,0,0,2022-02-18T01:33:51Z,120000,,,0,,TEAM offensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,
13,PT11M37.00S,2022-02-18T01:34:03.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],201950,,,1610612749,1,0,2022-02-18T01:34:03Z,130000,,,0,,J. Holiday Free Throw 2 of 2 (1 PTS),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,,,,,,,,,Made,,1.0,,,,,,,,,,
14,PT11M17.00S,2022-02-18T01:34:21.8Z,1,REGULAR,3pt,Jump Shot,[],203954,71.30420499342969,80.14705882352942,1610612755,1,0,2022-02-18T01:34:26Z,140000,151.0,217.0,1,right,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,,Missed,,,26.44,,,,,,,,,
15,PT11M14.00S,2022-02-18T01:34:24.8Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,1,0,2022-02-18T01:34:27Z,150000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,
16,PT11M08.00S,2022-02-18T01:34:30.7Z,1,REGULAR,3pt,Jump Shot,[],1626171,8.360709592641262,96.56862745098039,1610612749,4,0,2022-02-18T01:34:35Z,160000,-233.0,26.0,1,left,B. Portis 3PT  (3 PTS) (G. Antetokounmpo 1 AST),"[1626171, 203507]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,Made,,3.0,23.43,,,,G. Antetokounmpo,203507.0,1.0,,,
